test,target,stratum,variant,draw,value
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,0,-0.005280124589168878
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,1,-0.00037616443795943495
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,2,0.0003263862356437079
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,3,-0.0019458980325268284
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,4,0.0005587168527659747
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,5,-0.0006079249510614436
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,6,0.0004447180478409268
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,7,0.002565325926260202
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,8,-0.0018203965931104875
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,9,-0.0021051023936590444
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,10,0.0011060175976218016
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,11,0.0022934767800130863
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,12,0.0030686806724557598
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,13,0.0006547382796857116
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,14,-0.0022445012225235004
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,15,0.0020019985274244137
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,16,0.0010730383217996521
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,17,-0.0014229705031439872
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,18,0.0009425931354063232
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,19,0.0012178999880009124
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,20,0.0016463548918868212
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,21,-0.002547063711635652
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,22,0.002546878888830029
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,23,-0.001328367987428129
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,24,0.0009766191469596985
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,25,-0.0009124192454139957
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,26,0.003146591071553258
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,27,0.003089999425469608
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,28,0.005217463262290003
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,29,0.0009690458675223176
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,30,0.0030276936638232834
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,31,0.003527598899942336
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,32,0.0017743227321486274
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,33,-0.0026589274937299824
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,34,-0.0004619217803279159
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,35,-0.003453570812442118
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,36,-0.0040180917019295975
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,37,0.0008472714573652971
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,38,0.002905820119288094
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,39,0.004799028467468673
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,40,0.0033492688487518876
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,41,0.000621100691140772
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,42,-0.0007150416810504271
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,43,0.00133659393349287
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,44,0.005096820030164366
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,45,-0.0018638604111656056
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,46,0.0016167534830009984
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,47,8.751389406479014e-05
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,48,0.001895956141998117
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,49,0.0020512667346611257
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,50,-0.0027003925557648263
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,51,0.0013421296998698512
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,52,-0.000725413834251479
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,53,0.000579531361977958
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,54,-0.0009271926628545126
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,55,0.001904909311312716
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,56,-0.0018336775223285156
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,57,0.00021450264515826615
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,58,-0.001449983920710281
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,59,-0.0021700861219851315
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,60,0.00030698421233629525
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,61,0.001668557721482378
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,62,0.006369332769826135
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,63,0.002559079991580876
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,64,0.004670821136929797
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,65,0.0009760512738403184
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,66,-0.0013046981864777184
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,67,0.002874601299141517
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,68,0.002463903202817859
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,69,-0.0015434976486815243
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,70,-0.0016532917329532286
