fold_season,n_train,n_cols_in,n_cols_kept,dropped_structurally_unavailable,n_dropped,alpha_chosen,inner_val_mae,n_inner_fit,n_inner_val,target,arm
2023,4362,13,11,b_prevseason_pts;b_role_pts,2,30.0,4.030311235186195,3118,1244,pts,base
2024,9110,13,13,,0,300.0,4.077412698368089,6464,2646,pts,base
2023,4362,23,21,b_prevseason_pts;b_role_pts,2,100.0,4.055027880869523,3118,1244,pts,base_plus_rapm
2024,9110,23,23,,0,100.0,4.09597275558831,6464,2646,pts,base_plus_rapm
2023,4362,13,11,b_prevseason_minutes;b_role_minutes,2,0.001,4.721233666492312,3118,1244,minutes,base
2024,9110,13,13,,0,30.0,4.59930467794997,6464,2646,minutes,base
2023,4362,23,21,b_prevseason_minutes;b_role_minutes,2,3.0,4.7888328711961545,3118,1244,minutes,base_plus_rapm
2024,9110,23,23,,0,0.001,4.609214903835103,6464,2646,minutes,base_plus_rapm
2023,4362,13,11,b_prevseason_fga;b_role_fga,2,0.001,2.5221036312985374,3118,1244,fga,base
2024,9110,13,13,,0,100.0,2.509190226385156,6464,2646,fga,base
2023,4362,23,21,b_prevseason_fga;b_role_fga,2,10.0,2.5443312351737584,3118,1244,fga,base_plus_rapm
2024,9110,23,23,,0,0.1,2.5131794843380555,6464,2646,fga,base_plus_rapm
2023,4362,10,8,b_prevseason_ppm;b_role_ppm,2,10.0,0.177740857963637,3118,1244,ppm,base
2024,9110,10,10,,0,300.0,0.18476666432992478,6464,2646,ppm,base
2023,4362,20,18,b_prevseason_ppm;b_role_ppm,2,30.0,0.1787840565069736,3118,1244,ppm,base_plus_rapm
2024,9110,20,20,,0,100.0,0.18413812723980513,6464,2646,ppm,base_plus_rapm
