season,team_id,ftm,fta,prior_ftpct_mean,n,realised_ft_pct
2024,1611661329,527.0,710.0,0.7483212962343646,40,0.7422535211267606
2022,1611661325,520.0,697.0,0.7558077975160509,36,0.7460545193687231
2023,1611661329,481.0,640.0,0.7547635904376551,40,0.7515625
2024,1611661323,629.0,835.0,0.769352870367295,40,0.7532934131736527
2022,1611661321,571.0,747.0,0.7908869605651474,36,0.7643908969210174
2024,1611661320,599.0,783.0,0.7558461786799949,40,0.7650063856960408
2023,1611661323,608.0,794.0,0.7627795460966058,40,0.7657430730478589
2024,1611661322,461.0,601.0,0.7714110310004846,40,0.7670549084858569
2024,1611661330,617.0,800.0,0.7843950553553151,40,0.77125
2024,1611661325,531.0,685.0,0.7847591584562679,40,0.7751824817518248
2022,1611661330,485.0,624.0,0.7861313300126421,36,0.7772435897435898
2023,1611661325,557.0,711.0,0.7836996031307683,40,0.7834036568213784
2022,1611661322,504.0,643.0,0.7921292442355666,36,0.7838258164852255
2022,1611661324,548.0,699.0,0.7682656314772479,36,0.7839771101573677
2024,1611661321,586.0,746.0,0.8042279492841142,40,0.7855227882037533
2022,1611661320,517.0,658.0,0.7896536967485515,36,0.7857142857142857
2023,1611661328,585.0,744.0,0.7789534418279449,40,0.7862903225806451
2023,1611661330,692.0,878.0,0.793356044004862,40,0.7881548974943052
2022,1611661323,564.0,715.0,0.795663819953671,36,0.7888111888111888
2024,1611661324,489.0,619.0,0.7876153371302804,40,0.789983844911147
2024,1611661317,589.0,737.0,0.8028724836202912,40,0.7991858887381276
2023,1611661324,588.0,735.0,0.8123305752831506,40,0.8
2023,1611661317,521.0,649.0,0.8077864142259813,40,0.802773497688752
2023,1611661321,654.0,811.0,0.823563195923646,40,0.8064118372379778
2024,1611661313,559.0,687.0,0.830117804535135,40,0.8136826783114993
2022,1611661317,548.0,671.0,0.8066538691362751,36,0.8166915052160953
2023,1611661320,624.0,762.0,0.8156251338842818,40,0.8188976377952756
2022,1611661313,445.0,541.0,0.8030604561509416,36,0.822550831792976
2023,1611661322,599.0,728.0,0.8296767642695679,40,0.8228021978021978
2022,1611661329,493.0,599.0,0.8216329799941785,36,0.8230383973288815
2022,1611661319,587.0,713.0,0.8156179469947856,36,0.82328190743338
2022,1611661328,447.0,542.0,0.8138349015472992,36,0.8247232472324724
2024,1611661319,607.0,733.0,0.8309916295430162,40,0.8281036834924966
2023,1611661313,553.0,667.0,0.8215231600933024,40,0.8290854572713643
2023,1611661319,654.0,779.0,0.8196872736750385,40,0.8395378690629012
2024,1611661328,603.0,718.0,0.821367082654213,40,0.8398328690807799
