quantity,E1_I0035_mine,E1_I0033_published,abs_diff
universe rows per team-game,14.42816091954023,14.428,0.00016091954022989796
realised roster per team-game,9.401580459770114,9.4016,1.954022988570614e-05
sum p_active_hat per team-game,10.33807896885556,10.3381,2.1031144440186722e-05
tier-B mean p_active_hat,0.5248920321764364,0.5249,7.967823563603815e-06
tier-B realised appearance rate,0.10153764581124072,0.1015,3.764581124071631e-05
tier-B n rows,3772.0,3772.0,0.0
tier-B mean pts_hat,8.560576814527627,8.561,0.0004231854723730777
tier-A mean p_active_hat,0.7608333238890033,0.7608,3.332388900323391e-05
tier-A realised appearance rate,0.7788131436978911,0.7788,1.3143697891071504e-05
tier-A n rows,16312.0,16312.0,0.0
tier-A mean pts_hat,8.0875804283846,8.088,0.0004195716153994056
