cell,level,candidate,response,n,r2_base,dr2,ceiling,ceiling_over_1cell_floor,null,p,null_mean,null_sd,R,mde80,power_full_at_best,power_between_at_best,typeI,null_status,UNINFORMATIVE,var_share_between_entity
L1,team_game,M06_opp_pace,T_fta,1486,0.04300330051381207,0.011553482199687047,0.011553482199687043,11.326943333026513,N_ROW,0.0016611295681063123,0.0006001313927039477,0.0008082128063045947,601,0.004380421052631579,0.05,0.03333333333333333,0.016666666666666666,DEGENERATE,False,0.6485183347156587
L1,team_game,M06_opp_pace,T_fta,1486,0.04300330051381207,0.011553482199687047,0.011553482199687043,11.326943333026513,N_ESWAP,0.02823920265780731,0.0022644414880682792,0.0029672923466957752,601,0.004299285714285715,0.26666666666666666,0.35,0.016666666666666666,DEGENERATE,False,0.6485183347156587
L2,team_game,M06_opp_pace,T_ftm,1486,0.03401818365293263,0.010545319968949432,0.010545319968949437,10.338548989166114,N_ROW,0.0016611295681063123,0.000612703727693733,0.0008581517939939949,601,0.00440142372881356,0.016666666666666666,0.03333333333333333,0.03333333333333333,DEGENERATE,False,0.6485183347156587
L2,team_game,M06_opp_pace,T_ftm,1486,0.03401818365293263,0.010545319968949432,0.010545319968949437,10.338548989166114,N_ESWAP,0.018272425249169437,0.0021186728486007325,0.002573773457593398,601,0.004229214285714286,0.2833333333333333,0.2833333333333333,0.016666666666666666,DEGENERATE,False,0.6485183347156587
L3,team_game,M04_opp_allowed_ft_rate,T_pts,1486,0.04668736282254515,0.00750570661222233,0.007505706612222336,7.358535894335623,N_ROW,0.0016611295681063123,0.0006458163211758015,0.0008788350868513394,601,0.004391103448275863,0.03333333333333333,0.03333333333333333,0.06666666666666667,DEGENERATE,False,0.6632732987663915
L3,team_game,M04_opp_allowed_ft_rate,T_pts,1486,0.04668736282254515,0.00750570661222233,0.007505706612222336,7.358535894335623,N_ESWAP,0.0681063122923588,0.002241723566531652,0.0031075546657101075,601,0.004333660377358491,0.11666666666666667,0.13333333333333333,0.08333333333333333,DEGENERATE,False,0.6632732987663915
L4,team_game,M01_opp_pf_pg,T_pts,1486,0.04668736282254515,0.01674998372320442,0.016749983723204423,16.421552669808257,N_ROW,0.0016611295681063123,0.0006444643158004336,0.0009947724922036874,601,0.00440142372881356,0.016666666666666666,0.0,0.08333333333333333,DEGENERATE,False,0.6961643763682479
L4,team_game,M01_opp_pf_pg,T_pts,1486,0.04668736282254515,0.01674998372320442,0.016749983723204423,16.421552669808257,N_ESWAP,0.0049833887043189366,0.0023616084742265936,0.003097464472062671,601,0.004320846153846154,0.13333333333333333,0.15,0.1,DEGENERATE,False,0.6961643763682479
C1_LEVELUP,team_game,ROSTER_RA_SHARE,T_oreb,1486,0.10273460194634221,0.005439738942624314,0.005439738942624315,5.33307739472972,N_ROW,0.0016611295681063123,0.0006190870293417099,0.000804882163254428,601,0.004307529411764707,0.15,0.13333333333333333,0.05,DEGENERATE,False,0.5682573440825007
C1_LEVELUP,team_game,ROSTER_RA_SHARE,T_oreb,1486,0.10273460194634221,0.005439738942624314,0.005439738942624315,5.33307739472972,N_ESWAP,0.009966777408637873,0.0007925289751117131,0.0010378455939690162,601,0.0041171,0.3333333333333333,0.23333333333333334,0.05,DEGENERATE,False,0.5682573440825007
