source,key,value,screen,classification,evidence,effect_carrying_null
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0013_possession_volume\FINDINGS.json,.multiplicity.n_cells_clearing_own_nominal_floor,11.0,E0_I0013_possession_volume,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[0].resolution,0.08153629535029845,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[1].resolution,0.07840029530676564,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[2].resolution,0.00010370813506747965,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[3].resolution,0.0524349218580463,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[4].resolution,0.02353143301020887,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[5].resolution,0.07468611862630428,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0019_availability_forecast\FINDINGS.json,.STEP_2_HOW_GOOD_IS_IT.headline[6].resolution,0.0,E0_I0019_availability_forecast,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0024_reb_ast_characterisation\FINDINGS.json,.STEP2_baseline_accuracy.history_minutes_floor.measured_variance_reduction_in_history.reb_per_min_at_floor_20,0.3613,E0_I0024_reb_ast_characterisation,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0024_reb_ast_characterisation\FINDINGS.json,.STEP2_baseline_accuracy.history_minutes_floor.measured_variance_reduction_in_history.ast_per_min_at_floor_20,0.3245,E0_I0024_reb_ast_characterisation,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0029_freethrow_hurdle\FINDINGS.json,.STEP_3_does_it_reach_points.history_floor_sensitivity[0].history_minutes_floor,0.0,E0_I0029_freethrow_hurdle,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0029_freethrow_hurdle\FINDINGS.json,.STEP_3_does_it_reach_points.history_floor_sensitivity[1].history_minutes_floor,0.0,E0_I0029_freethrow_hurdle,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0029_freethrow_hurdle\FINDINGS.json,.STEP_3_does_it_reach_points.history_floor_sensitivity[2].history_minutes_floor,5.0,E0_I0029_freethrow_hurdle,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0029_freethrow_hurdle\FINDINGS.json,.STEP_3_does_it_reach_points.history_floor_sensitivity[3].history_minutes_floor,5.0,E0_I0029_freethrow_hurdle,INJECTION_OR_OTHER,,False
C:\Users\jgallagher\wnba-betting-model\.claude\worktrees\player-model-program\experiments\exploration\E0_I0029_freethrow_hurdle\FINDINGS.json,.STEP_3_does_it_reach_points.history_floor_sensitivity[4].history_minutes_floor,10.0,E0_I0029_freethrow_hurdle,INJECTION_OR_OTHER,,False
