nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,4,16,gauss,0.0,1.0,FRESH,0.0,3.405002673783567e-17,0.16677160745843206,0.16677160745843206,1.0,1.9759543843985878,1.4840615595634898,0.46722483388143143,0.46722483388143143,9.539404415831935e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6.624892845179068e+16,True,0.0,0.0
4,4,16,gauss,0.0,1.0,FRESH,1.0,3.585547208502996e-17,0.3078241475147459,0.3078241475147459,1.0,2.587501965142785,1.854754775805631,0.8623955143150994,0.8623955143150994,1.0045215276133866e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4.259986296925217e+16,True,0.0,0.0
4,4,16,gauss,0.0,1.0,FRESH,3.0,3.745140367340237e-17,0.03172481798695454,0.03172481798695455,0.9999999999999998,3.1860381994988947,1.9272139685316896,0.08887977419998204,0.08887977419998207,1.0492329076034898e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5558336976093819.0,True,0.0,0.0
4,4,16,gauss,0.3,1.0,FRESH,0.0,3.9681553678345067e-17,0.19651002960971076,0.19651002960971076,1.0,1.8453564519726697,1.6496480679788486,0.5505395513041216,0.5505395513041216,1.1117124556194636e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,9.339825480636551e+299,True,0.0,0.0
4,4,16,gauss,0.3,1.0,FRESH,1.0,4.007586881381896e-17,0.23010132139908956,0.23010132139908954,1.0000000000000002,2.5633128845026243,1.912544742490935,0.6446484105118684,0.6446484105118683,1.12275952930763e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.5733376012135652e+16,True,0.0,0.0
4,4,16,gauss,0.3,1.0,FRESH,3.0,3.992933692181645e-17,0.5456198908522789,0.5456198908522789,1.0,2.214591462506928,1.6945718207494058,1.528600501913382,1.528600501913382,1.1186543138010717e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7777665543708828.0,True,0.0,0.0
4,4,16,gauss,0.7,1.0,FRESH,0.0,4.8946501522531124e-17,0.37519373452864024,0.37519373452864024,1.0,2.638123047548759,1.8208731290336502,1.0511371387494206,1.0511371387494206,1.3712778446800037e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.5195229096182818e+16,True,0.0,0.0
4,4,16,gauss,0.7,1.0,FRESH,1.0,5.06198323995735e-17,0.2614101067737329,0.2614101067737329,1.0,1.8779560485605387,1.641319288634557,0.7323626339856885,0.7323626339856885,1.4181576315315913e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.2271164440795568e+16,True,0.0,0.0
4,4,16,gauss,0.7,1.0,FRESH,3.0,4.279381633775347e-17,0.33053973528294855,0.3305397352829485,1.0000000000000002,2.7614718574951223,1.8786505716847206,0.9260351642726795,0.9260351642726793,1.1989051394460508e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3619119239578591.0,True,0.0,0.0
4,4,16,t3,0.0,1.0,FRESH,0.0,3.0911184300790174e-17,0.163335157681743,0.163335157681743,1.0,2.583652678926751,1.9285640766611858,0.457597327733806,0.457597327733806,8.660031026932925e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.0194317600469806e+17,True,0.0,0.0
