cell,delta,benchmark,achieved_dr2_med,power,nrep,planted_along
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0,TYPE-I CHECK,3.71229465120145e-05,0.1,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.000129,"D084 opp conversion, DEAD",0.00012899999999999996,0.016666666666666666,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0005,(intermediate),0.0005,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0,TYPE-I CHECK,1.4565261959361165e-05,0.016666666666666666,60,BETWEEN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.000129,"D084 opp conversion, DEAD",0.00012900000000000005,0.05,60,BETWEEN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0005,(intermediate),0.0004999999999999999,1.0,60,BETWEEN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60,BETWEEN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60,BETWEEN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0,TYPE-I CHECK,2.668479721833259e-05,0.0,60,WITHIN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.000129,"D084 opp conversion, DEAD",0.000129,0.0,60,WITHIN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.0005,(intermediate),0.0005,1.0,60,WITHIN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60,WITHIN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE_PLUS_R10,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60,WITHIN
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.0,TYPE-I CHECK,3.615355963051194e-05,0.1,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.000129,"D084 opp conversion, DEAD",0.000129,0.016666666666666666,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.0005,(intermediate),0.0004999999999999999,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.002057,"D089 largest measured, ALIVE",0.0020569999999999994,1.0,60,FULL
E0_I0024__R08_player_ra_share_y_oreb_B_COMPLETE,0.0,TYPE-I CHECK,1.3261656810984967e-05,0.03333333333333333,60,BETWEEN
