arm,response,stratum,n,n_treated_in_stratum,mae_base,mae_arm,dMAE,pct_of_MAE,p,null_mean,null_sd,MDE80_analytic,max_abs_change_on_untouched_rows
A,minutes,POOLED,9022,632,5.2431642023042375,4.893681445471626,0.34948275683261226,6.665493266051509,0.00012498437695288088,-0.0008912578955893939,0.04027424779815799,0.11276789383484237,0.0
A,minutes,DECISION,3158,0,4.34345550900056,4.34345550900056,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,minutes,POOLED,9022,945,5.2431642023042375,4.869824660176477,0.373339542127761,7.120500669494343,0.00012498437695288088,-0.0009908088176554515,0.04315982970129004,0.1208475231636121,0.0
B,minutes,DECISION,3158,0,4.34345550900056,4.34345550900056,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C,minutes,POOLED,9022,2475,5.2431642023042375,5.211841958875663,0.03132224342857348,0.5973919988011848,0.00024996875390576176,-0.00013453178939422454,0.008519304098307555,0.02385405147526115,0.0
C,minutes,DECISION,3158,1051,4.34345550900056,4.318165251822817,0.02529025717774239,0.5822612232434663,0.00562429696287964,6.188482811784687e-05,0.009393377379355423,0.026301456662195185,0.0
AB,minutes,POOLED,9022,945,5.2431642023042375,4.884662018218843,0.3585021840853944,6.8375158635665425,0.00012498437695288088,-0.0009002162975288708,0.04109085008137239,0.11505438022784269,0.0
AB,minutes,DECISION,3158,0,4.34345550900056,4.34345550900056,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC,minutes,POOLED,9022,3102,5.2431642023042375,4.867515251927253,0.37564895037698404,7.164546748543482,0.00012498437695288088,-0.0010211413615985794,0.04076347747087994,0.11413773691846382,0.0
AC,minutes,DECISION,3158,1051,4.34345550900056,4.317815949586061,0.025639559414498716,0.5903032588078343,0.0044994375703037125,6.270483989693338e-05,0.009251052257765307,0.025902946321742858,0.0
BC,minutes,POOLED,9022,3415,5.2431642023042375,4.840930167152118,0.40223403515211936,7.671589514121028,0.00012498437695288088,-0.0011359294770467367,0.04388212594259721,0.12286995263927218,0.0
BC,minutes,DECISION,3158,1051,4.34345550900056,4.317847101400257,0.025608407600303775,0.5895860461155347,0.004124484439445069,5.319939228386403e-05,0.009051265388793995,0.025343543088623185,0.0
ABC,minutes,POOLED,9022,3415,5.2431642023042375,4.8569261144139375,0.38623808789029934,7.366507570381976,0.00012498437695288088,-0.0010324422052584406,0.04157287777547412,0.11640405777132752,0.0
ABC,minutes,DECISION,3158,1051,4.34345550900056,4.317633587162895,0.025821921837664984,0.5945018150676689,0.00424946881639795,6.099893020204521e-05,0.009169012804758448,0.025673235853323654,0.0
A,pts,POOLED,9022,632,4.290550812518763,4.125822637816209,0.16472817470255455,3.8393246438643396,0.00012498437695288088,-0.00020368563827797908,0.021258605244739673,0.05952409468527108,0.0
A,pts,DECISION,3158,0,5.062164314707972,5.062164314707972,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,pts,POOLED,9022,945,4.290550812518763,4.070679855143921,0.2198709573748413,5.124539178823203,0.00012498437695288088,-0.0002775770825569022,0.024369240791044283,0.06823387421492398,0.0
B,pts,DECISION,3158,0,5.062164314707972,5.062164314707972,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C,pts,POOLED,9022,2475,4.290550812518763,4.304914231093112,-0.01436341857434889,-0.33476863931875595,0.0007499062617172854,-8.924650406690834e-05,0.0043589474647564375,0.012205052901318025,0.0
C,pts,DECISION,3158,1051,5.062164314707972,5.0665381879659055,-0.004373873257933381,-0.0864032256958791,0.39007624046994127,-6.077726955788419e-06,0.00504067108675464,0.01411387904291299,0.0
AB,pts,POOLED,9022,945,4.290550812518763,4.073634814924921,0.2169159975938417,5.05566784015084,0.00012498437695288088,-0.0002666435243105297,0.024467343288571322,0.0685085612079997,0.0
AB,pts,DECISION,3158,0,5.062164314707972,5.062164314707972,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC,pts,POOLED,9022,3102,4.290550812518763,4.141720058642769,0.1488307538759941,3.4688029667832594,0.00012498437695288088,-0.0002950656790671097,0.021699279366824628,0.06075798222710895,0.0
AC,pts,DECISION,3158,1051,5.062164314707972,5.067448125606847,-0.005283810898875463,-0.10437849446181553,0.3048368953880765,-4.699622017256426e-06,0.005159692033136728,0.014447137692782839,0.0
BC,pts,POOLED,9022,3415,4.290550812518763,4.083634766280629,0.20691604623813373,4.822598665756481,0.00012498437695288088,-0.0003724025950621811,0.024960180276774574,0.0698885047749688,0.0
BC,pts,DECISION,3158,1051,5.062164314707972,5.06791084898606,-0.00574653427808734,-0.1135193154712689,0.2752155980502437,-4.143282984028114e-06,0.005283683116428129,0.014794312725998762,0.0
ABC,pts,POOLED,9022,3415,4.290550812518763,4.08770216795689,0.20284864456187277,4.727799609551546,0.00012498437695288088,-0.0003615046929794054,0.02489174691022617,0.06969689134863327,0.0
ABC,pts,DECISION,3158,1051,5.062164314707972,5.067588698431888,-0.005424383723916213,-0.10715542575644617,0.29133858267716534,-5.06378335633699e-06,0.005154064367551762,0.014431380229144933,0.0
