response,stratum,planted_multiple_of_null_sd,planted_dMAE,realised_dMAE,p,detected_at_05,null_sd,null_mean
minutes,POOLED,0.0,0.0,0.0,1.0,False,0.0,0.0
minutes,POOLED,0.5,0.004449343128981557,0.004444869858588163,0.00024993751562109475,True,0.00026823766007553633,-2.4588396197682046e-06
minutes,POOLED,1.0,0.008898686257963114,0.00887413874896481,0.00024993751562109475,True,0.0005355571735590525,-4.827280965577177e-06
minutes,POOLED,2.0,0.017797372515926228,0.017706942482149657,0.00024993751562109475,True,0.0010688924934965274,-9.552256864375928e-06
minutes,POOLED,4.0,0.035594745031852455,0.03523193413223691,0.00024993751562109475,True,0.002127942159851741,-1.853273660864949e-05
minutes,DECISION,0.0,0.0,0.0,1.0,False,0.0,0.0
minutes,DECISION,0.5,0.006160331635946191,0.006153627387912586,0.00024993751562109475,True,0.00039153255694641964,-7.0969864569822855e-06
minutes,DECISION,1.0,0.012320663271892383,0.012268236056909743,0.00024993751562109475,True,0.0007811429388312241,-1.4384745497953339e-05
minutes,DECISION,2.0,0.024641326543784765,0.02446818592265565,0.00024993751562109475,True,0.0015592685588329165,-2.917668222573865e-05
minutes,DECISION,4.0,0.04928265308756953,0.04858576742134435,0.00024993751562109475,True,0.0031007404432837624,-5.9075369933693724e-05
pts,POOLED,0.0,0.0,0.0,1.0,False,0.0,0.0
pts,POOLED,0.5,0.0023300228789930612,0.0023285494854148325,0.00024993751562109475,True,0.00014049580634724026,-1.3057426998079123e-06
pts,POOLED,1.0,0.0046600457579861225,0.004654341417984931,0.00024993751562109475,True,0.0002808249355554184,-2.6227565746307566e-06
pts,POOLED,2.0,0.009320091515972245,0.009293582548114188,0.00024993751562109475,True,0.0005607676372097344,-5.3100727048715845e-06
pts,POOLED,4.0,0.01864018303194449,0.01854125760846337,0.00024993751562109475,True,0.0011187732231584804,-1.0760931845037131e-05
pts,DECISION,0.0,0.0,0.0,1.0,False,0.0,0.0
pts,DECISION,0.5,0.002831365353021777,0.002828742781313842,0.00024993751562109475,True,0.00017999063466508258,-3.2546046778311495e-06
pts,DECISION,1.0,0.005662730706043554,0.005656006505525113,0.00024993751562109475,True,0.0003598943510449543,-6.502589299221107e-06
pts,DECISION,2.0,0.011325461412087108,0.011298620755055389,0.00024993751562109475,True,0.0007189346574839102,-1.2987043226170474e-05
pts,DECISION,4.0,0.022650922824174215,0.022548484031258198,0.00024993751562109475,True,0.0014343504019793403,-2.5621101708153436e-05
