screen,decides_cells_with_a_permutation_null,cells_audited,kills,within_entity_kills,exposed,undeterminable,ceiling_kills,null_mean_recorded_by_screen,null_mean_recovered_from_draws,null_mean_unrecoverable,no_null_mean_anywhere,draw_archives_on_disk,draw_archives_stored_standardised,code_mentions_within_scheme,max_over_two_nulls_signature
E0_I0012_layer3_noncollinear,False,0,0,0,0,0,0,0,0,0,0,30,0,8,0
E0_I0013_possession_volume,False,0,0,0,0,0,0,0,0,0,0,32,0,0,0
E0_I0015_points_skill_decomposition,True,584,548,358,0,0,0,0,0,0,584,3,0,3,0
E0_I0028_degeneracy_sweep,False,0,0,0,0,0,0,0,0,0,0,0,0,2,0
E1_I0004_efficiency_transfer,True,36,33,0,0,0,0,0,0,0,36,1,0,0,0
E1_I0004_efficiency_transfer_v2,True,66,51,0,0,0,0,0,0,0,66,2,0,0,0
E1_I0004_fga_forecast,False,0,0,0,0,0,0,0,0,0,0,3,0,0,0
E1_I0004_rim_finishing,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_I0004_shot_selection,False,0,0,0,0,0,0,0,0,0,0,2,0,0,0
E1_I0008_height_mismatch,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_I0009_additive_pressure,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_I0009_r2_rerun,False,0,0,0,0,0,0,0,0,0,0,2,0,0,0
E1_I0011_split_alpha,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_I0012_survivor_2021drop,False,0,0,0,0,0,0,0,0,0,0,4,0,0,0
E1_I0013_tempo_redundancy,False,0,0,0,0,0,0,0,0,0,0,4,0,0,0
E1_I0020_coldstart_tiering,True,447,85,0,0,0,0,0,0,0,447,6,0,2,0
E1_I0021_heterogeneity_diagnostic,True,62,58,54,0,0,0,56,0,0,6,1,0,22,0
E1_I0022_optimal_simple_estimator,True,64,22,0,0,0,0,0,0,0,64,3,0,9,0
E1_I0025_threshold_vs_refit,True,58,22,0,0,0,0,0,0,0,58,5,0,1,0
E1_I0026_detection_floor,False,0,0,0,0,0,0,0,0,0,0,5,0,15,0
E1_I0027_reference_ladder,True,35,8,0,0,0,0,0,0,0,35,1,0,6,0
E1_I0030_home_advantage_accounting,True,262,199,12,0,0,0,10,0,0,252,8,0,19,0
E1_I0031_rapm_as_prior,True,64,52,32,32,0,0,16,24,24,0,6,0,6,0
E1_I0032_aggregate_stack,True,300,186,0,0,0,0,300,0,0,0,2,0,2,0
E1_I0033_aggregation_level,True,17,6,0,0,0,0,6,0,0,11,4,0,0,0
E1_I0034_redistribution,True,47,25,7,0,3,0,14,0,0,33,4,0,4,0
E1_I0035_availability_sum,True,17,3,0,0,0,0,17,0,0,0,2,0,0,0
E1_I0036_level_artefact_sweep,True,26,6,2,0,0,20,26,0,0,0,23,0,16,0
MEASURE_F1_m13_fitpool,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_screen_kit,False,0,0,0,0,0,0,0,0,0,0,1,0,159,0
