test,target,over,added,null_mean,null_sd,n_draws
pm_dr2,fga,base_only,pm_all,0.0003506732419546924,0.00016165650295123254,2000
pm_dr2,fga,base_only,pm_game_level,0.00034390635100316577,0.00016588214980971908,2000
pm_dr2,fga,base_only,pm_prev_season,5.2436820554863556e-05,7.680644916572397e-05,2000
pm_dr2,fga,base_plus_RAPM,pm_all,0.0003041757203243278,0.00013940453887165775,2000
pm_dr2,fga,base_plus_RAPM,pm_game_level,0.0003068045805082257,0.00014211150355626238,2000
pm_dr2,fga,base_plus_RAPM,pm_prev_season,5.7218280216813756e-05,8.111066863399633e-05,2000
pm_dr2,minutes,base_only,pm_all,0.0005333721014442582,0.00020960292422090017,2000
pm_dr2,minutes,base_only,pm_game_level,0.000503330148476016,0.00020542256950749124,2000
pm_dr2,minutes,base_only,pm_prev_season,4.0948914262108066e-05,5.690786013195819e-05,2000
pm_dr2,minutes,base_plus_RAPM,pm_all,0.00043113012404664844,0.00019902687199842853,2000
pm_dr2,minutes,base_plus_RAPM,pm_game_level,0.00043576689576752133,0.000204370655607002,2000
pm_dr2,minutes,base_plus_RAPM,pm_prev_season,4.739301242612499e-05,6.72713559200531e-05,2000
pm_dr2,ppm,base_only,pm_all,0.001103271879407129,0.0005852037580909597,2000
pm_dr2,ppm,base_only,pm_game_level,0.0010956476291689259,0.0006050284350293659,2000
pm_dr2,ppm,base_only,pm_prev_season,0.00011966891100726963,0.0001709776835549592,2000
pm_dr2,ppm,base_plus_RAPM,pm_all,0.0011454099846742657,0.0006567081862599298,2000
pm_dr2,ppm,base_plus_RAPM,pm_game_level,0.0010900270493408046,0.0006056133937335677,2000
pm_dr2,ppm,base_plus_RAPM,pm_prev_season,0.00011722515634199583,0.00016634186960336577,2000
pm_dr2,pts,base_only,pm_all,0.0005849664150200431,0.0002456756956550999,2000
pm_dr2,pts,base_only,pm_game_level,0.0005654359194655491,0.0002471588261248841,2000
pm_dr2,pts,base_only,pm_prev_season,7.133324650174616e-05,0.00010285020549498329,2000
pm_dr2,pts,base_plus_RAPM,pm_all,0.000502585668572702,0.0001877160842426725,2000
pm_dr2,pts,base_plus_RAPM,pm_game_level,0.0004419852320188742,0.00019405597210459243,2000
pm_dr2,pts,base_plus_RAPM,pm_prev_season,7.784343574894399e-05,0.00010715361575408044,2000
