target,over,stratum,n,dr2_pm_all,p_pm_all_CYCLIC_BLIND,dr2_pm_game_level,p_pm_game_level_CYCLIC_BLIND,dr2_increment_from_the_blind_component,dr2_pm_prev_season_alone,p_pm_prev_season_MATCHED_RELABEL_NULL,blind_component_null_is,blind_component_killed_under_its_own_matched_null,over_d103_single_cell_floor
pts,base_only,wf_eval_2023_24,9517,0.000216185924765,0.9720139930034982,0.0002147162129964,0.9570214892553724,1.4697117685999873e-06,1.912370398126985e-05,0.6051974012993503,player_season_relabel,True,False
pts,base_only,decision_stratum_wf,3549,0.0010943160233315,0.4427786106946527,0.0010912671889604,0.4117941029485257,3.048834371100059e-06,1.2895636418310533e-06,0.9375312343828086,player_season_relabel,True,True
pts,base_plus_RAPM,wf_eval_2023_24,9517,0.0002509778889857,0.9405297351324338,0.0002049994770061,0.9220389805097452,4.59784119796e-05,6.01519254752454e-05,0.3808095952023988,player_season_relabel,True,False
pts,base_plus_RAPM,decision_stratum_wf,3549,0.0012031133644397,0.351824087956022,0.001201596951682,0.3463268365817091,1.5164127576999982e-06,5.215552915388948e-06,0.8825587206396801,player_season_relabel,True,True
minutes,base_only,wf_eval_2023_24,9517,0.0005197358795873,0.4822588705647176,0.0004920157557425,0.4712643678160919,2.7720123844800042e-05,3.104487768249028e-05,0.3898050974512743,player_season_relabel,True,False
minutes,base_only,decision_stratum_wf,3549,0.002060926068917,0.1334332833583208,0.0020225053067182,0.1444277861069465,3.8420762198800116e-05,2.8001661241165413e-07,0.9785107446276862,player_season_relabel,True,True
minutes,base_plus_RAPM,wf_eval_2023_24,9517,0.0004018618403945,0.5177411294352824,0.0004008886407112,0.5217391304347826,9.731996833000386e-07,5.761347598682301e-07,0.9150424787606196,player_season_relabel,True,False
minutes,base_plus_RAPM,decision_stratum_wf,3549,0.0016399868359844,0.2368815592203898,0.0016395454473815,0.2668665667166416,4.4138860289997216e-07,1.0414515030999757e-10,0.9985007496251874,player_season_relabel,True,True
fga,base_only,wf_eval_2023_24,9517,0.0004994569718704,0.1659170414792603,0.0004978129798142,0.1679160419790105,1.643992056200058e-06,3.3388308262262415e-07,0.9440279860069966,player_season_relabel,True,False
fga,base_only,decision_stratum_wf,3549,0.0011341260904681,0.0819590204897551,0.0011327611905157,0.0804597701149425,1.3648999524001545e-06,1.514869863182912e-06,0.938030984507746,player_season_relabel,True,True
fga,base_plus_RAPM,wf_eval_2023_24,9517,0.0003798765845928,0.2538730634682659,0.0003798637054933,0.2653673163418291,1.2879099500035743e-08,1.5383452057544592e-07,0.9610194902548724,player_season_relabel,True,False
fga,base_plus_RAPM,decision_stratum_wf,3549,0.0009260227217354,0.1554222888555722,0.000925782167265,0.1794102948525737,2.4055447040002495e-07,2.4860815734453e-07,0.9675162418790604,player_season_relabel,True,False
ppm,base_only,wf_eval_2023_24,9517,0.000469613926833,0.8875562218890555,0.0004599660505751,0.8875562218890555,9.647876257900005e-06,5.480419636670589e-05,0.4887556221889055,player_season_relabel,True,False
ppm,base_only,decision_stratum_wf,3549,0.0015628032052869,0.4717641179410294,0.0015144886026695,0.448775612193903,4.831460261740003e-05,6.33654681919144e-05,0.6421789105447276,player_season_relabel,True,True
ppm,base_plus_RAPM,wf_eval_2023_24,9517,0.0005365241400378,0.8380809595202399,0.000509466986245,0.8355822088955522,2.705715379279993e-05,3.72698932710718e-05,0.5677161419290355,player_season_relabel,True,False
ppm,base_plus_RAPM,decision_stratum_wf,3549,0.0018496019907835,0.3158420789605197,0.001849471158054,0.3228385807096451,1.3083272950003416e-07,8.775828836499027e-06,0.856071964017991,player_season_relabel,True,True
