screen,exists,n_csv,n_cell_tables,has_within_col,has_between_col,has_row_col,max_signature_hits
E0_I0012_layer3_noncollinear,True,42,10,False,False,False,0
E0_I0013_possession_volume,True,33,0,False,False,False,0
E0_I0015_points_skill_decomposition,True,21,10,False,True,True,0
E0_I0028_degeneracy_sweep,True,14,10,False,False,False,0
E1_I0004_efficiency_transfer,True,5,2,False,False,True,0
E1_I0004_efficiency_transfer_v2,True,11,7,False,False,True,0
E1_I0004_fga_forecast,True,3,0,False,False,True,0
E1_I0004_rim_finishing,True,0,0,False,False,False,0
E1_I0004_shot_selection,True,2,0,False,False,False,0
E1_I0008_height_mismatch,True,0,0,False,False,False,0
E1_I0009_additive_pressure,True,2,2,False,False,False,0
E1_I0009_r2_rerun,True,6,4,False,False,False,0
E1_I0011_split_alpha,True,10,6,False,False,False,0
E1_I0012_survivor_2021drop,True,4,0,False,False,False,0
E1_I0013_tempo_redundancy,True,6,1,False,False,True,0
E1_I0020_coldstart_tiering,True,23,12,False,True,True,0
E1_I0021_heterogeneity_diagnostic,True,16,10,True,True,True,0
E1_I0022_optimal_simple_estimator,True,15,4,True,False,False,0
E1_I0025_threshold_vs_refit,True,14,8,False,True,False,0
E1_I0026_detection_floor,True,23,11,False,False,False,0
E1_I0027_reference_ladder,True,10,6,True,True,True,0
E1_I0030_home_advantage_accounting,True,18,10,True,True,True,0
E1_I0031_rapm_as_prior,True,22,10,False,False,False,0
E1_I0032_aggregate_stack,True,13,9,False,False,False,0
E1_I0033_aggregation_level,True,18,10,False,False,True,0
E1_I0034_redistribution,True,17,12,True,True,False,0
E1_I0035_availability_sum,True,19,14,False,True,False,0
E1_I0036_level_artefact_sweep,True,11,10,False,True,False,0
MEASURE_F1_m13_fitpool,True,1,1,False,False,False,0
_screen_kit,True,1,0,False,False,True,0
