target,over,stratum,null_p95_CYCLIC_within,null_p95_RELABEL_between,ratio
pts,base_only,wf_eval_2023_24,0.0010160774272028,0.0002788211611547,3.6441905018788865
pts,base_only,decision_stratum_wf,0.0023722519723484,0.0009179633563445,2.584255630633391
pts,base_plus_RAPM,wf_eval_2023_24,0.0007853866502011,0.0003082354194902,2.548009088313326
pts,base_plus_RAPM,decision_stratum_wf,0.0021087884860477,0.0009259612239547,2.277404746001401
minutes,base_only,wf_eval_2023_24,0.0008721362297104,0.0001585181522851,5.501806683576749
minutes,base_only,decision_stratum_wf,0.0027059676602467,0.0008337631698158,3.245487157755503
minutes,base_plus_RAPM,wf_eval_2023_24,0.0008204900292603,0.0001750220261667,4.687924412889741
minutes,base_plus_RAPM,decision_stratum_wf,0.0027593401373425,0.0008319336079802,3.3167792608375697
fga,base_only,wf_eval_2023_24,0.0006521873970875,0.0001935025891554,3.370432405758327
fga,base_only,decision_stratum_wf,0.0012999282443653,0.0007310333594488,1.778206462897189
fga,base_plus_RAPM,wf_eval_2023_24,0.0005595321411446,0.0002162560128992,2.5873599242089322
fga,base_plus_RAPM,decision_stratum_wf,0.0013988223876851,0.0007509817726539,1.8626582410140147
ppm,base_only,wf_eval_2023_24,0.0022451853401601,0.0004785511753974,4.691630604178635
ppm,base_only,decision_stratum_wf,0.0032263925572822,0.0012328165613032,2.617090537680324
ppm,base_plus_RAPM,wf_eval_2023_24,0.0022281694657447,0.0004553556374263,4.893251082469211
ppm,base_plus_RAPM,decision_stratum_wf,0.0032115706361728,0.001058438389584,3.0342537343482507
