label,n_blocks,seasons,lam,w_between,rho,K,t_crit_fw,seed,n,n_blocks_actual,regime,t_crit_used,sd_signed_true,sd_signed_recovered,sd_abs,mean_abs,mean_signed,fold_factor_sd,recovery_rel_err,q_threshold,type1_at_delta0,max_power,power_monotone,E_inj,E_inj_status,null_sd_drift_top_vs_zero,A_pub_folded,A_pub_signed,A_cor,ratio_A_pub_folded,ratio_A_pub_signed,ratio_A_cor,status
C001,36,4,12,0.1,0.0,348,6.686212,20418726,465,36,per_cell,1.959964,1.3338320879527463,1.3639097113874783,0.7998979238042125,1.1047230477865413,0.28734256759593435,1.667502875378412,0.022549782469918754,2.6075826070882706,0.04375,0.19625,True,,ABOVE_GRID_MAX,1.078251985286254,0.010800002737926273,0.030030118678453205,0.029922846395277355,,,,OK
C001,36,4,12,0.1,0.0,348,6.686212,20418726,465,36,family_wise,6.686212,1.3338320879527463,1.3639097113874783,0.7998979238042125,1.1047230477865413,0.28734256759593435,1.667502875378412,0.022549782469918754,5.110492385271619,0.0,0.00375,True,,ABOVE_GRID_MAX,1.078251985286254,0.07797514035021347,0.21681501157985542,0.08355098688799828,,,,OK
C002,36,4,30,0.1,0.0,348,6.686212,20426645,1052,36,per_cell,1.959964,1.4142497782011079,1.4141350635849201,0.8737120837409377,1.111937575939133,0.034949319818521764,1.6186679851625398,8.111340581834276e-05,2.753585942666678,0.05,0.25125,True,,ABOVE_GRID_MAX,1.1787542346789535,0.005695457611409286,0.014922589014320989,0.014785115652047416,,,,OK
C002,36,4,30,0.1,0.0,348,6.686212,20426645,1052,36,family_wise,6.686212,1.4142497782011079,1.4141350635849201,0.8737120837409377,1.111937575939133,0.034949319818521764,1.6186679851625398,8.111340581834276e-05,5.169504650574424,0.0,0.0175,True,,ABOVE_GRID_MAX,1.1787542346789535,0.04112074018729406,0.10773987757373993,0.03844737645177959,,,,OK
C003,36,4,12,0.1,0.5,348,6.686212,20434564,479,36,per_cell,1.959964,1.0349119843336756,1.0412897578860683,0.6329315154805533,0.8268506857891071,-0.11865747005981955,1.6351089478423564,0.006162624115807268,2.1165981527797864,0.0425,0.16125,True,,ABOVE_GRID_MAX,1.1997184697510852,0.006564257483333635,0.017550075867524485,0.018634167079577497,,,,OK
C003,36,4,12,0.1,0.5,348,6.686212,20434564,479,36,family_wise,6.686212,1.0349119843336756,1.0412897578860683,0.6329315154805533,0.8268506857891071,-0.11865747005981955,1.6351089478423564,0.006162624115807268,4.069796570049687,0.0,0.0075,True,,ABOVE_GRID_MAX,1.1997184697510852,0.0473934045183548,0.12671011870408821,0.05096348495549129,,,,OK
C004,36,4,30,0.1,0.5,348,6.686212,20442483,1145,36,per_cell,1.959964,1.5775107878751544,1.6084408158070973,0.9647300037157976,1.2870034490570401,0.31699979096830805,1.6351837112965728,0.019606856681851557,3.1822116643565264,0.035,0.23125,True,,ABOVE_GRID_MAX,1.132655547556319,0.006379898417875428,0.017058736797717442,0.017763320293643137,,,,OK
C004,36,4,30,0.1,0.5,348,6.686212,20442483,1145,36,family_wise,6.686212,1.5775107878751544,1.6084408158070973,0.9647300037157976,1.2870034490570401,0.31699979096830805,1.6351837112965728,0.019606856681851557,5.4178520627438305,0.0,0.01625,True,,ABOVE_GRID_MAX,1.132655547556319,0.04606234707765103,0.12316269062861131,0.039739756939509964,,,,OK
C005,36,4,12,0.5,0.0,348,6.686212,20450402,441,36,per_cell,1.959964,2.1851562259765243,2.2030045030447667,1.2743663996101895,1.7970028157963702,0.2868095727584571,1.714700125995893,0.008167963853598715,4.3018626699406814,0.0425,0.09375,True,,ABOVE_GRID_MAX,1.1672186982140444,0.028903984408045313,0.08498339443108797,0.08551270224814711,,,,OK
C005,36,4,12,0.5,0.0,348,6.686212,20450402,441,36,family_wise,6.686212,2.1851562259765243,2.2030045030447667,1.2743663996101895,1.7970028157963702,0.2868095727584571,1.714700125995893,0.008167963853598715,6.189825887566963,0.0,0.015,True,,ABOVE_GRID_MAX,1.1672186982140444,0.20868441384584957,0.6135731878040263,0.1461751280109794,,,,OK
C006,36,4,30,0.5,0.0,348,6.686212,20458321,1100,36,per_cell,1.959964,2.28053212661316,2.2800452288007858,1.389766783368925,1.8075271874087036,-0.04319934835083258,1.640945915461396,0.00021350184314101558,4.686559490072529,0.04625,0.12,True,,ABOVE_GRID_MAX,1.24829138260447,0.01378157488065768,0.0371096948817839,0.039670876705816885,,,,OK
C006,36,4,30,0.5,0.0,348,6.686212,20458321,1100,36,family_wise,6.686212,2.28053212661316,2.2800452288007858,1.389766783368925,1.8075271874087036,-0.04319934835083258,1.640945915461396,0.00021350184314101558,7.958102120692376,0.0,0.0125,True,,ABOVE_GRID_MAX,1.24829138260447,0.09950184843866056,0.26792897529545534,0.08869449730465151,,,,OK
C007,36,4,12,0.5,0.5,348,6.686212,20466240,501,36,per_cell,1.959964,2.0769890271200997,2.089723999396013,1.2588770660870732,1.6679852895429474,-0.23764335634189432,1.6498743865244423,0.006131458620930283,4.046262799008688,0.06875,0.07125,True,,ABOVE_GRID_MAX,0.9608748291339259,0.02482770617220108,0.06758313875384153,0.0670138174196516,,,,OK
C007,36,4,12,0.5,0.5,348,6.686212,20466240,501,36,family_wise,6.686212,2.0769890271200997,2.089723999396013,1.2588770660870732,1.6679852895429474,-0.23764335634189432,1.6498743865244423,0.006131458620930283,6.3211999580303555,0.00625,0.00625,True,,ABOVE_GRID_MAX,0.9608748291339259,0.17925401690434795,0.48794475867425646,0.12996527406500663,,,,OK
C008,36,4,30,0.5,0.5,348,6.686212,20474159,1123,36,per_cell,1.959964,2.6273406896274447,2.626885215924714,1.5707098480032744,2.105563228931717,0.05613889349424234,1.672709121272389,0.0001733592086207514,5.026813330929328,0.06375,0.1525,True,,ABOVE_GRID_MAX,1.3240785532323311,0.017243279049229718,0.04824593270247164,0.046651121273519294,,,,OK
C008,36,4,30,0.5,0.5,348,6.686212,20474159,1123,36,family_wise,6.686212,2.6273406896274447,2.626885215924714,1.5707098480032744,2.105563228931717,0.05613889349424234,1.672709121272389,0.0001733592086207514,8.613208659760717,0.00125,0.02,True,,ABOVE_GRID_MAX,1.3240785532323311,0.12449507065770903,0.34833170556441223,0.1043351553636062,,,,OK
C009,36,4,12,0.8,0.0,348,6.686212,20482078,461,36,per_cell,1.959964,3.02569646514943,3.0320626802448025,1.8089150078628018,2.433357883925424,-0.21428562646027843,1.6726581691221811,0.00210404948701888,5.834244288539266,0.05,0.0875,True,,ABOVE_GRID_MAX,1.111296021158437,0.055711272449866386,0.15586818193082908,0.15235729669372977,,,,OK
C009,36,4,12,0.8,0.0,348,6.686212,20482078,461,36,family_wise,6.686212,3.02569646514943,3.0320626802448025,1.8089150078628018,2.433357883925424,-0.21428562646027843,1.6726581691221811,0.00210404948701888,9.456793150836544,0.0,0.0025,True,,ABOVE_GRID_MAX,1.111296021158437,0.40223085065637953,1.1253555815785545,0.31253539218159926,,,,OK
C010,36,4,30,0.8,0.0,348,6.686212,20489997,1099,36,per_cell,1.959964,3.404832365070611,3.416738810249067,2.064010071423941,2.7228599895188785,-0.30064363547894696,1.6496200344224334,0.0034969255169803783,6.850593904071507,0.03625,0.0875,True,,ABOVE_GRID_MAX,1.1721563946094142,0.030425211871259877,0.08279449395254557,0.08589992728266478,,,,OK
C010,36,4,30,0.8,0.0,348,6.686212,20489997,1099,36,family_wise,6.686212,3.404832365070611,3.416738810249067,2.064010071423941,2.7228599895188785,-0.30064363547894696,1.6496200344224334,0.0034969255169803783,10.804368019877758,0.0,0.0075,True,,ABOVE_GRID_MAX,1.1721563946094142,0.2196675522604544,0.5977695045857231,0.17003408317543417,,,,OK
