tau_minutes_freed,n_rows_at_or_above,n_blocks_at_or_above,six_block_floor_ok,dMAE_above_tau,dMAE_below_tau,bootstrap_frac_positive_above_tau,threshold_point_estimate,threshold_ci90_lo,threshold_ci90_hi,threshold_ci50_lo,threshold_ci50_hi,arm,stratum,response,conditioning,bootstrap
0.0,3158,764,True,0.030451821403176288,,0.999,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
2.5,2262,544,True,0.04218154212811501,0.012749215210755489,0.9985,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
5.0,2171,522,True,0.043273593709675436,0.014799200316835695,0.9985,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
7.5,1959,469,True,0.04589443975740724,0.017291835653231866,0.9985,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
10.0,1811,431,True,0.047285806783188986,0.020651482170344057,0.9975,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
12.5,1672,399,True,0.04910298566611381,0.021674360489196343,0.9965,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
15.0,1566,375,True,0.050830506072720195,0.021942092028279323,0.996,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
17.5,1460,353,True,0.05583481441997969,0.01701280248322922,0.9965,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
20.0,1320,323,True,0.06521021700057554,0.010079286264206807,0.997,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
22.5,1149,287,True,0.07304669595059682,0.010440442273033253,0.997,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
25.0,1051,264,True,0.08081107817753179,0.008845991202082524,0.9975,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
27.5,972,246,True,0.09154473013705364,0.005326444994821785,0.9985,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
30.0,881,223,True,0.0959128646970773,0.008102512634101122,0.9985,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
32.5,801,203,True,0.09882492381049662,0.011189531591462444,0.9975,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
35.0,665,172,True,0.10977907037903117,0.013987783930661225,0.9955,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
37.5,595,154,True,0.1056215782099739,0.019305917124157742,0.9925,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
40.0,540,140,True,0.09612854918672123,0.02484976722650267,0.9775,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
42.5,453,118,True,0.11717474331000217,0.02306568162301913,0.984,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
45.0,417,109,True,0.12772216983199136,0.022535035279039033,0.984,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
47.5,383,101,True,0.11757910791609262,0.026384960608548634,0.968,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
50.0,372,98,True,0.11454144807047588,0.027479442436641195,0.9605,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
52.5,325,86,True,0.11280138392054385,0.029812826762051086,0.9365,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
55.0,298,78,True,0.10546950774071841,0.03200046400617728,0.915,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
57.5,254,67,True,0.11089436706647936,0.032897766210133024,0.8975,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
60.0,215,57,True,0.07033371212240981,0.03848295531097465,0.7645,0.0,0.0,0.0,0.0,0.0,UNGATED_FROZEN_INTERCEPT,C_treatable_AND_DECISION,minutes,ORACLEABS,block_over_team_games_on_fitted_losses_no_refit
