a,b,pearson
A10_opp_defrtg,A02_opp_ts_allowed,0.8288818305603542
A10_opp_defrtg,A01_opp_efg_allowed,0.8153321788883794
A10_opp_defrtg,A05_opp_fg3pct_allowed,0.6472727290357453
A10_opp_defrtg,A09_opp_stl,-0.48189344767192815
A10_opp_defrtg,A11_opp_fastbreak_allowed,0.4208074489892525
A10_opp_defrtg,A03_opp_paintpts_allowed,0.3047024371287183
A10_opp_defrtg,A07_opp_ftrate_allowed,0.2637093615702615
A10_opp_defrtg,A08_opp_pf,0.26365223046156633
A10_opp_defrtg,A12_opp_2ndchance_allowed,0.24219027172947985
A10_opp_defrtg,A06_opp_fg3a_share_allowed,0.22054933102980157
A10_opp_defrtg,A04_opp_blk,-0.19971214423683586
