anchor,what,reproduced,recorded,abs_diff,tol,PASS,source
A7a,E0_I0016 screen_frame row count,14852.0,14852.0,0.0,0.0,True,parquet
A7b,E1_I0018 screen_frame row count,14852.0,14852.0,0.0,0.0,True,parquet
A7c,merged row count,14852.0,14852.0,0.0,0.0,True,inner merge
A1,D085 A10_opp_defrtg -> ppm dR2 over refB,0.0014430974149688093,0.0014430974149688,9.324138683375338e-18,5e-07,True,E0_I0016/screen_results.csv
A1b,D085 same cell over refA,0.0015087657892969193,0.0015087657892969,1.929879867024198e-17,5e-07,True,same
A3,var_share_between opp_team_season,0.7713559695277253,0.7713559695277252,1.1102230246251565e-16,5e-07,True,same
A2a,D085 p_N2_entity_swap (read),0.0016638935108153,0.001664,1.064891846998435e-07,5e-07,True,same
A2b,D085 p_familywise_N2 (read),0.0099833610648918,0.009983,3.61064891799337e-07,5e-07,True,same
A2c,D085 p_N1_within_entity (read) -- the BLIND arm,0.870216306156406,0.870216,3.061564060047317e-07,5e-07,True,same
A4a,"D098 ceiling (T3, decision, wf)",0.0128082139201989,0.01280821,3.920198899873273e-09,1e-06,True,E1_I0023/arithmetic_ceiling.csv
A4b,D098 points moved by 1 sd (T3),0.739198352828746,0.739198,3.5282874599751324e-07,5e-07,True,same
A4c,"D098 realised dR2 points (T3, n=1687)",0.018702810112816,0.018703,1.8988718400100857e-07,5e-07,True,same
A4d,D098 T3 row count,1687.0,1687.0,0.0,0.0,True,same
A5a,"D099 realised dR2 points, decision, n=4514",0.0033354248642842,0.003335,4.248642841999349e-07,5e-07,True,same
A5b,D099 decision-stratum row count,4514.0,4514.0,0.0,0.0,True,same
A6,D093 opp-defrtg Spearman (carried anchor),0.3200431235648813,0.3200431235648813,0.0,0.0,True,E1_I0023/_prereg.json
