response,window,base,arm,candidate,scheme,is_verdict_null,n_blocks,n_draws,signed_observed,null_mean,null_sd,z,p,p_min_attainable,npz
y_ppm,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,N_ESWAP,True,48,2000,0.010337911204223043,-0.0004402809352530629,0.0011375375990770405,9.475020560393931,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B0_COMPLETE__UNFROZEN__A10_opp_defrtg__N_ESWAP.npz
y_ppm,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,N_DATE,True,1627,2000,0.010337911204223043,-0.0002167615228333089,0.00039337784884443787,26.830877127578734,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B0_COMPLETE__UNFROZEN__A10_opp_defrtg__N_DATE.npz
y_ppm,CLEAN_2023_24,B0_COMPLETE,FROZEN,A10_opp_defrtg,N_ESWAP,True,48,2000,0.01016239402745404,-0.00043687045469849295,0.0011335497218677537,9.350506887944968,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B0_COMPLETE__FROZEN__A10_opp_defrtg__N_ESWAP.npz
y_ppm,CLEAN_2023_24,B0_COMPLETE,FROZEN,A10_opp_defrtg,N_DATE,True,1627,2000,0.01016239402745404,-0.00021525141613117167,0.00039200374716766284,26.473332254006788,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B0_COMPLETE__FROZEN__A10_opp_defrtg__N_DATE.npz
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,A10_opp_defrtg,N_ESWAP,True,48,2000,0.009397775953178707,-0.00040826751298714373,0.0010445959591743733,9.387403215609163,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__UNFROZEN__A10_opp_defrtg__N_ESWAP.npz
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,A10_opp_defrtg,N_DATE,True,1627,2000,0.009397775953178707,-0.00021152698414757216,0.0003790635589651379,25.350110054261474,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__UNFROZEN__A10_opp_defrtg__N_DATE.npz
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,A10_opp_defrtg,N_WITHIN_CONTRAST_ONLY,False,600,2000,0.009397775953178707,-0.00022137896474070122,0.0005221843796753778,18.420993220630752,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__UNFROZEN__A10_opp_defrtg__N_WITHIN_CONTRAST_ONLY.npz
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,A10_opp_defrtg,N_ESWAP,True,48,2000,0.008907938473175054,-0.00037427367398581713,0.0009907939085417158,9.368459037886845,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__FROZEN__A10_opp_defrtg__N_ESWAP.npz
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,A10_opp_defrtg,N_DATE,True,1627,2000,0.008907938473175054,-0.00021295624889791355,0.000376987810073621,24.194136994222095,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__FROZEN__A10_opp_defrtg__N_DATE.npz
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,A10_opp_defrtg,N_WITHIN_CONTRAST_ONLY,False,600,2000,0.008907938473175054,-0.0002229731555287535,0.0005162514888830587,17.686944881183948,0.0004997501249375312,0.0004997501249375312,y_ppm__CLEAN_2023_24__B1_HONEST__FROZEN__A10_opp_defrtg__N_WITHIN_CONTRAST_ONLY.npz
