base,column,rows_in_stratum,finite,missing,coverage
B0_COMPLETE,refB_ppm,5673,5673,0,1.0
B0_COMPLETE,refB_spm,5673,5673,0,1.0
B0_COMPLETE,refB_pps,5673,5673,0,1.0
B0_COMPLETE,refB_mpg,5673,5673,0,1.0
B0_COMPLETE,refB_own_usg_pg,5673,5673,0,1.0
B1_HONEST,refB_ppm,5673,5673,0,1.0
B1_HONEST,refB_spm,5673,5673,0,1.0
B1_HONEST,refB_pps,5673,5673,0,1.0
B1_HONEST,refB_mpg,5673,5673,0,1.0
B1_HONEST,refB_own_usg_pg,5673,5673,0,1.0
B1_HONEST,D01_tm_poss_per40,5673,5673,0,1.0
B1_HONEST,D02_opp_poss_per40,5673,5673,0,1.0
B2_FAMILY,refB_ppm,5673,5673,0,1.0
B2_FAMILY,refB_spm,5673,5673,0,1.0
B2_FAMILY,refB_pps,5673,5673,0,1.0
B2_FAMILY,refB_mpg,5673,5673,0,1.0
B2_FAMILY,refB_own_usg_pg,5673,5673,0,1.0
B2_FAMILY,D01_tm_poss_per40,5673,5673,0,1.0
B2_FAMILY,D02_opp_poss_per40,5673,5673,0,1.0
B2_FAMILY,A01_opp_efg_allowed,5673,5673,0,1.0
B2_FAMILY,A02_opp_ts_allowed,5673,5673,0,1.0
