screen,cell,candidate,dependent,n_published,d103_sd_used,d103_degeneracy_ratio,d103_mde_published,d103_classification,broken_kind,null_scheme_used,candidate_vsb,n_blocks,n_unique_draws_published,statistic_constant_under_null,permutation_set_trivial,max_within_block_spread_z,degeneracy_BETWEEN_arm,degeneracy_WITHIN_arm,degeneracy_rowNAIVE_arm,mechanism,statistic_blindness_max_abs_change,resolution,resolution_reason,A4_n,A4_n_blocks,A4_null_mean_signed_t,A4_null_sd_signed_t,A4_degeneracy_ratio,A4_null_functions,A4_observed_dr2,A4_p_two_sided,A4_mde80_percell,A4_mde80_familywise,A4_class_percell,A4_below_single_cell_floor,A3_n,A3_n_blocks,A3_null_mean_signed_t,A3_null_sd_signed_t,A3_degeneracy_ratio,A3_null_functions,A3_observed_dr2,A3_p_two_sided,A3_mde80_percell,A3_mde80_familywise,A3_class_percell,A3_below_single_cell_floor,A2_n,A2_n_blocks,A2_null_mean_signed_t,A2_null_sd_signed_t,A2_degeneracy_ratio,A2_null_functions,A2_observed_dr2,A2_p_two_sided,A2_mde80_percell,A2_mde80_familywise,A2_class_percell,A2_below_single_cell_floor,A1_n,A1_n_blocks,A1_null_mean_signed_t,A1_null_sd_signed_t,A1_degeneracy_ratio,A1_null_functions,A1_observed_dr2,A1_p_two_sided,A1_mde80_percell,A1_mde80_familywise,A1_class_percell,A1_below_single_cell_floor,corrected_classification_LIKE_FOR_LIKE_A1,corrected_classification_DECISION_STRATUM_A4,floor_basis
E0_I0014_residual_heterogeneity,pl_games_prior|minutes_absres,pl_games_prior,minutes_absres,13879,0.8255933817229756,8.125145702685568,0.0027830063405702,BLIND,DEGENERATE_GT5,WITHIN-block,0.1732059994071668,475.0,1000,False,False,4.239624094686475,10.41656744867042,8.125145702685568,1.353863415948288,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",6.031028270349992,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.038324629748975,1.2802508345497543,1.2967483070680963,True,0.0005505693366364,0.273,0.0044656026675905,0.0115433267325337,BLIND,True,9517.0,311.0,0.0086139132049955,1.2572673833093528,1.3061263189895578,True,0.0166508082610804,0.0,0.00162297808847,0.0052446784680742,ADEQUATELY_POWERED,False,5107.0,257.0,0.0306349030964554,1.2166107211655397,1.25415403532637,True,0.0004106657831696,0.227,0.0029246924322953,0.0071588424876592,BLIND,True,13879.0,475.0,-0.0020558896536634,1.2248891538273132,1.312234520138484,True,0.0165100390196486,0.0,0.0010170863348482,0.003396141156509,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_games_prior|minutes_sqres,pl_games_prior,minutes_sqres,13879,0.7915343278595853,9.546090676659476,0.0025581222727648,BLIND,DEGENERATE_GT5,WITHIN-block,0.1732059994071668,475.0,1000,False,False,4.239624094686475,12.621962197316915,9.546090676659475,1.3382878281923811,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",6.874943574814692,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.043218969526656,1.1832726200161707,1.3072113660177371,True,0.0004648602370935,0.269,0.0037828872825527,0.0112508067969094,BLIND,True,9517.0,311.0,-0.0008938345493211,1.1793121909854003,1.3179072010664692,True,0.0185565430096156,0.0,0.0013561680922677,0.0051477213068454,ADEQUATELY_POWERED,False,5107.0,257.0,0.0286021555963362,1.144827182422531,1.288485506690517,True,0.0006674088295507,0.108,0.0023999757430612,0.0070164998788145,BLIND,True,13879.0,475.0,-0.004478330797197,1.181766540091736,1.3007709325852863,True,0.0190204800139105,0.0,0.0009569352547878,0.0033603301840511,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|pts_absres,pl_minutes_prior,pts_absres,13879,0.8619331760883637,20.084641133955625,0.0030333951251009,BLIND,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,1.8557682757920826,20.084641133955625,1.3326933643120797,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",18.40476399773908,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.0107536305129058,1.1915976508249118,1.3121950235792783,True,0.0016185962706516,0.0455,0.0038442040052685,0.0112757706760522,BLIND,False,9517.0,311.0,-0.0097009869368572,1.7210796389806269,1.3306612621662903,True,0.0135248309899639,0.0,0.0029789507923972,0.0058402493021384,BLIND,False,5107.0,257.0,-0.0097418982239611,1.2231942375848504,1.3484195030540225,True,0.00085600380493,0.084,0.0027407302704964,0.0071719687783734,BLIND,True,13879.0,475.0,0.0900292156684445,1.704776708211105,1.2974351308819403,True,0.0120848952144151,0.0,0.0021274115946094,0.0038074708094988,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|pts_sqres,pl_minutes_prior,pts_sqres,13879,0.9708158229327204,15.039411646974282,0.0038481809236501,BLIND,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,1.9408632967116541,15.039411646974282,1.3036018422812827,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",15.948413200140632,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,-0.0057116765670366,1.2054022122029626,1.302047603281486,True,0.0011757186015976,0.095,0.0040027396679846,0.0113172267373365,BLIND,False,9517.0,311.0,-0.0094286305108672,1.6380524033215869,1.3451196642945724,True,0.0068064200206242,0.0,0.0025860910335146,0.0057312828415144,BLIND,False,5107.0,257.0,-0.0124703448808915,1.2391167436884774,1.3146151570709903,True,0.0009026825319619,0.08,0.0028437340086076,0.0072037649565084,BLIND,True,13879.0,475.0,0.0770466986018453,1.640422865288989,1.3138731824353198,True,0.0064691266121032,0.0,0.0018689466917961,0.0037509459539363,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|minutes_absres,pl_minutes_prior,minutes_absres,13879,0.6673440276785463,17.26390853404377,0.0018183661848142,ADEQUATELY_POWERED,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,7.004635073313591,17.26390853404377,1.311359344776088,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",10.005242786487424,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.0571858818889658,1.2860079118889702,1.3423169414578124,True,0.0051382883012201,0.002,0.0042344676590818,0.0115608101202568,BLIND,False,9517.0,311.0,0.0145743142892717,1.3749824212564832,1.3372649175286295,True,0.0217398319419625,0.0,0.0018586020530752,0.0053928014491446,ADEQUATELY_POWERED,False,5107.0,257.0,0.0287929398688546,1.2340518075085376,1.311547403261096,True,0.0041283058917505,0.0,0.0029534394115683,0.0071936429908691,BLIND,False,13879.0,475.0,-0.0124511095867026,1.3183004609094269,1.3126417700825084,True,0.0215155130841955,0.0,0.0012427969022192,0.003474365040046,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|minutes_sqres,pl_minutes_prior,minutes_sqres,13879,0.6261002167338157,18.324153314116725,0.0016005509311611,ADEQUATELY_POWERED,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,8.557179676944433,18.324153314116725,1.3448887731129593,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",9.99744935043447,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.0530464011327611,1.184282915101647,1.3318845359011109,True,0.0031614755318382,0.005,0.0035840662453776,0.0112538348464234,BLIND,False,9517.0,311.0,0.0042451239321606,1.269098773440393,1.3413601778993056,True,0.020684445701872,0.0,0.0015942839856811,0.0052594728831738,ADEQUATELY_POWERED,False,5107.0,257.0,0.0224563275260339,1.1642523313950737,1.322195043787344,True,0.0032190342591106,0.0005,0.0026306402752501,0.0070548777619823,BLIND,False,13879.0,475.0,-0.0129321637956545,1.2442232408437948,1.3150693401341635,True,0.0210611607790034,0.0,0.0010652051661236,0.0034122586864269,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|fga_absres,pl_minutes_prior,fga_absres,13879,0.7651634655940137,13.829631032097032,0.0023905082187132,BLIND,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,4.010618743789597,13.829631032097033,1.347237178451108,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",11.95059028807545,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.045724542363308,1.1600845501898136,1.3407472114716716,True,0.0024142953406626,0.0085,0.0033873669795774,0.011181419662441,BLIND,False,9517.0,311.0,0.0065251620841542,1.5155391940070202,1.3337425277897077,True,0.0030217796729727,0.001,0.0022195710235323,0.0055723684573594,ADEQUATELY_POWERED,False,5107.0,257.0,0.017141763640351,1.1774510356355694,1.3348911968648989,True,0.0016505293985535,0.01,0.0025203868212215,0.0070810139032299,BLIND,False,13879.0,475.0,0.0999251174589914,1.4766315020590126,1.330546588882919,True,0.0022155541511143,0.0,0.0015204405327749,0.0036089877993057,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_minutes_prior|fga_sqres,pl_minutes_prior,fga_sqres,13879,0.850686922040368,10.726855948015093,0.0029547538192786,BLIND,DEGENERATE_GT5,WITHIN-block,0.4014931227622371,475.0,1000,False,False,4.849845593502979,4.42001601806105,10.726855948015091,1.333822185994508,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",10.917273189850942,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.0376287669442718,1.1641047790104688,1.3342583990271084,True,0.0033058015140819,0.0035,0.0035981778060544,0.0111934342687212,BLIND,False,9517.0,311.0,0.0089954485952603,1.4464470435554262,1.3482930538120617,True,0.0009368060961842,0.036,0.0019728946857053,0.005483732921593,ADEQUATELY_POWERED,True,5107.0,257.0,0.0192399396468768,1.1855767969777844,1.3451567071230466,True,0.0016695835852784,0.011,0.0025735463879657,0.0070971286102527,BLIND,False,13879.0,475.0,0.0800866164123803,1.4373274016146644,1.3445561440228608,True,0.0005214443064014,0.059,0.0013844319047884,0.0035753302849598,ADEQUATELY_POWERED,True,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_min_sd5|pts_sqres,pl_min_sd5,pts_sqres,13879,0.8249072032630101,5.429651220394182,0.0027783821624591,BLIND,DEGENERATE_GT5,WITHIN-block,0.2301559301256333,475.0,1000,False,False,8.161856747097533,1.3304644452622887,5.429651220394182,1.3465435005232096,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",5.8643120308507015,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,0.0055749338769523,1.167077637326326,1.329997536218148,True,0.0023783387919769,0.0115,0.0035898158285928,0.0112023229177896,BLIND,False,9517.0,311.0,0.0088366879304451,1.3631522597856802,1.2908533467590713,True,0.0008215165392565,0.04,0.001891926551736,0.0053778221105362,ADEQUATELY_POWERED,True,5107.0,257.0,0.0191567340043543,1.186531005401437,1.32288805797497,True,0.0025148807619829,0.0015,0.0026736803635621,0.0070990221625298,BLIND,False,13879.0,475.0,-0.0099035071041754,1.3829322185781978,1.3350406395074952,True,0.0006579968646474,0.0315,0.0013875806118886,0.0035290098529045,ADEQUATELY_POWERED,True,ADEQUATELY_POWERED,BLIND,ANALYTIC
E0_I0014_residual_heterogeneity,pl_min_sd5|minutes_absres,pl_min_sd5,minutes_absres,13879,0.9242102409599094,13.088851827670137,0.0034875732923463,BLIND,DEGENERATE_GT5,WITHIN-block,0.2301559301256333,475.0,1000,False,False,8.161856747097533,1.3642489325318143,13.088851827670137,1.3091076604081873,"M-WITHIN: the within-block shuffle preserves each block mean EXACTLY (measured 1.776e-15), so the between-block share of the candidate survives and carries the association",11.660818278598796,RE_MEASURED_COMPOSED2,"composed-2 null (donor block resampled uniformly, positions randomised) destroys both blind spots",3549.0,174.0,-0.0180813063745743,1.3048555321581494,1.3303689105216945,True,0.0242232419131761,0.0,0.0045671914221402,0.0116181400955501,BLIND,False,9517.0,311.0,0.0127472700913643,1.2317250906293653,1.3541004994062362,True,0.0212996755804014,0.0,0.0014669219467184,0.005212810474055,ADEQUATELY_POWERED,False,5107.0,257.0,-0.0524748369729084,1.2160424218064214,1.3228391498412673,True,0.0181656368423223,0.0,0.0028076267834123,0.0071577099695813,BLIND,False,13879.0,475.0,0.0250185263403012,1.1749339450981915,1.2947078156823042,True,0.0177835186436082,0.0,0.0009847581138519,0.0033546735073028,ADEQUATELY_POWERED,False,ADEQUATELY_POWERED,BLIND,ANALYTIC
