screen,candidate,construction_expr,components,assembled_share_between_opp_team_season,assembled_share_between_player_season,component_shares,n_components_measured,n_components_named
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,"safe_div(PS[""opp_fgm""] + 0.5 * PS[""opp_fg3m""], PS[""opp_fga""])","[""opp_fgm"", ""opp_fg3m"", ""opp_fga""]",0.6626352956913187,0.046983706362854184,{},0,3
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,"safe_div(PS[""opp_pts""], 2.0 * (PS[""opp_fga""] + 0.44 * PS[""opp_fta""]))","[""opp_pts"", ""opp_fga"", ""opp_fta""]",0.7205077687804049,0.04600491880021718,{},0,3
E0_I0016_efficiency_predictors,B04_matchup_ftrate,"pl[""B01_pl_ftrate""] * pl[""A07_opp_ftrate_allowed""]","[""B01_pl_ftrate"", ""A07_opp_ftrate_allowed""]",0.0386342653641156,0.6465342101476528,"{""B01_pl_ftrate"": {""between_opp_team_season"": 0.007934326217034965, ""between_player_season"": 0.6818329809613263}, ""A07_opp_ftrate_allowed"": {""between_opp_team_season"": 0.7997649620539754, ""between_player_season"": 0.04446934940819533}}",2,2
E0_I0016_efficiency_predictors,B05_matchup_fouldraw,"pl[""B03_pl_fouls_drawn_per36""] * pl[""A08_opp_pf""]","[""B03_pl_fouls_drawn_per36"", ""A08_opp_pf""]",0.02667981172577108,0.8568642041127205,"{""B03_pl_fouls_drawn_per36"": {""between_opp_team_season"": 0.003784686713248357, ""between_player_season"": 0.8955111172251068}, ""A08_opp_pf"": {""between_opp_team_season"": 0.8122730223774802, ""between_player_season"": 0.051946025849747765}}",2,2
E0_I0016_efficiency_predictors,D03_pace_sum,"pl[""D01_tm_poss_per40""] + pl[""D02_opp_poss_per40""]","[""D01_tm_poss_per40"", ""D02_opp_poss_per40""]",0.32039560379172594,0.3401591719951046,"{""D01_tm_poss_per40"": {""between_opp_team_season"": 0.04261338122725326, ""between_player_season"": 0.7711711072650824}, ""D02_opp_poss_per40"": {""between_opp_team_season"": 0.7129086653895828, ""between_player_season"": 0.05665919129445786}}",2,2
E0_I0016_efficiency_predictors,D05_transition_x_pace,"pl[""D04_pl_fastbreak_share""] * pl[""D03_pace_sum""]","[""D04_pl_fastbreak_share"", ""D03_pace_sum""]",0.018512560699322746,0.7454846605006338,"{""D04_pl_fastbreak_share"": {""between_opp_team_season"": 0.018055063974682494, ""between_player_season"": 0.7484732709508125}, ""D03_pace_sum"": {""between_opp_team_season"": 0.32039560379172594, ""between_player_season"": 0.3401591719951046}}",2,2
E0_I0016_efficiency_predictors,E04_3pt_vs_opp_perim,"pl[""E01_pl_fg3a_share""] * pl[""A05_opp_fg3pct_allowed""]","[""E01_pl_fg3a_share"", ""A05_opp_fg3pct_allowed""]",0.014934639542380779,0.937095549722818,"{""E01_pl_fg3a_share"": {""between_opp_team_season"": 0.0038590324472831785, ""between_player_season"": 0.9608734710130817}, ""A05_opp_fg3pct_allowed"": {""between_opp_team_season"": 0.6886485338863173, ""between_player_season"": 0.04688555888552461}}",2,2
E0_I0016_efficiency_predictors,E05_paint_vs_opp_rim,"pl[""E02_pl_paintpts_share""] * pl[""A04_opp_blk""]","[""E02_pl_paintpts_share"", ""A04_opp_blk""]",0.13118847643398415,0.7100672316978268,"{""E02_pl_paintpts_share"": {""between_opp_team_season"": 0.0038720375766246886, ""between_player_season"": 0.9022619024768992}, ""A04_opp_blk"": {""between_opp_team_season"": 0.7201266475172944, ""between_player_season"": 0.05161140824993534}}",2,2
E0_I0016_efficiency_predictors,E06_pl_efg_prior,"safe_div(QS[""fgm""] + 0.5 * QS[""fg3m""], QS[""fga""])","[""fgm"", ""fg3m"", ""fga""]",0.004733827616324061,0.6932163539045592,"{""fga"": {""between_opp_team_season"": 0.0032525003138049492, ""between_player_season"": 0.6466186349090078}}",1,3
E0_I0016_efficiency_predictors,F01_b2b_x_fg3a_share,"pl[""_tm_b2b""] * pl[""E01_pl_fg3a_share""]","[""_tm_b2b"", ""E01_pl_fg3a_share""]",0.029423734045583735,0.046645194040052136,"{""E01_pl_fg3a_share"": {""between_opp_team_season"": 0.0038590324472831785, ""between_player_season"": 0.9608734710130817}}",1,2
E0_I0016_efficiency_predictors,F02_b2b_x_ftrate,"pl[""_tm_b2b""] * pl[""B01_pl_ftrate""]","[""_tm_b2b"", ""B01_pl_ftrate""]",0.031663114455241406,0.06184300201509048,"{""B01_pl_ftrate"": {""between_opp_team_season"": 0.007934326217034965, ""between_player_season"": 0.6818329809613263}}",1,2
E0_I0016_efficiency_predictors,F04_load_x_fg3a_share,"pl[""F03_minutes_load_7d""] * pl[""E01_pl_fg3a_share""]","[""F03_minutes_load_7d"", ""E01_pl_fg3a_share""]",0.010117936243593223,0.6499423795258499,"{""F03_minutes_load_7d"": {""between_opp_team_season"": 0.012773087983663521, ""between_player_season"": 0.4566466790818226}, ""E01_pl_fg3a_share"": {""between_opp_team_season"": 0.0038590324472831785, ""between_player_season"": 0.9608734710130817}}",2,2
E0_I0017_shot_quality_efficiency,D04_xefg_minus_own,"pl[""D01_xefg_zone""] - pl[""refB_efg""]","[""D01_xefg_zone"", ""refB_efg""]",0.004135842599452094,0.6815640086559065,"{""D01_xefg_zone"": {""between_opp_team_season"": 0.016798445106754007, ""between_player_season"": 0.8547392720294626}, ""refB_efg"": {""between_opp_team_season"": 0.006261543210030144, ""between_player_season"": 0.6858352743062965}}",2,2
E0_I0017_shot_quality_efficiency,F02_lt5ft_x_opplt5ft,"pl[""A02_share_lt5ft""] * pl[""E02_opp_lt5ft_conceded""]","[""A02_share_lt5ft"", ""E02_opp_lt5ft_conceded""]",0.029165775169794444,0.9047533601597734,"{""A02_share_lt5ft"": {""between_opp_team_season"": 0.0020788695700565, ""between_player_season"": 0.94581704636297}, ""E02_opp_lt5ft_conceded"": {""between_opp_team_season"": 0.8281290614538444, ""between_player_season"": 0.035036933511001664}}",2,2
E0_I0017_shot_quality_efficiency,A04_share_paint,"safe_div(P[zc[""Restricted Area""]] + P[zc[""In The Paint (Non-RA)""]], P[""_att""])","[""_att""]",0.002352299543957908,0.9577870898044304,{},0,1
E0_I0017_shot_quality_efficiency,F01_dist_x_oppdist,"pl[""A01_dist_mean""] * pl[""E01_opp_dist_conceded""]","[""A01_dist_mean"", ""E01_opp_dist_conceded""]",0.017397388627246754,0.9422705058732458,"{""A01_dist_mean"": {""between_opp_team_season"": 0.001601440980256707, ""between_player_season"": 0.9649545326398212}, ""E01_opp_dist_conceded"": {""between_opp_team_season"": 0.8109240031236417, ""between_player_season"": 0.04464068993090104}}",2,2
E0_I0017_shot_quality_efficiency,F03_xefg_x_oppxefg,"pl[""D01_xefg_zone""] * pl[""E04_opp_xefg_conceded""]","[""D01_xefg_zone"", ""E04_opp_xefg_conceded""]",0.10260973868554223,0.7370826463028343,"{""D01_xefg_zone"": {""between_opp_team_season"": 0.016798445106754007, ""between_player_season"": 0.8547392720294626}, ""E04_opp_xefg_conceded"": {""between_opp_team_season"": 0.6599304841978575, ""between_player_season"": 0.12221897707675082}}",2,2
E0_I0017_shot_quality_efficiency,F04_3pa_x_opp3pa,"pl[""A08_share_3pa""] * pl[""E05_opp_3pa_conceded""]","[""A08_share_3pa"", ""E05_opp_3pa_conceded""]",0.02040262098813891,0.9380771487603219,"{""A08_share_3pa"": {""between_opp_team_season"": 0.0035312798162611663, ""between_player_season"": 0.9629704360035576}, ""E05_opp_3pa_conceded"": {""between_opp_team_season"": 0.7650274404217386, ""between_player_season"": 0.10683585837602866}}",2,2
E0_I0017_shot_quality_efficiency,A06_share_corner3,"safe_div(P[zc[""Left Corner 3""]] + P[zc[""Right Corner 3""]], P[""_att""])","[""_att""]",0.017634611780900568,0.8456393098428036,{},0,1
E0_I0017_shot_quality_efficiency,B06_3pa_trend,"safe_div(T5[""_is3""], T5[""_att""]) - pl[""A08_share_3pa""]","[""_is3"", ""_att"", ""A08_share_3pa""]",0.004013946899487198,0.18141454582123037,"{""A08_share_3pa"": {""between_opp_team_season"": 0.0035312798162611663, ""between_player_season"": 0.9629704360035576}}",1,3
E0_I0017_shot_quality_efficiency,B04_dist_trend,"pl[""B01_dist_t5""] - pl[""A01_dist_mean""]","[""B01_dist_t5"", ""A01_dist_mean""]",0.003828632927067036,0.1899301822806641,"{""B01_dist_t5"": {""between_opp_team_season"": 0.0022928361801190606, ""between_player_season"": 0.8584118920701724}, ""A01_dist_mean"": {""between_opp_team_season"": 0.001601440980256707, ""between_player_season"": 0.9649545326398212}}",2,2
E0_I0017_shot_quality_efficiency,C05_assisted_trend,"pl[""C04_assisted_share_t5""] - pl[""C01_assisted_share""]","[""C04_assisted_share_t5"", ""C01_assisted_share""]",0.0047521378060556676,0.1600301627245065,"{""C04_assisted_share_t5"": {""between_opp_team_season"": 0.010988721761853169, ""between_player_season"": 0.5575498591786223}, ""C01_assisted_share"": {""between_opp_team_season"": 0.010019318717472737, ""between_player_season"": 0.8629239898794998}}",2,2
E0_I0017_shot_quality_efficiency,B05_lt5ft_trend,"pl[""B02_lt5ft_t5""] - pl[""A02_share_lt5ft""]","[""B02_lt5ft_t5"", ""A02_share_lt5ft""]",0.005381334543712025,0.1856925175248907,"{""B02_lt5ft_t5"": {""between_opp_team_season"": 0.002815149300995846, ""between_player_season"": 0.7989006845487743}, ""A02_share_lt5ft"": {""between_opp_team_season"": 0.0020788695700565, ""between_player_season"": 0.94581704636297}}",2,2
