cell,candidate,dep,blind_component,t_as_measured,t_blind_x10,t_blind_deleted,max_abs_change
fga__pred_sd|pts_absres,fga__pred_sd,pts_absres,within-block deviation,,0.20912835910307326,-0.02415097303547645,
fga__pred_sd|pts_sqres,fga__pred_sd,pts_sqres,within-block deviation,,0.17703540336066725,-0.020444760123476374,
fga__pred_sd|minutes_absres,fga__pred_sd,minutes_absres,within-block deviation,,-0.15322517400342264,0.01769506405929081,
fga__pred_sd|minutes_sqres,fga__pred_sd,minutes_sqres,within-block deviation,,-0.2110256858642848,0.024370083170350956,
fga__pred_sd|fga_absres,fga__pred_sd,fga_absres,within-block deviation,,0.07204986377665627,-0.008320615670646648,
fga__pred_sd|fga_sqres,fga__pred_sd,fga_sqres,within-block deviation,,0.06109163033236866,-0.007055114005911192,
minutes__pred_sd|pts_absres,minutes__pred_sd,pts_absres,within-block deviation,-6.559134596260987e-14,0.25229174723011044,-0.029091125843013033,0.25229174723017606
minutes__pred_sd|pts_sqres,minutes__pred_sd,pts_sqres,within-block deviation,-7.420389731975115e-14,0.1967170541107859,-0.022682968099457176,0.1967170541108601
minutes__pred_sd|minutes_absres,minutes__pred_sd,minutes_absres,within-block deviation,-6.510791323340993e-14,-0.15381185743938802,0.017735683045322272,0.1538118574393229
minutes__pred_sd|minutes_sqres,minutes__pred_sd,minutes_sqres,within-block deviation,1.0430002112382749e-13,-0.2208190179430312,0.02546209819024071,0.2208190179431355
minutes__pred_sd|fga_absres,minutes__pred_sd,fga_absres,within-block deviation,-2.277301010822109e-13,0.09556164273902172,-0.011018993662342201,0.09556164273924946
minutes__pred_sd|fga_sqres,minutes__pred_sd,fga_sqres,within-block deviation,3.500794353963474e-14,0.0828087916831212,-0.009548492453506419,0.08280879168308619
pl_abs_min_trend5|minutes_absres,pl_abs_min_trend5,minutes_absres,block mean,10.447115189690267,24.853386627559914,2.7550730333193436,14.406271437869647
pl_abs_min_trend5|minutes_sqres,pl_abs_min_trend5,minutes_sqres,block mean,7.316349673805797,19.78422077738047,0.9832071938604794,12.467871103574673
pl_dnp_frac5|pts_absres,pl_dnp_frac5,pts_absres,block mean,-10.470794689554992,-14.638343066023497,-1.7687111055328546,8.702083584022137
pl_dnp_frac5|pts_sqres,pl_dnp_frac5,pts_sqres,block mean,-6.652582492621474,-10.148168563508095,-0.34979795809391856,6.3027845345275555
pl_dnp_frac5|minutes_absres,pl_dnp_frac5,minutes_absres,block mean,4.707734327879213,9.32616203646759,-1.682185551005311,6.389919878884524
pl_dnp_frac5|minutes_sqres,pl_dnp_frac5,minutes_sqres,block mean,6.913970544978239,12.452466277816281,-1.331802446363635,8.245772991341875
pl_dnp_frac5|fga_absres,pl_dnp_frac5,fga_absres,block mean,-5.008699701443214,-6.933058100125089,-0.8926521736839277,4.116047527759286
pl_fga_sd5|pts_absres,pl_fga_sd5,pts_absres,block mean,20.806463096131463,36.486274934474615,-0.45469192794817087,21.261155024079635
pl_fga_sd5|pts_sqres,pl_fga_sd5,pts_sqres,block mean,15.78166873020035,30.428551310670876,-2.6982026352675,18.47987136546785
pl_fga_sd5|minutes_sqres,pl_fga_sd5,minutes_sqres,block mean,-1.1751980082768902,-6.260180442779233,3.5293266616774592,5.084982434502343
pl_fga_sd5|fga_absres,pl_fga_sd5,fga_absres,block mean,17.877286588153957,32.934882728913536,-1.7537006700054902,19.630987258159447
pl_fga_sd5|fga_sqres,pl_fga_sd5,fga_sqres,block mean,13.643831073872816,28.845837397720675,-4.391194677231143,18.03502575110396
pl_games_prior|minutes_absres,pl_games_prior,minutes_absres,block mean,-15.261793749727984,-18.20559980403665,-9.230765479377991,6.031028270349992
pl_games_prior|minutes_sqres,pl_games_prior,minutes_sqres,block mean,-16.402017163329315,-20.350256931138496,-9.527073588514623,6.874943574814692
pl_min_rng5|pts_sqres,pl_min_rng5,pts_sqres,block mean,-3.0205057832344187,-8.51767672097792,1.2992037616434884,5.497170937743502
pl_min_rng5|minutes_absres,pl_min_rng5,minutes_absres,block mean,15.284836538883354,25.38879428582125,4.177809643013577,11.107026895869776
pl_min_rng5|minutes_sqres,pl_min_rng5,minutes_sqres,block mean,10.684376573028771,19.325030220180366,1.9428250994298506,8.741551473598921
pl_min_sd5|pts_sqres,pl_min_sd5,pts_sqres,block mean,-3.022534990803861,-8.886847021654562,1.606376615666029,5.8643120308507015
pl_min_sd5|minutes_absres,pl_min_sd5,minutes_absres,block mean,15.849725115314635,26.215343738748825,4.18890683671584,11.660818278598796
pl_min_sd5|minutes_sqres,pl_min_sd5,minutes_sqres,block mean,11.308807728626638,20.166989949283312,2.0579296387523183,9.25087808987432
pl_minutes_prior|pts_absres,pl_minutes_prior,pts_absres,block mean,13.028011330875982,26.915658528335097,-5.376752666863098,18.40476399773908
pl_minutes_prior|pts_sqres,pl_minutes_prior,pts_sqres,block mean,9.504923764723197,22.334790803632302,-6.443489435417435,15.948413200140632
pl_minutes_prior|minutes_absres,pl_minutes_prior,minutes_absres,block mean,-17.466881632700055,-19.238313901642,-7.46163884621263,10.005242786487425
pl_minutes_prior|minutes_sqres,pl_minutes_prior,minutes_sqres,block mean,-17.277458876774006,-19.144475372014043,-7.280009526339535,9.99744935043447
pl_minutes_prior|fga_absres,pl_minutes_prior,fga_absres,block mean,5.550592132045465,15.862684884466445,-6.399998156029985,11.95059028807545
pl_minutes_prior|fga_sqres,pl_minutes_prior,fga_sqres,block mean,2.690504486126925,13.310430330903813,-8.226768703724018,10.917273189850942
pl_pts_sd5|pts_absres,pl_pts_sd5,pts_absres,block mean,25.600454550138537,43.35462422760386,-2.471296782124734,28.071751332263272
pl_pts_sd5|pts_sqres,pl_pts_sd5,pts_sqres,block mean,19.80568680678912,37.499384667624334,-5.750506653292794,25.556193460081914
pl_pts_sd5|minutes_absres,pl_pts_sd5,minutes_absres,block mean,-3.9528723659524365,-10.384846949926755,4.162005979521947,8.114878345474384
pl_pts_sd5|minutes_sqres,pl_pts_sd5,minutes_sqres,block mean,-3.9853517322010714,-10.06548887221674,3.81021454217436,7.795566274375432
pl_pts_sd5|fga_absres,pl_pts_sd5,fga_absres,block mean,19.184061741148263,28.830352289896343,0.8140487938350265,18.370012947313235
pl_pts_sd5|fga_sqres,pl_pts_sd5,fga_sqres,block mean,14.524892437275321,25.62450739228607,-2.957077702613536,17.48197013988886
pl_start_switch5|pts_absres,pl_start_switch5,pts_absres,block mean,-4.207189675837765,-7.3863265086648315,-0.3945827870414506,3.8126068887963145
pl_start_switch5|pts_sqres,pl_start_switch5,pts_sqres,block mean,-4.689263478714552,-8.423163112632677,-0.3111501550168264,4.378113323697725
pl_start_switch5|minutes_absres,pl_start_switch5,minutes_absres,block mean,5.457917955412808,8.07347488385768,1.5494545832310604,3.908463372181747
pl_usg_sd5|pts_absres,pl_usg_sd5,pts_absres,block mean,-17.02118238755578,-18.931943479423094,-7.059840114102012,9.961342273453766
pl_usg_sd5|pts_sqres,pl_usg_sd5,pts_sqres,block mean,-11.349476971684133,-13.755870560129217,-3.6919753277903196,7.657501643893814
pl_usg_sd5|minutes_absres,pl_usg_sd5,minutes_absres,block mean,-1.088610648873831,7.902895753132798,-8.82902123167679,8.991506402006628
pl_usg_sd5|minutes_sqres,pl_usg_sd5,minutes_sqres,block mean,-0.7993107451553029,9.792294414842685,-10.146204812377901,10.591605159997988
pl_usg_sd5|fga_absres,pl_usg_sd5,fga_absres,block mean,-12.269185416788314,-10.131620688445906,-8.289293513031573,3.979891903756741
pl_usg_sd5|fga_sqres,pl_usg_sd5,fga_sqres,block mean,-8.370121178652367,-7.018166167173773,-5.5722106588068945,2.7979105198454723
pts__fallback_level|minutes_absres,pts__fallback_level,minutes_absres,block mean,39.012293304767184,28.19554979473541,34.29592463081576,10.816743510031774
pts__fallback_level|minutes_sqres,pts__fallback_level,minutes_sqres,block mean,41.60553110904952,32.01531381776058,35.723561817687965,9.590217291288944
pts__is_fallback|minutes_absres,pts__is_fallback,minutes_absres,block mean,39.13312604001271,28.97234951469566,34.71665920801235,10.16077652531705
pts__is_fallback|minutes_sqres,pts__is_fallback,minutes_sqres,block mean,41.57606485007611,32.80214315324261,36.081807071755634,8.773921696833497
pts__n_prior_games|minutes_absres,pts__n_prior_games,minutes_absres,block mean,-15.389859082456145,-18.455522578183075,-9.206292676035753,6.1835664064203915
pts__n_prior_games|minutes_sqres,pts__n_prior_games,minutes_sqres,block mean,-16.530890721090575,-20.605820684523252,-9.494070202779268,7.036820518311307
pts__pred_cv|pts_absres,pts__pred_cv,pts_absres,block mean,-19.916020976717853,-22.652755079605004,-6.846407099559702,13.069613877158151
pts__pred_cv|pts_sqres,pts__pred_cv,pts_sqres,block mean,-12.84062701102103,-15.765857771811442,-3.252753103442283,9.587873907578748
pts__pred_cv|minutes_sqres,pts__pred_cv,minutes_sqres,block mean,-3.1499270372780375,8.103389385089633,-13.077794237574803,11.253316422367671
pts__pred_cv|fga_absres,pts__pred_cv,fga_absres,block mean,-16.99009554173258,-15.417614269231745,-9.728911974643534,7.261183567089045
pts__pred_cv|fga_sqres,pts__pred_cv,fga_sqres,block mean,-11.719925704997527,-11.061764777348206,-6.313271980677937,5.40665372431959
pts__pred_sd|pts_absres,pts__pred_sd,pts_absres,within-block deviation,-9.461678718857e-14,-0.035695587948540886,0.0040938304212727065,0.03569558794844627
pts__pred_sd|pts_sqres,pts__pred_sd,pts_sqres,within-block deviation,6.604973045207092e-14,-0.02336835760040671,0.0026800537886644245,0.02336835760047276
pts__pred_sd|minutes_absres,pts__pred_sd,minutes_absres,within-block deviation,-1.1434237782777832e-14,0.02303860762873783,-0.00264223565678136,0.023038607628749264
pts__pred_sd|minutes_sqres,pts__pred_sd,minutes_sqres,within-block deviation,9.729022295468337e-14,0.06267577190279848,-0.007188114056057596,0.0626757719027012
pts__pred_sd|fga_absres,pts__pred_sd,fga_absres,within-block deviation,9.712029670824758e-14,0.030471715040168146,-0.0034947186114271354,0.030471715040071026
pts__pred_sd|fga_sqres,pts__pred_sd,fga_sqres,within-block deviation,-3.854256734707045e-14,0.04109499994683804,-0.004713074307906497,0.041094999946876584
pts__pred_width|minutes_absres,pts__pred_width,minutes_absres,within-block deviation,2.977904502945347,21.860242301426037,-11.368194343612412,18.88233779848069
pts__pred_width|minutes_sqres,pts__pred_width,minutes_sqres,within-block deviation,4.056331089707446,23.70444158631674,-11.187940340783529,19.648110496609295
