season,stratum,n_train,n_test,a,b,action,train_base_rate
2022,A|const|current,4850,248,1.1995999447408154,0.0,intercept_only,0.7684536082474227
2022,A|fit|current,0,4777,,,UNRECALIBRATED (train pool too thin),
2022,B|const|STALE,0,41,,,UNRECALIBRATED (train pool too thin),
2022,B|const|current,143,367,0.01398624197474009,0.0,intercept_only,0.5034965034965035
2022,B|fit|STALE,0,151,,,UNRECALIBRATED (train pool too thin),
2022,B|fit|current,0,207,,,UNRECALIBRATED (train pool too thin),
2023,A|const|current,5098,198,1.2133465414751348,0.0,intercept_only,0.770890545311887
2023,A|fit|current,5315,5514,0.10239914498123905,1.06784547175466,affine_in_logit,0.7825023518344308
2023,B|const|STALE,41,197,-2.970414465569701,0.0,intercept_only,0.04878048780487805
2023,B|const|current,510,349,-0.6061358035703154,0.0,intercept_only,0.35294117647058826
2023,B|fit|STALE,151,488,-15.87304020981285,0.6955545843017895,affine_in_logit,0.0
2023,B|fit|current,207,230,-1.7708049059132607,0.7656922800547727,affine_in_logit,0.07729468599033816
2024,A|const|current,5296,168,1.222309872004643,0.0,intercept_only,0.7724697885196374
2024,A|fit|current,11267,5407,0.10682512895300497,1.0964247235303428,affine_in_logit,0.7762492233957575
2024,B|const|STALE,238,364,-4.069026754237811,0.0,intercept_only,0.01680672268907563
2024,B|const|current,859,307,-0.6326274190172918,0.0,intercept_only,0.3469150174621653
2024,B|fit|STALE,639,813,-16.991658876981063,1.1860636869903605,affine_in_logit,0.0
2024,B|fit|current,437,258,-1.7641751671395431,1.1740140240484305,affine_in_logit,0.05034324942791762
