arm,n_appeared,n_appeared_with_a_forecast,n_appeared_with_NO_forecast,share_of_appeared_lost,cond_MAE_on_survivors
X0,13087,13087,0,0.0,4.255252138069775
Xa,13087,13087,0,0.0,4.255252138069775
Y_R1_departed_S2,13087,13084,3,0.00022923511882020327,4.254828465301899
Z_R1_departed_S2,13087,13084,3,0.00022923511882020327,4.254828465301899
Y_R2_stale_S2,13087,13080,7,0.0005348819439138076,4.25391012480869
Z_R2_stale_S2,13087,13080,7,0.0005348819439138076,4.25391012480869
Y_R3_union_S2,13087,13080,7,0.0005348819439138076,4.25391012480869
Z_R3_union_S2,13087,13080,7,0.0005348819439138076,4.25391012480869
Y_R4_departed_all,13087,12936,151,0.011538167647283564,4.244205507936026
Z_R4_departed_all,13087,12936,151,0.011538167647283564,4.244205507936026
