arm,season,stratum,n_train,n_test,a,b,action,train_base_rate
Xa,2022,A|const,4850,248,1.1995999447408154,0.0,intercept_only,0.7684536082474227
Xa,2022,A|fit,0,4777,,,UNRECALIBRATED (train pool too thin),
Xa,2022,B|const,143,408,0.01398624197474009,0.0,intercept_only,0.5034965034965035
Xa,2022,B|fit,0,358,,,UNRECALIBRATED (train pool too thin),
Xa,2023,A|const,5098,198,1.2133465414751348,0.0,intercept_only,0.770890545311887
Xa,2023,A|fit,5315,5514,0.10239914498123905,1.06784547175466,affine_in_logit,0.7825023518344308
Xa,2023,B|const,551,546,-0.7067899569637319,0.0,intercept_only,0.33030852994555354
Xa,2023,B|fit,358,718,-3.0433764976144104,0.023560618463595768,affine_in_logit,0.0446927374301676
Xa,2024,A|const,5296,168,1.222309872004643,0.0,intercept_only,0.7724697885196374
Xa,2024,A|fit,11267,5407,0.10682512895300497,1.0964247235303428,affine_in_logit,0.7762492233957575
Xa,2024,B|const,1097,671,-0.9679150972794622,0.0,intercept_only,0.27529626253418416
Xa,2024,B|fit,1076,1071,-3.7585897487229247,0.13174590430034183,affine_in_logit,0.020446096654275093
Z_R1_departed_S2,2022,A|const,4850,248,1.1995999447408154,0.0,intercept_only,0.7684536082474227
Z_R1_departed_S2,2022,A|fit,0,4777,,,UNRECALIBRATED (train pool too thin),
Z_R1_departed_S2,2022,B|const,143,377,0.01398624197474009,0.0,intercept_only,0.5034965034965035
Z_R1_departed_S2,2022,B|fit,0,211,,,UNRECALIBRATED (train pool too thin),
Z_R1_departed_S2,2023,A|const,5098,198,1.2133465414751348,0.0,intercept_only,0.770890545311887
Z_R1_departed_S2,2023,A|fit,5315,5514,0.10239914498123905,1.06784547175466,affine_in_logit,0.7825023518344308
Z_R1_departed_S2,2023,B|const,520,452,-0.6190392084062235,0.0,intercept_only,0.35
Z_R1_departed_S2,2023,B|fit,211,311,-1.7769012650749796,0.7800372968823982,affine_in_logit,0.07582938388625593
Z_R1_departed_S2,2024,A|const,5296,168,1.222309872004643,0.0,intercept_only,0.7724697885196374
Z_R1_departed_S2,2024,A|fit,11267,5407,0.10682512895300497,1.0964247235303428,affine_in_logit,0.7762492233957575
Z_R1_departed_S2,2024,B|const,972,497,-0.8016588722228061,0.0,intercept_only,0.3096707818930041
Z_R1_departed_S2,2024,B|fit,522,435,-1.820048724752771,1.296020502616223,affine_in_logit,0.0421455938697318
Z_R2_stale_S2,2022,A|const,4850,248,1.1995999447408154,0.0,intercept_only,0.7684536082474227
Z_R2_stale_S2,2022,A|fit,0,4777,,,UNRECALIBRATED (train pool too thin),
Z_R2_stale_S2,2022,B|const,143,396,0.01398624197474009,0.0,intercept_only,0.5034965034965035
Z_R2_stale_S2,2022,B|fit,0,351,,,UNRECALIBRATED (train pool too thin),
Z_R2_stale_S2,2023,A|const,5098,198,1.2133465414751348,0.0,intercept_only,0.770890545311887
Z_R2_stale_S2,2023,A|fit,5315,5514,0.10239914498123905,1.06784547175466,affine_in_logit,0.7825023518344308
Z_R2_stale_S2,2023,B|const,539,378,-0.6903655375980685,0.0,intercept_only,0.3339517625231911
Z_R2_stale_S2,2023,B|fit,351,426,-3.0343785222037036,0.008995208779122847,affine_in_logit,0.045584045584045586
Z_R2_stale_S2,2024,A|const,5296,168,1.222309872004643,0.0,intercept_only,0.7724697885196374
Z_R2_stale_S2,2024,A|fit,11267,5407,0.10682512895300497,1.0964247235303428,affine_in_logit,0.7762492233957575
Z_R2_stale_S2,2024,B|const,917,325,-0.7310117861791917,0.0,intercept_only,0.3249727371864776
Z_R2_stale_S2,2024,B|fit,777,395,-3.474336736483959,0.07404063915709642,affine_in_logit,0.028314028314028315
Z_R3_union_S2,2022,A|const,4850,248,1.1995999447408154,0.0,intercept_only,0.7684536082474227
Z_R3_union_S2,2022,A|fit,0,4777,,,UNRECALIBRATED (train pool too thin),
Z_R3_union_S2,2022,B|const,143,367,0.01398624197474009,0.0,intercept_only,0.5034965034965035
Z_R3_union_S2,2022,B|fit,0,207,,,UNRECALIBRATED (train pool too thin),
Z_R3_union_S2,2023,A|const,5098,198,1.2133465414751348,0.0,intercept_only,0.770890545311887
Z_R3_union_S2,2023,A|fit,5315,5514,0.10239914498123905,1.06784547175466,affine_in_logit,0.7825023518344308
Z_R3_union_S2,2023,B|const,510,349,-0.6061358035703154,0.0,intercept_only,0.35294117647058826
Z_R3_union_S2,2023,B|fit,207,230,-1.7708049059132607,0.7656922800547727,affine_in_logit,0.07729468599033816
Z_R3_union_S2,2024,A|const,5296,168,1.222309872004643,0.0,intercept_only,0.7724697885196374
Z_R3_union_S2,2024,A|fit,11267,5407,0.10682512895300497,1.0964247235303428,affine_in_logit,0.7762492233957575
Z_R3_union_S2,2024,B|const,859,307,-0.6326274190172918,0.0,intercept_only,0.3469150174621653
Z_R3_union_S2,2024,B|fit,437,258,-1.7641751671395431,1.1740140240484305,affine_in_logit,0.05034324942791762
Z_R4_departed_all,2022,A|const,4824,245,1.2171344474893364,0.0,intercept_only,0.771558872305141
Z_R4_departed_all,2022,A|fit,0,4739,,,UNRECALIBRATED (train pool too thin),
Z_R4_departed_all,2022,B|const,113,330,0.30318625898774626,0.0,intercept_only,0.5752212389380531
Z_R4_departed_all,2022,B|fit,0,160,,,UNRECALIBRATED (train pool too thin),
Z_R4_departed_all,2023,A|const,5069,197,1.2305790489348674,0.0,intercept_only,0.7739199053067666
Z_R4_departed_all,2023,A|fit,5277,5385,0.10809338619388612,1.070743103048432,affine_in_logit,0.7866211862800834
Z_R4_departed_all,2023,B|const,443,398,-0.6096262085100841,0.0,intercept_only,0.35214446952595935
Z_R4_departed_all,2023,B|fit,160,254,-2.354950238709985,1.3911437874991575,affine_in_logit,0.01875
Z_R4_departed_all,2024,A|const,5266,166,1.2398689813185129,0.0,intercept_only,0.7755412077478162
Z_R4_departed_all,2024,A|fit,11097,5332,0.11182607327303289,1.0971119892399916,affine_in_logit,0.7863386500856088
Z_R4_departed_all,2024,B|const,841,436,-0.9005293106100832,0.0,intercept_only,0.28894173602853745
Z_R4_departed_all,2024,B|fit,414,362,-4.8225095243029195,-0.15988683580947197,affine_in_logit,0.00966183574879227
