response,column,n,corr_with_own_future
R1_s_pts,B_TUNED,16083,0.8247871966646425
R1_s_pts,A1_min_share_prior,16083,0.730586878663907
R1_s_pts,A2_fga_share_prior,16083,0.8309493579496522
R1_s_pts,A3_starter_rate_prior,16083,0.6391917400323307
R1_s_pts,A4_vac_x_own,16083,0.3547308903611881
R1_s_pts,A5_opp_defrtg,16083,-0.008049685880226561
R1_s_pts,G01_noise,16083,-0.010147783757667526
R2_s_min,B_TUNED,16083,0.7985132900582037
R2_s_min,A1_min_share_prior,16083,0.8092033992425042
R2_s_min,A2_fga_share_prior,16083,0.7480467823257745
R2_s_min,A3_starter_rate_prior,16083,0.6899750601973353
R2_s_min,A4_vac_x_own,16083,0.32500440582087803
R2_s_min,A5_opp_defrtg,16083,-0.006712876867997114
R2_s_min,G01_noise,16083,-0.01037990955665562
R3_s_fga,B_TUNED,16083,0.8568736411395754
R3_s_fga,A1_min_share_prior,16083,0.7464373317152305
R3_s_fga,A2_fga_share_prior,16083,0.8616090023981312
R3_s_fga,A3_starter_rate_prior,16083,0.6539508896761659
R3_s_fga,A4_vac_x_own,16083,0.36522465524272296
R3_s_fga,A5_opp_defrtg,16083,-0.007232919770378346
R3_s_fga,G01_noise,16083,-0.009757969492448611
