population,channel,sd_log_level,sd_log_total,corr_level_total,var_share_of_total_in_level,acf1_team_total
DECISION,points,0.6461712808753368,0.13548266352316743,0.26172752289927903,0.04396146416195684,0.15244203555356003
DECISION,minutes,0.27982682325761116,0.025337422450115457,0.18955019654579502,0.008198722375417699,0.015920173820384905
DECISION,attempts,0.5355410300047625,0.0906590806812869,0.2214271323720551,0.02865742223601589,0.12226396363714852
DECISION_CLEAN_2023_24,points,0.6498560551188423,0.1358736497588005,0.29007298022358435,0.04371556974017335,0.15244203555356003
DECISION_CLEAN_2023_24,minutes,0.27646389286088674,0.024019682796648685,0.200144181949125,0.007548448522491472,0.015920173820384905
DECISION_CLEAN_2023_24,attempts,0.5331457849683542,0.08577940320298115,0.21536502133935168,0.02588654442540339,0.12226396363714852
ALL_APPEARED,points,0.7834353840279189,0.1371905184349559,0.17993634752072973,0.03066491952114572,0.15244203555356003
ALL_APPEARED,minutes,0.7891798781562743,0.026806810348305166,0.07566553437830947,0.0011538205688913432,0.015920173820384905
ALL_APPEARED,attempts,0.8068536244251332,0.09209874196937201,0.12846683490499192,0.01302920410621263,0.12226396363714852
ALL_CLEAN_2023_24,points,0.7984169486053854,0.1364197576637771,0.18612655399139993,0.029194097390103788,0.15244203555356003
ALL_CLEAN_2023_24,minutes,0.8337631962830393,0.025015423223155326,0.06789492938788909,0.0009001818834670058,0.015920173820384905
ALL_CLEAN_2023_24,attempts,0.8245588176310926,0.08778278365150718,0.12127998497063092,0.011333796653294476,0.12226396363714852
