arm,cell,candidate,dependent,n,n_blocks,R_draws,observed_signed_t,observed_dr2,null_mean_signed_t,null_sd_signed_t,p_percell_E1_I0044_convention,p_percell_plus1,p_familywise_E1_I0044_convention,p_familywise_plus1,bar_familywise_q95,bar_familywise_q95_validated_cells_only,p_familywise_validated_family_plus1,bar_percell_abs_t,mde80_percell_ANALYTIC,mde80_familywise_ANALYTIC,floor_basis,not_estimable,null_validity,confounded_with_block_position,typeI_COMPOSED2_EXCH,typeI_COMPOSED2_CIRCSHIFT,typeI_COMPOSED2_BLOCKBOOT,typeI_COMPOSED2_worst_H0_generator,cp95_hi_COMPOSED2_EXCH,cp95_hi_COMPOSED2_CIRCSHIFT,n_synthetic_datasets_per_generator,published_p_correct_level,published_p_familywise_whole_screen,published_pfw_is_exactly_1.000,corrected_verdict,clears_D103_single_cell_floor_0.00102,dr2_exceeds_D103_bar_0.0023_NOTE_DIFFERENT_RESPONSE,D101_note
A4_CLEAN_DEC,pl_abs_min_trend5|minutes_absres,pl_abs_min_trend5,minutes_absres,3549,174,2000,7.047791532127712,0.013814211709444019,-0.019258859600163436,1.1903845098553636,0.0,0.0004997501249375312,0.0065,0.0069965017491254375,5.323081389242404,4.072217790722262,0.0004997501249375312,2.623971021537328,0.0037043107811032096,0.011272131165204445,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.019,0.023,0.005,0.023,0.029512401625086004,0.03431233761279523,1000,0.003,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_abs_min_trend5|minutes_sqres,pl_abs_min_trend5,minutes_sqres,3549,174,2000,5.735629572036514,0.009192061823114444,-0.005538313122140398,1.1260363255204855,0.0,0.0004997501249375312,0.0275,0.02798600699650175,5.323081389242404,4.072217790722262,0.001999000499750125,2.53588059894467,0.003419359393454677,0.011079923946314265,ANALYTIC,,ACCEPTABLE,False,0.027,0.035,0.003,0.035,0.039041746805992095,0.04834238161419985,1000,0.178,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_dnp_frac5|fga_absres,pl_dnp_frac5,fga_absres,3549,174,2000,1.4217963776328344,0.0005697555487293146,0.009640356995079766,1.1928450027189232,0.2425,0.24287856071964017,1.0,1.0,5.323081389242404,4.072217790722262,0.9995002498750625,2.656172111810672,0.0037746692658849456,0.011279513434699065,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.006,0.013,0.007,0.013,0.013013423270974045,0.022127803636725896,1000,0.172,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_dnp_frac5|minutes_absres,pl_dnp_frac5,minutes_absres,3549,174,2000,5.398080275572375,0.008150527421588189,0.01632265210470466,1.311699603612294,0.0,0.0004997501249375312,0.0455,0.04597701149425287,5.323081389242404,4.072217790722262,0.0034982508745627187,2.9246194900971374,0.004572951898139065,0.011638993226225794,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.01,0.003,0.006,0.01,0.018313243055171624,0.00874202323847778,1000,0.937,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_dnp_frac5|minutes_sqres,pl_dnp_frac5,minutes_sqres,3549,174,2000,6.372341221115942,0.011321768921250714,0.013240752252799736,1.2268115710592618,0.0,0.0004997501249375312,0.012,0.01249375312343828,5.323081389242404,4.072217790722262,0.0004997501249375312,2.7164247681384626,0.003960134376671815,0.01138167100464779,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.016,0.018,0.011,0.018,0.025853249081396246,0.028299041249012113,1000,0.855,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_dnp_frac5|pts_absres,pl_dnp_frac5,pts_absres,3549,174,2000,1.3597090970013186,0.0005211069941502802,0.011973952738181602,1.2070514252127813,0.2585,0.2588705647176412,1.0,1.0,5.323081389242404,4.072217790722262,0.9995002498750625,2.7082687181181573,0.003907941530023247,0.011322184525839083,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.016,0.016,0.008,0.016,0.025853249081396246,0.025853249081396246,1000,0.023,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_dnp_frac5|pts_sqres,pl_dnp_frac5,pts_sqres,3549,174,2000,1.7091869559663082,0.0008231571756580818,0.008605527122572926,1.2127328458870754,0.1565,0.15692153923038482,1.0,1.0,5.323081389242404,4.072217790722262,0.9900049975012494,2.69171750522878,0.0038832796465214266,0.011339272064458172,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.021,0.02,0.01,0.021,0.031922335180391614,0.030720032682592324,1000,0.364,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_fga_sd5|fga_absres,pl_fga_sd5,fga_absres,3549,174,2000,4.306432785699008,0.005202728945039406,-0.01245463283790653,1.166873190197697,0.0,0.0004997501249375312,0.2095,0.2098950524737631,5.323081389242404,4.072217790722262,0.02948525737131434,2.5904410893347984,0.0035961683774115576,0.011201711521479583,ANALYTIC,,ACCEPTABLE,False,0.031,0.054,0.019,0.054,0.04371508500623006,0.06987400557705231,1000,0.941,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_fga_sd5|fga_sqres,pl_fga_sd5,fga_sqres,3549,174,2000,4.11360757148052,0.0047494074688011895,-0.009101701071269655,1.1694472575782524,0.0,0.0004997501249375312,0.2805,0.28085957021489255,5.323081389242404,4.072217790722262,0.04547726136931534,2.6467000605314355,0.003714754871653012,0.011209410451753457,ANALYTIC,,INVALID_ANTICONSERVATIVE,False,0.051,0.081,0.028,0.081,0.06651346159498012,0.09967169896851985,1000,1.0,1.0,True,UNVERIFIABLE_NULL_FAILS_TYPE_I,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_fga_sd5|minutes_sqres,pl_fga_sd5,minutes_sqres,3549,174,2000,-1.2631605952675333,0.00044976228429767723,0.06520650945581839,1.2179404982349598,0.2965,0.29685157421289354,1.0,1.0,5.323081389242404,4.072217790722262,1.0,2.76033033182445,0.004037493169192236,0.011354946007057713,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.012,0.023,0.006,0.023,0.020867679591018817,0.03431233761279523,1000,1.0,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_fga_sd5|pts_absres,pl_fga_sd5,pts_absres,3549,174,2000,4.115755596122644,0.004754345223278286,-0.031860370012835496,1.1948440029808438,0.001,0.0014992503748125937,0.2805,0.28085957021489255,5.323081389242404,4.072217790722262,0.044977511244377814,2.734398768354559,0.003941289459991787,0.01128551285724988,ANALYTIC,,ACCEPTABLE,False,0.024,0.033,0.031,0.033,0.035500638531367146,0.04603398181700796,1000,0.664,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_fga_sd5|pts_sqres,pl_fga_sd5,pts_sqres,3549,174,2000,3.71240552172498,0.0038715727347608986,-0.03007713786835533,1.2081533733618746,0.0015,0.001999000499750125,0.4725,0.47276361819090457,5.323081389242404,4.072217790722262,0.09195402298850575,2.782596795959149,0.00406747626109139,0.011325497756888262,ANALYTIC,,ACCEPTABLE,False,0.05,0.037,0.039,0.05,0.06539048791553109,0.05064112305989116,1000,0.99,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_games_prior|minutes_absres,pl_games_prior,minutes_absres,3549,174,2000,-1.3976388470353738,0.0005505693366364349,0.038324629748975075,1.2802508345497545,0.273,0.2733633183408296,1.0,1.0,5.323081389242404,4.072217790722262,0.9995002498750625,2.903521609251109,0.004465602667590551,0.011543326732533705,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.001,0.003,0.008,0.003,0.005558924279825128,0.00874202323847778,1000,0.0,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_games_prior|minutes_sqres,pl_games_prior,minutes_sqres,3549,174,2000,-1.2841966477612297,0.00046486023709354824,0.04321896952665603,1.1832726200161707,0.269,0.26936531734132935,1.0,1.0,5.323081389242404,4.072217790722262,1.0,2.668210552696404,0.003782887282552787,0.011250806796909424,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.002,0.003,0.007,0.003,0.007205838911457152,0.00874202323847778,1000,0.0,1.0,True,NOT_SIGNIFICANT,False,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_rng5|minutes_absres,pl_min_rng5,minutes_absres,3549,174,2000,9.5559722764212,0.025105487378631965,-0.018745576691237095,1.3059098829327256,0.0,0.0004997501249375312,0.001,0.0014992503748125937,5.323081389242404,4.072217790722262,0.0004997501249375312,2.9638854688963727,0.004651366717815664,0.011621351367698703,ANALYTIC,,ACCEPTABLE,False,0.028,0.032,0.01,0.032,0.04021488737387274,0.04487590283499737,1000,0.0,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_rng5|minutes_sqres,pl_min_rng5,minutes_sqres,3549,174,2000,6.736266581502776,0.012635065554251769,-0.004326032622708244,1.204189572005987,0.0,0.0004997501249375312,0.0085,0.008995502248875561,5.323081389242404,4.072217790722262,0.0004997501249375312,2.7461663897834176,0.0039827774472813455,0.011313582046637448,ANALYTIC,,ACCEPTABLE,False,0.038,0.043,0.009,0.043,0.051787103621919794,0.05748625796198675,1000,0.044,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_rng5|pts_sqres,pl_min_rng5,pts_sqres,3549,174,2000,-2.9773618075060897,0.002493676728219437,0.0015450340119679193,1.1652860945008399,0.0075,0.0079960019990005,0.8935,0.8935532233883059,5.323081389242404,4.072217790722262,0.3843078460769615,2.5687077717396516,0.003549874637998814,0.01119696590124187,ANALYTIC,,ACCEPTABLE,False,0.026,0.045,0.024,0.045,0.03786512247893664,0.05975283269342785,1000,0.927,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_sd5|minutes_absres,pl_min_sd5,minutes_absres,3549,174,2000,9.382320494311342,0.024223241913176177,-0.018081306374574346,1.3048555321581494,0.0,0.0004997501249375312,0.001,0.0014992503748125937,5.323081389242404,4.072217790722262,0.0004997501249375312,2.9278414407178763,0.0045671914221402776,0.011618140095550136,ANALYTIC,,ACCEPTABLE,False,0.028,0.03,0.01,0.03,0.04021488737387274,0.042551402470082544,1000,0.0,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_sd5|minutes_sqres,pl_min_sd5,minutes_sqres,3549,174,2000,6.650306840008051,0.012318604430008736,-0.004260680158851007,1.2042147946578865,0.0,0.0004997501249375312,0.0095,0.009995002498750625,5.323081389242404,4.072217790722262,0.0004997501249375312,2.7116357052450355,0.003909997729156393,0.011313657849432392,ANALYTIC,,ACCEPTABLE,False,0.037,0.04,0.011,0.04,0.05064112305989116,0.054072696819374155,1000,0.038,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_min_sd5|pts_sqres,pl_min_sd5,pts_sqres,3549,174,2000,-2.907523879069529,0.002378338791976934,0.005574933876952366,1.1670776373263259,0.0115,0.01199400299850075,0.9195,0.9195402298850575,5.323081389242404,4.072217790722262,0.42478760619690153,2.5871122523942605,0.003589815828592824,0.011202322917789609,ANALYTIC,,ACCEPTABLE,False,0.032,0.047,0.028,0.047,0.04487590283499737,0.06201263069333346,1000,0.964,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|fga_absres,pl_minutes_prior,fga_absres,3549,174,2000,2.9294727004390433,0.0024142953406626365,0.04572454236330808,1.1600845501898136,0.0085,0.008995502248875561,0.913,0.9130434782608695,5.323081389242404,4.072217790722262,0.4127936031984008,2.4908899681233887,0.0033873669795774055,0.011181419662441025,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.009,0.017,0.007,0.017,0.017015783069903756,0.02707949686489547,1000,1.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|fga_sqres,pl_minutes_prior,fga_sqres,3549,174,2000,3.429468258400083,0.0033058015140819937,0.037628766944271815,1.1641047790104688,0.0035,0.00399800099950025,0.6525,0.6526736631684158,5.323081389242404,4.072217790722262,0.1729135432283858,2.59376900709652,0.0035981778060544564,0.011193434268721212,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.02,0.023,0.007,0.023,0.030720032682592324,0.03431233761279523,1000,1.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|minutes_absres,pl_minutes_prior,minutes_absres,3549,174,2000,-4.279541490705129,0.0051382883012201066,0.05718588188896585,1.2860079118889702,0.002,0.0024987506246876563,0.2175,0.2178910544727636,5.323081389242404,4.072217790722262,0.030984507746126936,2.794281095638126,0.004234467659081847,0.01156081012025684,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,True,0.001,0.006,0.107,0.006,0.005558924279825128,0.013013423270974045,1000,0.0,1.0,True,PERCELL_SIGNIFICANT_ONLY_CONFOUNDED,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|minutes_sqres,pl_minutes_prior,minutes_sqres,3549,174,2000,-3.353527494053205,0.0031614755318382514,0.05304640113276117,1.184282915101647,0.005,0.005497251374312844,0.6975,0.6976511744127936,5.323081389242404,4.072217790722262,0.19990004997501248,2.569772377992955,0.0035840662453776023,0.011253834846423429,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.003,0.009,0.074,0.009,0.00874202323847778,0.017015783069903756,1000,0.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|pts_absres,pl_minutes_prior,pts_absres,3549,174,2000,2.3976754239795244,0.0016185962706516263,0.010753630512905874,1.1915976508249118,0.0455,0.04597701149425287,0.9955,0.9955022488755623,5.323081389242404,4.072217790722262,0.735632183908046,2.690780134545263,0.0038442040052685754,0.011275770676052274,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.016,0.02,0.026,0.02,0.025853249081396246,0.030720032682592324,1000,1.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_minutes_prior|pts_sqres,pl_minutes_prior,pts_sqres,3549,174,2000,2.0430383298686796,0.0011757186015976036,-0.005711676567036616,1.2054022122029626,0.095,0.09545227386306847,1.0,1.0,5.323081389242404,4.072217790722262,0.9205397301349325,2.7545559370919306,0.004002739667984619,0.011317226737336544,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.018,0.022,0.049,0.022,0.028299041249012113,0.03311966451494858,1000,1.0,1.0,True,NOT_SIGNIFICANT,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|fga_absres,pl_pts_sd5,fga_absres,3549,174,2000,4.297205535929234,0.005180572782955257,-0.038550609416650526,1.1535774013342384,0.0005,0.0009995002498750624,0.2135,0.21389305347326337,5.323081389242404,4.072217790722262,0.030484757621189407,2.5132519562366467,0.00342044020524851,0.01116198647352808,ANALYTIC,,ACCEPTABLE,False,0.028,0.038,0.023,0.038,0.04021488737387274,0.051787103621919794,1000,0.207,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|fga_sqres,pl_pts_sd5,fga_sqres,3549,174,2000,4.180553407609729,0.004904487011552765,-0.03931559806956017,1.1813022556424846,0.0005,0.0009995002498750624,0.256,0.2563718140929535,5.323081389242404,4.072217790722262,0.038980509745127435,2.6317165946673335,0.003704518699604355,0.011244902406455476,ANALYTIC,,ACCEPTABLE,False,0.043,0.047,0.024,0.047,0.05748625796198675,0.06201263069333346,1000,0.992,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|minutes_absres,pl_pts_sd5,minutes_absres,3549,174,2000,-2.806636645108117,0.0022165113744346716,0.07227391248375545,1.272786062208847,0.028,0.02848575712143928,0.9535,0.9535232383808095,5.323081389242404,4.072217790722262,0.4847576211894053,2.854441049574615,0.004342261846887238,0.01152067702768382,ANALYTIC,,ACCEPTABLE,False,0.018,0.033,0.014,0.033,0.028299041249012113,0.04603398181700796,1000,1.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|minutes_sqres,pl_pts_sd5,minutes_sqres,3549,174,2000,-2.535045978443153,0.0018090333997328178,0.052994664680693464,1.1982044320831855,0.033,0.033483258370814596,0.988,0.9880059970014993,5.323081389242404,4.072217790722262,0.6601699150424788,2.704549079516988,0.003884543679533547,0.011295601810194776,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.015,0.02,0.011,0.02,0.02461970009705511,0.030720032682592324,1000,1.0,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|pts_absres,pl_pts_sd5,pts_absres,3549,174,2000,5.520373480333252,0.008520827749030471,-0.034478725613900904,1.2046595894033032,0.0,0.0004997501249375312,0.038,0.0384807596201899,5.323081389242404,4.072217790722262,0.0024987506246876563,2.65548668288472,0.00379378898510977,0.011314994653248287,ANALYTIC,,ACCEPTABLE,False,0.043,0.07,0.035,0.07,0.05748625796198675,0.08761623348929387,1000,0.977,0.977,False,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_pts_sd5|pts_sqres,pl_pts_sd5,pts_sqres,3549,174,2000,5.430281167757219,0.008247252946700865,-0.03841156067689346,1.2162333022054705,0.0,0.0004997501249375312,0.0435,0.04397801099450275,5.323081389242404,4.072217790722262,0.0034982508745627187,2.687918161540047,0.003881494718566132,0.011349806511943313,ANALYTIC,,INVALID_ANTICONSERVATIVE,False,0.059,0.092,0.035,0.092,0.07544907308422061,0.11163577251830742,1000,1.0,1.0,True,UNVERIFIABLE_NULL_FAILS_TYPE_I,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_start_switch5|minutes_absres,pl_start_switch5,minutes_absres,3549,174,2000,6.789719995159986,0.012833800226378332,0.03403664048617968,1.3810067353823612,0.0,0.0004997501249375312,0.0085,0.008995502248875561,5.323081389242404,4.072217790722262,0.0004997501249375312,3.0647831616520502,0.005034686332966509,0.011851217783408096,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.007,0.016,0.003,0.016,0.014369194978919142,0.025853249081396246,1000,0.046,1.0,True,FAMILYWISE_SIGNIFICANT,True,True,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_start_switch5|pts_absres,pl_start_switch5,pts_absres,3549,174,2000,-2.449772377158978,0.0016895783672106618,-0.016638607516698052,1.246217661918795,0.045,0.04547726136931534,0.9935,0.993503248375812,5.323081389242404,4.072217790722262,0.7061469265367316,2.751802253180471,0.0040701341814219465,0.011440243323822553,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.008,0.014,0.017,0.014,0.015702049176073485,0.023378156010319173,1000,0.36,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
A4_CLEAN_DEC,pl_start_switch5|pts_sqres,pl_start_switch5,pts_sqres,3549,174,2000,-2.6394607431252037,0.0019608269648422895,-0.022557097663451108,1.252457345258495,0.03,0.030484757621189407,0.9795,0.9795102448775612,5.323081389242404,4.072217790722262,0.5967016491754122,2.7292126205309457,0.004033083756175032,0.011459108149081328,ANALYTIC,,ACCEPTABLE_CONSERVATIVE,False,0.006,0.01,0.018,0.01,0.013013423270974045,0.018313243055171624,1000,0.369,1.0,True,PERCELL_SIGNIFICANT_ONLY,True,False,"dR2 here is on |residual| or squared-residual of a forecast, on this arm's own rows/base/SST; D103's 0.0023 bar is a dR2 on D089 walk-forward POINTS. The two are NOT the same denominator and the comparison is descriptive only."
