control,response,scheme,typeI,nominal,mc_se,within_3mcse
iid_candidate_clustered_response,pts_absres,COMPOSED2,0.016,0.05,0.006892024376045111,False
iid_candidate_clustered_response,pts_absres,COMPOSED2_NOREPLACE,0.017,0.05,0.006892024376045111,False
iid_candidate_clustered_response,pts_absres,ROW_NAIVE_EXACT_HERE,0.04,0.05,0.006892024376045111,True
iid_candidate_clustered_response,minutes_absres,COMPOSED2,0.008,0.05,0.006892024376045111,False
iid_candidate_clustered_response,minutes_absres,COMPOSED2_NOREPLACE,0.009,0.05,0.006892024376045111,False
iid_candidate_clustered_response,minutes_absres,ROW_NAIVE_EXACT_HERE,0.051,0.05,0.006892024376045111,True
iid_candidate_iid_response,IID_NORMAL,COMPOSED2,0.049,0.05,0.006892024376045111,True
iid_candidate_iid_response,IID_NORMAL,COMPOSED2_NOREPLACE,0.047,0.05,0.006892024376045111,True
iid_candidate_iid_response,IID_NORMAL,ROW_NAIVE_EXACT_HERE,0.051,0.05,0.006892024376045111,True
carrier_between_block_share,,REAL,0.03442201686313627,,,
carrier_between_block_share,,COMPOSED2,0.1142440363916173,,,
carrier_between_block_share,,COMPOSED2_NOREPLACE,0.10579203433291114,,,
carrier_between_block_share,,ROW_NAIVE,0.034221287518324164,,,
