response,row_set,candidate,arm,projection,null,n_draws,observed,null_mean,null_sd,z,p,n_blocks,mde80_analytic,null_centre_flag
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,FROZEN,RAW,N_TGSWAP,2000,0.0033653416676183647,-8.47881900552894e-05,0.0006766192473476667,5.099071407143812,0.0004997501249375312,1776,0.0018945338925734666,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,N_TGSWAP,2000,0.0031407243874338737,-8.6674077023706e-05,0.0006727441002378873,4.797364203292675,0.0009995002498750624,1776,0.0018836834806660843,
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,N_TGSWAP,2000,0.00016427616438712087,-9.970030200731443e-05,0.000583857741199107,0.4521246320247283,0.2493753123438281,1776,0.0016348016753574995,
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,N_TGSWAP,2000,0.003155735117820536,0.00020636393116368093,0.002366503497069519,1.2462991034279522,0.09895052473763119,1776,0.006626209791794653,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,RAW,N_TGSWAP,2000,-0.00040054648691417266,-0.00027321520317673807,0.0004978858098866906,-0.25574395013670465,0.7016491754122939,1776,0.0013940802676827336,
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,FROZEN,RAW,N_PSWAP,600,0.0033653416676183647,-0.0002571607278309318,0.0005598316556752346,6.47069946603869,0.0016638935108153079,48,0.0015675286358906569,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,N_PSWAP,600,0.0031407243874338737,-0.0002551785378254125,0.0005696151197061574,5.961749974282815,0.0016638935108153079,48,0.0015949223351772407,
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,N_PSWAP,600,0.00016427616438712087,-0.0002040405911380993,0.0005014748790844357,0.7344670109850208,0.14143094841930118,48,0.0014041296614364198,NULL MEAN FURTHER FROM 0 THAN OBSERVED
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,N_PSWAP,600,0.003155735117820536,-0.0005269178285698319,0.0010138977430126427,3.6321739265815167,0.0016638935108153079,48,0.002838913680435399,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,RAW,N_PSWAP,600,-0.00040054648691417266,-0.00020589797341705047,0.0005380297665052886,-0.3617801943588355,0.7520798668885191,48,0.001506483346214808,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,N_TGBLOCK,2000,-0.0017958306755508494,-0.00032370393706810416,0.0007229494398590125,-2.036278966852558,0.960519740129935,335,0.0020242584316052348,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,N_TGSWAP_VACUOUS_CONTROL,400,-0.0017958306755508494,-0.0017958306755508494,0.0,,1.0,1776,0.0,
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,UNFROZEN,RAW,N_TGSWAP,2000,0.00450139383337435,-9.160999894980677e-05,0.0006778866393268068,6.775474785703639,0.0004997501249375312,1776,0.001898082590115059,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,N_TGSWAP,2000,0.004209644044887787,-9.354041654366951e-05,0.0006739422441346019,6.385093825001436,0.0004997501249375312,1776,0.0018870382835768852,
