response,candidate,arm,projection,dr2,dr2_after_noop,deviation,identity_asserted
M_level_min,A1_pts_share_prior,FROZEN,RAW,0.0033653416676183647,0.0033653416676183647,0.0,True
M_level_min,A1_pts_share_prior,FROZEN,PROJ_BUDGET,0.021109708793173886,0.021109708793173886,0.0,True
M_level_min,A1_pts_share_prior,FROZEN,PROJ_ORACLE,0.0188133259500584,0.0188133259500584,0.0,True
M_level_min,A1_pts_share_prior,UNFROZEN,RAW,0.00450139383337435,0.00450139383337435,0.0,True
M_level_min,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,-0.0054559461130306575,-0.0054559461130306575,0.0,True
M_level_min,A1_pts_share_prior,UNFROZEN,PROJ_ORACLE,-0.004466276757652419,-0.004466276757652419,0.0,True
M_level_min,A2_fga_share_prior,FROZEN,RAW,0.0031407243874338737,0.0031407243874338737,0.0,True
M_level_min,A2_fga_share_prior,FROZEN,PROJ_BUDGET,0.020479019069566517,0.020479019069566517,0.0,True
M_level_min,A2_fga_share_prior,FROZEN,PROJ_ORACLE,0.01826046761384562,0.01826046761384562,0.0,True
M_level_min,A2_fga_share_prior,UNFROZEN,RAW,0.004209644044887787,0.004209644044887787,0.0,True
M_level_min,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,-0.004702335869064286,-0.004702335869064286,0.0,True
M_level_min,A2_fga_share_prior,UNFROZEN,PROJ_ORACLE,-0.00380200994378042,-0.00380200994378042,0.0,True
M_level_min,A3_starter_rate_prior,FROZEN,RAW,0.00016427616438712087,0.00016427616438712087,0.0,True
M_level_min,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,0.00508808647066808,0.00508808647066808,0.0,True
M_level_min,A3_starter_rate_prior,FROZEN,PROJ_ORACLE,0.004523859904528461,0.004523859904528461,0.0,True
M_level_min,A3_starter_rate_prior,UNFROZEN,RAW,0.00016203998304578534,0.00016203998304578534,0.0,True
M_level_min,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,0.0013676409848653278,0.0013676409848653278,0.0,True
M_level_min,A3_starter_rate_prior,UNFROZEN,PROJ_ORACLE,0.00125979043596738,0.00125979043596738,0.0,True
M_level_min,A4_vac_x_own,FROZEN,RAW,0.003155735117820536,0.003155735117820536,0.0,True
M_level_min,A4_vac_x_own,FROZEN,PROJ_BUDGET,0.012131574150316012,0.012131574150316012,0.0,True
M_level_min,A4_vac_x_own,FROZEN,PROJ_ORACLE,0.009849728880426319,0.009849728880426319,0.0,True
M_level_min,A4_vac_x_own,UNFROZEN,RAW,0.0008767526388242213,0.0008767526388242213,0.0,True
M_level_min,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,-0.018404030575346838,-0.018404030575346838,0.0,True
M_level_min,A4_vac_x_own,UNFROZEN,PROJ_ORACLE,-0.017304452803176572,-0.017304452803176572,0.0,True
M_level_min,A5_opp_defrtg,FROZEN,RAW,-0.0017958306755508494,-0.0017958306755508494,0.0,True
M_level_min,A5_opp_defrtg,FROZEN,PROJ_BUDGET,-0.0008247171287215916,-0.0008247171287215916,0.0,True
M_level_min,A5_opp_defrtg,FROZEN,PROJ_ORACLE,-0.0009428992482841215,-0.0009428992482841215,0.0,True
M_level_min,A5_opp_defrtg,UNFROZEN,RAW,-0.0018123669308188492,-0.0018123669308188492,0.0,True
M_level_min,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,-0.000870321330514135,-0.000870321330514135,0.0,True
M_level_min,A5_opp_defrtg,UNFROZEN,PROJ_ORACLE,-0.0009864230383049564,-0.0009864230383049564,0.0,True
M_level_min,G01_noise,FROZEN,RAW,-0.00040054648691417266,-0.00040054648691417266,0.0,True
M_level_min,G01_noise,FROZEN,PROJ_BUDGET,-0.000344337871415831,-0.000344337871415831,0.0,True
M_level_min,G01_noise,FROZEN,PROJ_ORACLE,-0.0003009644777891581,-0.0003009644777891581,0.0,True
M_level_min,G01_noise,UNFROZEN,RAW,-0.00040184199851824113,-0.00040184199851824113,0.0,True
M_level_min,G01_noise,UNFROZEN,PROJ_BUDGET,-0.000316927148629934,-0.000316927148629934,0.0,True
M_level_min,G01_noise,UNFROZEN,PROJ_ORACLE,-0.00027685882391539137,-0.00027685882391539137,0.0,True
