response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.23248062912856027,0.0033653416676183647,4.6753968811100695,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.24984111577402046,0.021109708793173886,4.6753968811100695,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.2816094646439271,0.0188133259500584,4.6753968811100695,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.23361668129431623,0.00450139383337435,7.039910207121367,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.2232754608678159,-0.0054559461130306575,7.039910207121367,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A1_pts_share_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.2583298619362163,-0.004466276757652419,7.039910207121367,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.23225601184837574,0.0031407243874338737,4.877375298345147,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.2492104260504131,0.020479019069566517,4.877375298345147,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.28105660630771434,0.01826046761384562,4.877375298345147,+
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A2_fga_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.23332493150582967,0.004209644044887787,7.480517374112616,+
