grid,response,projection,arm,candidate,stratum,window,n,n_blocks_scored,sst,r2_base,r2_aug,dR2,beta,primary_null,null_mean,null_sd,z,p,n_null_blocks,n_draws,p_floor,second_null,null_mean_2,null_sd_2,z_2,p_2,n_draws_2,p_familywise,MDE80_analytic,boot_sd,boot_t,boot_MDE80,boot_over_perm_sd,dr2_eval_2023,dr2_eval_2024,dr2_eval_2022
PRIMARY,R1_min,RAW,FROZEN,C1_player_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.23608235812330236,0.006643910081042302,-0.08941191218652936,N_TGSWAP,0.002294457085456937,0.0009188545302713764,4.733559940441049,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.00031215308618028737,0.0005860693407958325,11.869010512948597,0.0016638935108153079,600,0.0009995002498750624,0.002572792684759854,0.0023334348173423116,2.84726619816595,0.006533617488558472,2.5395040678018423,0.003209725931369527,0.009977767295317937,0.0016096309427551013
PRIMARY,R1_min,RAW,FROZEN,C2_foul_rate,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22952592291209573,8.747486983557731e-05,0.058758076211182605,N_TGSWAP,-0.00021322106143538357,0.0005375505826578753,0.5593816488565488,0.18840579710144928,1776,2000,0.0004997501249375312,N_PSWAP,-0.00028283380952198386,0.0006124116539542788,0.6046728160160184,0.1896838602329451,600,0.7091454272863568,0.0015051416314420508,0.0002925110038709907,0.2990481338410001,0.0008190308108387738,0.5441553098588299,-0.00031009206098837075,0.0004724115846140248,-3.487290480081638e-05
PRIMARY,R1_min,RAW,FROZEN,C3_blowout_adj,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.23016910269967417,0.0007306546574140676,0.2720742958200426,N_TGSWAP,-0.00019805891332865552,0.0005433283663912165,1.7093044063044835,0.025487256371814093,1776,2000,0.0004997501249375312,N_PSWAP,-0.0002745047288781719,0.0005821268263161064,1.726701709751507,0.009983361064891847,600,0.15242378810594703,0.0015213194258954059,0.0014061919988995995,0.5195980762128027,0.003937337596918879,2.588107093026484,0.0017086435837737764,-0.00021485556446708995,0.002439460694552097
PRIMARY,R1_min,RAW,FROZEN,C4_min_volatility,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22997162811050254,0.0005331800682424417,-0.05148600218010512,N_TGSWAP,-0.00021420782892814117,0.00046337280332891737,1.6129300032312475,0.02348825587206397,1776,2000,0.0004997501249375312,N_PSWAP,-0.0002976397064325302,0.0005828294530631261,1.4254938049347108,0.029950083194675542,600,0.1724137931034483,0.0012974438493209685,0.0006028935697912658,0.8843684772206803,0.001688101995415544,1.3010983067198096,0.00046643821714724827,0.0005985741112343525,0.0005527821984973655
PRIMARY,R1_min,RAW,FROZEN,C5_starter_delta,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22964692227830164,0.00020847423604147586,1.087527680023917,N_TGSWAP,-0.0002211631976555329,0.0005223750968939064,0.8224692108250855,0.12143928035982009,1776,2000,0.0004997501249375312,N_PSWAP,-0.00031534855906719517,0.0006478154162023207,0.8085988415951416,0.129783693843594,600,0.5122438780609695,0.0014626502713029378,0.0012423157542734795,0.1678109895365482,0.0034784841119657422,2.3782063150797406,-0.00031914242650145174,0.0007194668046658414,-0.008642670180622725
PRIMARY,R1_min,RAW,FROZEN,C6_team_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22920137966401954,-0.00023706837824052302,0.0002933813822718796,N_TGBLOCK,-0.00025084323923964415,0.000592366781423372,0.02325393899708914,0.5182408795602199,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.00023706837824052308,5.434614424249294e-20,0.9974968671630001,1.0,200,0.8585707146426786,0.0016586269879854414,0.00013998991665566953,-1.693467528976644,0.00039197176663587465,0.2363230367497886,-5.432149950985827e-05,-0.0004143029099300579,-2.6049302303442703e-05
PRIMARY,R1_min,RAW,FROZEN,C7_sched_density,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.23024883745873526,0.0008103894164751827,0.17747791632597373,N_TGBLOCK,0.00033504711092152234,0.0006733492104345982,0.7059372732417125,0.20739630184907545,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.0008103894164751825,2.1738457696997175e-19,0.9974968671630001,1.0,200,0.45177411294352826,0.0018853777892168747,0.0008721494723272189,0.9291863862656049,0.002442018522516213,1.2952409519635577,-0.00011943343287981327,0.001711575509323289,0.0007748010930674165
PRIMARY,R1_min,RAW,FROZEN,C8_opp_pace_prior,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.2275561091094669,-0.0018823389327931842,-0.16124921286472108,N_TGBLOCK,-0.00014721609486809828,0.0006126112847813468,-2.8323390068538905,0.9855072463768116,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.001882338932793184,2.1738457696997175e-19,-0.9974968671630001,1.0,200,1.0,0.001715311597387771,0.0012549033651041023,-1.4999871584829418,0.0035137294222914862,2.0484496389125484,-0.0009596859511647615,-0.0027781823695405745,0.002479736067308234
PRIMARY,R1_min,RAW,FROZEN,G01_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.2290351189672737,-0.00040332907498642523,0.02566829842514859,N_TGSWAP,-0.0002678513538972177,0.000507180270787763,-0.26711946203818365,0.7311344327836082,1776,2000,0.0004997501249375312,N_PSWAP,-0.00023791363985644864,0.0005571493022098592,-0.2968960644370873,0.718801996672213,600,,0.0014201047582057362,0.0002522693473865739,-1.5988033392276138,0.0007063541726824069,0.497395821400434,-0.0002152120688990789,-0.0005860090808416037,-0.0017910528901229224
PRIMARY,R1_min,RAW,FROZEN,G02_tg_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22928410307259117,-0.00015434496966890482,-0.039635363890955205,N_TGBLOCK,-0.00041068425567340717,0.0007657523855565106,0.3347547991224445,0.4267866066966517,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.00015434496966890482,0.0,,1.0,200,,0.00214410667955823,0.00037592762924424104,-0.41057096542543975,0.0010525973618838748,0.4909258349499435,-1.6282650187756681e-07,-0.0003038083479619037,-0.0026336142164538234
PRIMARY,R1_min,RAW,UNFROZEN,C1_player_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.2360990778986196,0.006660629856359446,-0.08942664932507127,N_TGSWAP,0.0023304947356148223,0.0009258150551005761,4.677105969371192,0.0004997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.0003200386739527401,0.0005933766842797684,11.764312139741747,0.0016638935108153079,600,0.0009995002498750624,0.002592282154281613,0.0023337167796314015,2.854086628888814,0.006534406982967924,2.5207159537688417,0.0032277003064129614,0.009993297649855208,0.001607678590600825
PRIMARY,R1_min,RAW,UNFROZEN,C2_foul_rate,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22967080064961765,0.00023235260735754326,0.06468117092832812,N_TGSWAP,-0.00020968838472679242,0.0005394334618241319,0.8194541558277517,0.09795102448775612,1776,2000,0.0004997501249375312,N_PSWAP,-0.0003070292552596922,0.0006411684808857036,0.8412482501824464,0.09484193011647254,600,0.5112443778110944,0.0015104136931075691,0.0002965839459760654,0.783429482647366,0.0008304350487329831,0.5498063560483365,-2.0764937257666253e-05,0.00047769212039465696,-4.141271741702954e-05
PRIMARY,R1_min,RAW,UNFROZEN,C3_blowout_adj,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22938814975752264,-5.0298284737461506e-05,0.30013979897678944,N_TGSWAP,-0.0001999095967291896,0.0005450741799207735,0.2744788094961205,0.424287856071964,1776,2000,0.0004997501249375312,N_PSWAP,-0.00030603226952839583,0.0006202335248002295,0.41231886791882694,0.3793677204658902,600,0.9185407296351824,0.0015262077037781656,0.0015042179482372723,-0.03343816286489859,0.004211810255064362,2.7596573157362,9.877173430591029e-05,-0.00019465860290077098,0.0026483924800491847
PRIMARY,R1_min,RAW,UNFROZEN,C4_min_volatility,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.2298109737964169,0.0003725257541567665,-0.05676394695124929,N_TGSWAP,-0.00021735227141588093,0.00046253390184085416,1.2753184647113913,0.04697651174412794,1776,2000,0.0004997501249375312,N_PSWAP,-0.00031235501385908494,0.00059927933959794,1.1428406133195612,0.05324459234608985,600,0.2703648175912044,0.0012950949251543916,0.0006391914607289735,0.5828077767683489,0.0017897360900411257,1.3819342932162033,-4.2627930446345124e-05,0.000774909441363592,0.000574511694394114
PRIMARY,R1_min,RAW,UNFROZEN,C5_starter_delta,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22980263645586363,0.0003641884136034945,1.1082927940585363,N_TGSWAP,-0.000225262518887597,0.0005250117722897917,1.1227385053105652,0.07546226886556721,1776,2000,0.0004997501249375312,N_PSWAP,-0.0003297026463812046,0.0006612220566743062,1.0494070077981148,0.07154742096505824,600,0.34182908545727136,0.0014700329624114166,0.001238587057634021,0.2940353779403896,0.0034680437613752585,2.359160542690376,3.2065750312544916e-05,0.0006861936706445397,-0.00980881366425845
PRIMARY,R1_min,RAW,UNFROZEN,C6_team_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.2294384480422601,0.22920256896973135,-0.00023587907252872094,0.0002932145162329574,N_TGBLOCK,-0.000252677538355805,0.000595622171073209,0.028203224532115916,0.5162418790604698,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-0.00023587907252872097,2.717307212124647e-20,0.9974968671630001,1.0,200,0.855072463768116,0.001667742079004985,0.00014002672768019062,-1.6845289212745804,0.00039207483750453373,0.2350932092200102,-5.164004488325271e-05,-0.00041455608830706924,-2.6001808140158502e-05
