arm,target,scheme,model,decile,n,mean_predicted,mean_realised,median_realised
A4_CLEAN_DEC,pts,WF,V0,1,294,5.074779040504784,5.2825658094266155,4.459782496365874
A4_CLEAN_DEC,pts,WF,V0,2,295,5.083346579764783,5.31142343288148,4.377679608576166
A4_CLEAN_DEC,pts,WF,V0,3,294,5.090006358917705,5.081769892303286,4.352092323138001
A4_CLEAN_DEC,pts,WF,V0,4,295,5.094621001415833,5.013492788195679,4.3194391317514516
A4_CLEAN_DEC,pts,WF,V0,5,294,5.099728174354447,5.249944836416986,4.257640387608049
A4_CLEAN_DEC,pts,WF,V0,6,295,5.104966396061965,4.833467228296353,4.153675158463017
A4_CLEAN_DEC,pts,WF,V0,7,294,5.111297060655781,4.892126037053514,3.9827334929471228
A4_CLEAN_DEC,pts,WF,V0,8,295,5.121797505078663,5.2052161259148555,4.297615978356809
A4_CLEAN_DEC,pts,WF,V0,9,294,5.132422413685597,4.91388839501255,4.275430946868186
A4_CLEAN_DEC,pts,WF,V0,10,295,5.149272753034896,4.9158235880251375,4.044426586191751
A4_CLEAN_DEC,pts,WF,VSD,1,294,4.835293151803262,5.42376615940573,4.612439111508445
A4_CLEAN_DEC,pts,WF,VSD,2,295,5.027475189091402,5.199866828018402,4.677945836072732
A4_CLEAN_DEC,pts,WF,VSD,3,294,5.038376070823675,5.238286426107053,4.206346020436639
A4_CLEAN_DEC,pts,WF,VSD,4,295,5.0509419323693505,4.707808341568518,3.8484845747194427
A4_CLEAN_DEC,pts,WF,VSD,5,294,5.068832240797779,5.147776291489371,4.284351243001074
A4_CLEAN_DEC,pts,WF,VSD,6,295,5.084798604993172,4.97402866070502,4.242944577236141
A4_CLEAN_DEC,pts,WF,VSD,7,294,5.105530280394762,4.96307093502154,4.3568154315972
A4_CLEAN_DEC,pts,WF,VSD,8,295,5.122073586741347,5.1430867179041435,3.9356848268379654
A4_CLEAN_DEC,pts,WF,VSD,9,294,5.139940387022566,5.227461712891805,4.688231644740326
A4_CLEAN_DEC,pts,WF,VSD,10,295,5.244922662873821,4.676532387718949,3.7952150048909026
A4_CLEAN_DEC,pts,WF,VSIG,1,294,3.714378282374883,3.7811352062863213,3.2338529862535252
A4_CLEAN_DEC,pts,WF,VSIG,2,295,4.541457725032958,4.313691565952387,3.9560247457100086
A4_CLEAN_DEC,pts,WF,VSIG,3,294,4.814553755401454,4.885753975631508,4.724912183491975
A4_CLEAN_DEC,pts,WF,VSIG,4,295,5.01211174296298,4.638611898568282,3.7887310319463694
A4_CLEAN_DEC,pts,WF,VSIG,5,294,5.1829980987944575,4.955521989416797,4.072065594009331
A4_CLEAN_DEC,pts,WF,VSIG,6,295,5.3310200332005335,5.075141034149388,4.189083089798078
A4_CLEAN_DEC,pts,WF,VSIG,7,294,5.452435129037869,5.607046649040934,4.875406107952727
A4_CLEAN_DEC,pts,WF,VSIG,8,295,5.571833708794803,5.333202431146524,4.777348826355592
A4_CLEAN_DEC,pts,WF,VSIG,9,294,5.70543431432175,5.949135541308193,4.855645234040262
A4_CLEAN_DEC,pts,WF,VSIG,10,295,5.921703827966933,6.159658514539583,5.456807968382865
A4_CLEAN_DEC,pts,WF,VALL,1,294,3.507161725825153,3.927815153582711,3.105279530413554
A4_CLEAN_DEC,pts,WF,VALL,2,295,4.200165520619211,4.674788069365168,4.274446324258703
A4_CLEAN_DEC,pts,WF,VALL,3,294,4.53739249304442,4.816155963202306,4.303185765017554
A4_CLEAN_DEC,pts,WF,VALL,4,295,4.781944661744771,4.691829123059658,3.9948340350299887
A4_CLEAN_DEC,pts,WF,VALL,5,294,4.98467729774968,4.836330674981265,4.202580045508956
A4_CLEAN_DEC,pts,WF,VALL,6,295,5.175898332542716,5.1605486247279515,4.397341320603832
A4_CLEAN_DEC,pts,WF,VALL,7,294,5.377545459204651,5.059264587454824,4.185729556330684
A4_CLEAN_DEC,pts,WF,VALL,8,295,5.59930341599428,5.684997094140786,4.777348826355592
A4_CLEAN_DEC,pts,WF,VALL,9,294,5.875450983889984,6.124980226668776,5.112859514111868
A4_CLEAN_DEC,pts,WF,VALL,10,295,6.427207652505912,5.720785740531746,4.681120419364849
A4_CLEAN_DEC,pts,WF,VLEV,1,294,3.9716807046452014,3.8407035032157126,3.26980432087824
A4_CLEAN_DEC,pts,WF,VLEV,2,295,4.334400057648302,4.523464058949017,4.290224367043259
A4_CLEAN_DEC,pts,WF,VLEV,3,294,4.558606548398269,4.650347841252157,4.013777420139292
A4_CLEAN_DEC,pts,WF,VLEV,4,295,4.760091757803409,5.206144612738907,4.179393084713441
A4_CLEAN_DEC,pts,WF,VLEV,5,294,4.962010784122876,4.774183014834598,4.173116315594983
A4_CLEAN_DEC,pts,WF,VLEV,6,295,5.1562623363056215,5.052919551067786,4.342094437325688
A4_CLEAN_DEC,pts,WF,VLEV,7,294,5.363914805714132,5.45709438808481,4.514012017284071
A4_CLEAN_DEC,pts,WF,VLEV,8,295,5.592896175340837,5.385446980877949,4.777348826355592
A4_CLEAN_DEC,pts,WF,VLEV,9,294,5.911232777210053,5.494363181209373,4.554827079761221
A4_CLEAN_DEC,pts,WF,VLEV,10,295,6.507713428164031,6.3109709909855845,5.2494556701524
A4_CLEAN_DEC,pts,GKF,V0,1,354,4.983522292187359,5.543447333131901,4.658111623536255
A4_CLEAN_DEC,pts,GKF,V0,2,355,4.9835222921873585,5.3565370164769055,4.677945836072732
A4_CLEAN_DEC,pts,GKF,V0,3,355,5.03216231499969,5.332209564750673,4.49716545986589
A4_CLEAN_DEC,pts,GKF,V0,4,355,5.032299716194075,5.182504753079918,4.168778252129204
A4_CLEAN_DEC,pts,GKF,V0,5,355,5.0680754344517265,5.110197622743394,4.545672200418452
A4_CLEAN_DEC,pts,GKF,V0,6,355,5.0680754344517265,5.1152858199355355,4.401722833045971
A4_CLEAN_DEC,pts,GKF,V0,7,355,5.124699172114804,5.086967566352104,4.132503414050484
A4_CLEAN_DEC,pts,GKF,V0,8,355,5.124699172114804,4.685685478508569,3.945543500882554
A4_CLEAN_DEC,pts,GKF,V0,9,355,5.1764751788250845,4.628901291713435,4.075372271350176
A4_CLEAN_DEC,pts,GKF,V0,10,355,5.1764751788250845,4.729689547371232,3.780630595720229
A4_CLEAN_DEC,pts,GKF,VSD,1,354,4.948827224453113,5.343968143730017,4.624019238428559
A4_CLEAN_DEC,pts,GKF,VSD,2,355,4.9954819675819495,5.2269219388403645,4.2256046361075
A4_CLEAN_DEC,pts,GKF,VSD,3,355,5.004892715457956,5.1045911019183094,4.412913245943894
A4_CLEAN_DEC,pts,GKF,VSD,4,355,5.019058732912987,5.487675354880478,4.646713673340798
A4_CLEAN_DEC,pts,GKF,VSD,5,355,5.068416104413993,5.334445619020059,4.384659320386291
A4_CLEAN_DEC,pts,GKF,VSD,6,355,5.087513064536378,4.904644421148802,3.991138256598518
A4_CLEAN_DEC,pts,GKF,VSD,7,355,5.122700047548284,5.054095123542892,4.068758916668486
A4_CLEAN_DEC,pts,GKF,VSD,8,355,5.12776101569938,5.07279024640255,4.3207630348307955
A4_CLEAN_DEC,pts,GKF,VSD,9,355,5.148806444994323,4.618567547645471,3.8978957625039534
A4_CLEAN_DEC,pts,GKF,VSD,10,355,5.271301854270804,4.623164583725141,4.064462693071819
A4_CLEAN_DEC,pts,GKF,VSIG,1,354,3.630984664991424,3.6440215649823715,3.139486206965712
A4_CLEAN_DEC,pts,GKF,VSIG,2,355,4.491327989482614,4.45157371003398,4.08101882761466
A4_CLEAN_DEC,pts,GKF,VSIG,3,355,4.7854022876480204,4.970629980878283,4.502281340516088
A4_CLEAN_DEC,pts,GKF,VSIG,4,355,4.9827632566412365,4.575830051646398,3.966083568371527
A4_CLEAN_DEC,pts,GKF,VSIG,5,355,5.14102371792114,4.993762766571355,4.198786409850209
A4_CLEAN_DEC,pts,GKF,VSIG,6,355,5.28361495070431,5.209277788036486,4.149553946242335
A4_CLEAN_DEC,pts,GKF,VSIG,7,355,5.409773357063085,5.47360309487715,4.542118813715829
A4_CLEAN_DEC,pts,GKF,VSIG,8,355,5.523287277744265,5.62820859754567,4.775608689713504
A4_CLEAN_DEC,pts,GKF,VSIG,9,355,5.652055207573768,5.700316122916106,5.063824436418702
A4_CLEAN_DEC,pts,GKF,VSIG,10,355,5.884166294174821,6.118851821454321,4.9689075640228815
A4_CLEAN_DEC,pts,GKF,VALL,1,354,3.7198296135221582,3.796658741865899,3.130923318496622
A4_CLEAN_DEC,pts,GKF,VALL,2,355,4.29218232326771,4.661334391924984,4.438379958837448
A4_CLEAN_DEC,pts,GKF,VALL,3,355,4.610007671778745,5.009280098379894,4.324646922242618
A4_CLEAN_DEC,pts,GKF,VALL,4,355,4.821711313575645,4.270181320149338,3.479983453368355
A4_CLEAN_DEC,pts,GKF,VALL,5,355,5.016698860163614,5.037224822938098,4.689840109827239
A4_CLEAN_DEC,pts,GKF,VALL,6,355,5.20130366478261,5.24427548062621,4.189083089798078
A4_CLEAN_DEC,pts,GKF,VALL,7,355,5.392206340773772,5.1838625743277635,4.340985526571373
A4_CLEAN_DEC,pts,GKF,VALL,8,355,5.592701188802706,5.443731937128351,4.599773113189265
A4_CLEAN_DEC,pts,GKF,VALL,9,355,5.836645931600869,5.943118003217269,4.9689075640228815
A4_CLEAN_DEC,pts,GKF,VALL,10,355,6.306747179856291,6.176838092262859,5.096989108585479
A4_CLEAN_DEC,pts,GKF,VLEV,1,354,4.062871559906021,3.9156947414879304,3.290378601366335
A4_CLEAN_DEC,pts,GKF,VLEV,2,355,4.389998015856815,4.398106137467536,4.044426586191751
A4_CLEAN_DEC,pts,GKF,VLEV,3,355,4.582910321973039,4.67188452348305,3.9312582516712222
A4_CLEAN_DEC,pts,GKF,VLEV,4,355,4.764915845554762,5.144051771788764,4.42664868258902
A4_CLEAN_DEC,pts,GKF,VLEV,5,355,4.946608796330569,4.90107746703766,4.143991054902665
A4_CLEAN_DEC,pts,GKF,VLEV,6,355,5.119986239154005,5.1255445881065205,4.250480709930438
A4_CLEAN_DEC,pts,GKF,VLEV,7,355,5.311589787189355,5.237464855488098,4.351669895610005
A4_CLEAN_DEC,pts,GKF,VLEV,8,355,5.5157444145962025,5.5441980058377265,4.865909592972853
A4_CLEAN_DEC,pts,GKF,VLEV,9,355,5.7847133247398235,5.378321246833471,4.52217184325751
A4_CLEAN_DEC,pts,GKF,VLEV,10,355,6.305901745931084,6.450497437964899,5.259795122488587
A4_CLEAN_DEC,minutes,WF,V0,1,294,4.216450453299126,4.381006138168854,3.3868283150605
A4_CLEAN_DEC,minutes,WF,V0,2,295,4.235837826013835,4.670805237027504,3.772712332593528
A4_CLEAN_DEC,minutes,WF,V0,3,294,4.248683238558267,4.1265654397660665,3.4415686340974663
A4_CLEAN_DEC,minutes,WF,V0,4,295,4.258783380210525,4.166743630578511,3.2224269425636223
A4_CLEAN_DEC,minutes,WF,V0,5,294,4.271632782886151,4.504757842052375,3.5182197205454084
