channel,intercept_arm,n,mean_signed_delta_r2,sd_signed_delta_r2,typeI_at_0p05,centred_ok_abs_mean_lt_2e-4,arm
RAW_INCUMBENT,NA,300,-0.005572468579441415,0.0,0.0,False,A4_CLEAN_DEC
S1_WLS_p1,FROZEN,300,1.4618757706098285e-06,1.5427612342850006e-05,0.023333333333333334,True,A4_CLEAN_DEC
S1_WLS_p1,UNFROZEN,300,-1.0535231533022038e-06,1.783895037662932e-05,0.03333333333333333,True,A4_CLEAN_DEC
S1_WLS_p2,FROZEN,300,2.071375862681919e-06,3.054018723072905e-05,0.03,True,A4_CLEAN_DEC
S1_WLS_p2,UNFROZEN,300,-3.0892866450097565e-06,3.538685108673666e-05,0.03333333333333333,True,A4_CLEAN_DEC
S2_SHRINK,FROZEN,300,-4.5787766261787604e-05,0.0002584161596940698,0.08666666666666667,True,A4_CLEAN_DEC
S2_SHRINK,UNFROZEN,300,-4.888647988050413e-05,0.000254759911888516,0.07666666666666666,True,A4_CLEAN_DEC
S3_ADD_VHAT,FROZEN,300,-0.000291091448285728,0.00051396029212693,0.16,False,A4_CLEAN_DEC
S3_ADD_VHAT,UNFROZEN,300,-0.00029109144828572765,0.0005139602921269477,0.16,False,A4_CLEAN_DEC
S3_ADD_VHAT_X_LEVEL,FROZEN,300,-0.0021757237796188387,0.0011100386129235136,0.11666666666666667,False,A4_CLEAN_DEC
S3_ADD_VHAT_X_LEVEL,UNFROZEN,300,-0.0021757237796188192,0.0011100386129235284,0.11666666666666667,False,A4_CLEAN_DEC
S4_TWOSTAGE,FROZEN,300,-3.6484855483559825e-06,3.081570337717708e-05,0.03666666666666667,True,A4_CLEAN_DEC
S4_TWOSTAGE,UNFROZEN,300,-9.810754471250133e-06,3.5819566894460015e-05,0.03333333333333333,True,A4_CLEAN_DEC
