control,arm,zone,obs,z,p_familywise
G01_noise_zero_sum,RAW_FROZEN,Restricted Area,0.20236231564310064,1.3703896838414051,0.34832583708145926
G01_noise_zero_sum,RAW_FROZEN,In The Paint (Non-RA),0.1650327040255904,1.0140523341361594,0.552223888055972
G01_noise_zero_sum,RAW_FROZEN,Mid-Range,0.2209433437711564,2.461892906945656,0.031984007996002
G01_noise_zero_sum,RAW_FROZEN,Corner 3,-0.017060147385393586,-0.11113894108634662,0.9630184907546226
G01_noise_zero_sum,RAW_FROZEN,Above the Break 3,0.10432635911104471,1.104963897871104,0.4962518740629685
G01_noise_zero_sum,PROJ_FROZEN,Restricted Area,0.18380053058232904,1.5240132259218069,0.23738130934532733
G01_noise_zero_sum,PROJ_FROZEN,In The Paint (Non-RA),0.15762139741871506,1.2015890810990009,0.3823088455772114
G01_noise_zero_sum,PROJ_FROZEN,Mid-Range,0.19805837937392767,2.6466924618595375,0.01699150424787606
G01_noise_zero_sum,PROJ_FROZEN,Corner 3,0.021835464540619586,0.7641512043311376,0.6111944027986007
G01_noise_zero_sum,PROJ_FROZEN,Above the Break 3,0.11274322308710187,1.4450966559308216,0.27636181909045476
G02_TGCONST,RAW_FROZEN,Restricted Area,-0.3027712736379556,0.5496102088276562,0.9290354822588706
G02_TGCONST,RAW_FROZEN,In The Paint (Non-RA),0.2582422534696975,-0.4871127601334829,1.0
G02_TGCONST,RAW_FROZEN,Mid-Range,-0.05265488054095246,-0.18983256110792357,1.0
G02_TGCONST,RAW_FROZEN,Corner 3,-0.027348456979799304,-0.17949900747290468,1.0
G02_TGCONST,RAW_FROZEN,Above the Break 3,0.12453235768900933,0.05055887195536209,1.0
G02_TGCONST,PROJ_FROZEN,Restricted Area,-0.3027712736379555,0.5496102088276529,0.9290354822588706
G02_TGCONST,PROJ_FROZEN,In The Paint (Non-RA),0.2582422534696976,-0.4871127601334829,1.0
G02_TGCONST,PROJ_FROZEN,Mid-Range,-0.05265488054095235,-0.18983256110792943,1.0
G02_TGCONST,PROJ_FROZEN,Corner 3,-0.027348456979799193,-0.1794990074729205,1.0
G02_TGCONST,PROJ_FROZEN,Above the Break 3,0.12453235768900944,0.050558871955357014,1.0
