arm,n_features,oof_r2,decile_ratio,decile1_mean,decile10_mean,calib_slope,calib_intercept,spearman,mean_predicted,sse
L0,0,-0.0021068266877903863,0.9305131063343464,4.381006138168854,4.076583630497339,-1.6262427560564672,11.272090104255788,-0.023800738562278875,4.30092079585668,40947.69576887042
L1,1,0.018378184830828204,1.3542289136631123,3.7723994984690563,5.10869247471502,0.8356029189861632,0.7260893611740487,0.17840925019398524,4.250415327361948,40110.64526971487
L2,3,0.018379236128441945,1.345824423337875,3.866493934958257,5.203621970354588,0.8400108822099065,0.7034020458005501,0.17329529514357403,4.255119600852382,40110.60231200447
L3,6,0.027334354513954717,1.6628617384109865,3.3206578357232988,5.5217948613789085,0.923611061145909,0.36019132427363854,0.1950296443798215,4.241566235128385,39744.681779922874
L4,8,0.034755837395615274,1.8407367703795376,3.101268063736646,5.7086181597237955,0.9214626480758855,0.36157549262220323,0.2077769433474197,4.249953409589,39441.428059761565
L5,15,0.03337688406255668,1.7979604770586575,3.1319780518630416,5.631172752264919,0.8940113982899635,0.48384581461370546,0.20552437320503095,4.243685268738603,39497.77430954033
C1,37,0.04104586869359916,1.883656356781903,3.1165873455942554,5.870579564994657,0.8345812449198934,0.8900881462629265,0.2214166007173938,4.059114304304142,39184.40727005412
C5,51,0.04543428715051112,1.9603167155052605,2.946409256827219,5.77589531687783,0.8230598699464579,0.9336276228202783,0.23220529789401823,4.06303516294445,39005.08943776865
NONLY,36,0.04104836981981275,1.8440560491838371,3.166794778031478,5.839747066952733,0.8450008223007657,0.8399155971304202,0.20969146348677914,4.068437719540063,39184.30507001661
C5X,63,0.03581373226241591,1.8284246270410742,3.1003723199115356,5.66879710272272,0.7431378879707268,1.260073390496204,0.22741915328876144,4.060720727569591,39398.200774997546
VSIG,7,0.042865714349458295,1.9089438985712843,3.00411298132837,5.734683146325582,1.0123223602962483,-0.12510983614749133,0.2053441988268346,4.349265436041787,39110.0454512561
VSD,1,-0.004813405755563105,0.9488199464565072,4.264716910887719,4.046448471040646,-0.5105137459847094,6.439800330558244,-0.006970274420589828,4.235050538681829,41058.29094025336
