pattern,channel,player_id,player_name,n_rows,sxx,raw_dev_slope,trait_pred_slope,shrunken_dev,posterior_z,half1_slope,half2_slope,half_signs,survives_shrinkage,replicates_sign,reported,K_star
TALL_SHOOTERS [fg3],fg3,100720,Sue Bird,51,33.52,0.10932,0.04962,0.01266,0.049,-1.05677,2.13643,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,100940,Diana Taurasi,89,76.32,0.49256,0.15684,0.11313,0.466,0.86168,0.14493,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201480,Sylvia Fowles,51,47.88,0.11998,-0.11306,0.0189,0.074,0.1376,0.09865,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201496,Candace Parker,58,66.69,0.5587,0.00312,0.11547,0.469,0.26746,0.90945,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201507,Leilani Mitchell,26,28.39,1.63563,0.11626,0.16328,0.622,0.62653,2.65519,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201516,Allie Quigley,50,53.39,-0.60211,0.02288,-0.1039,-0.413,-0.81982,-0.37199,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201886,DeWanna Bonner,123,125.88,0.47238,0.02392,0.15571,0.688,0.45563,0.49074,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201896,Briann January,55,37.94,0.8408,-0.02046,0.10852,0.421,1.00644,-0.01176,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,201911,Kristi Toliver,22,14.38,2.00271,0.03333,0.1065,0.396,2.09053,1.58069,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201913,Kia Vaughn,42,47.57,0.17066,-0.17921,0.02674,0.105,0.18309,0.15824,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,201919,Shavonte Zellous,20,14.15,0.63229,-0.04211,0.03312,0.123,-0.46607,1.01293,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,202250,Tina Charles,85,78.74,-0.21199,-0.06086,-0.04987,-0.206,-0.67757,0.24762,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,202252,Alysha Clark,93,98.82,1.01757,-0.01793,0.2834,1.207,0.63717,1.55428,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202259,Epiphanny Prince,46,40.17,-0.3523,0.01939,-0.04779,-0.186,-0.978,0.12082,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,202633,Liz Cambage,40,52.03,-0.05384,-0.18401,-0.00909,-0.036,-0.33212,0.32165,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,202638,Jessica Breland,20,25.25,0.36548,-0.12506,0.03281,0.124,0.80827,0.17718,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202641,Sydney Colson,20,27.47,1.8156,-0.01268,0.17595,0.67,1.73254,1.69921,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202650,Jantel Lavender,37,42.9,0.49967,-0.12325,0.07171,0.28,0.39041,0.71639,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202658,Danielle Robinson,72,65.9,0.10662,-0.01297,0.02183,0.089,0.05023,0.22423,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202662,Jasmine Thomas,44,42.88,0.34992,0.06143,0.05021,0.196,0.18136,0.61293,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,202664,Courtney Vandersloot,114,91.52,0.56485,0.05185,0.14876,0.627,0.62223,0.46449,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203014,Nneka Ogwumike,105,108.56,0.08245,-0.08558,0.02455,0.106,0.19966,-0.02787,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203024,Damiris Dantas,39,35.29,-0.83549,0.0455,-0.10122,-0.39,-1.71461,0.58063,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203026,Tiffany Hayes,85,84.88,-0.64403,0.06066,-0.16036,-0.669,-1.77966,0.67906,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203029,Riquna Williams,43,50.33,1.09353,0.09634,0.17968,0.711,0.27006,1.56154,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203035,Shey Peddy,65,60.96,-0.12631,0.09036,-0.02429,-0.098,-0.00934,-0.22476,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203398,Brittney Griner,76,66.82,0.0786,-0.23106,0.01627,0.066,0.22343,-0.10358,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203399,Elena Delle Donne,37,40.5,0.15417,-0.11912,0.02106,0.082,0.19333,0.22195,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203400,Skylar Diggins-Smith,86,72.28,0.85074,0.03795,0.1873,0.767,-0.3072,1.8327,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203403,Tianna Hawkins,67,70.41,0.39436,0.02636,0.08506,0.347,0.50685,0.18431,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203406,Layshia Clarendon,52,48.13,0.66443,-0.04944,0.10515,0.415,0.14752,1.09151,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203416,Emma Meesseman,31,32.94,-0.03687,-0.14554,-0.0042,-0.016,0.22607,-0.26766,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203822,Rebekah Gardner,30,32.56,-0.13345,-0.04722,-0.01506,-0.058,-1.24488,0.97799,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203823,Chiney Ogwumike,26,28.39,-0.22938,-0.07294,-0.0229,-0.087,0.11489,-0.8326,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203824,Odyssey Sims,62,70.89,-0.17128,0.00996,-0.03714,-0.152,-0.83239,0.59677,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203825,Kayla McBride,120,127.6,0.23635,0.05411,0.07862,0.348,0.11221,0.38078,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203826,Alyssa Thomas,100,104.06,0.09718,-0.08952,0.02809,0.12,0.10379,0.08631,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203827,Natasha Howard,94,99.19,-0.08406,-0.00263,-0.02347,-0.1,-0.14959,0.01142,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203828,Stefanie Dolson,98,85.0,-0.82966,-0.05818,-0.20681,-0.863,0.17247,-1.97359,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203831,Natalie Achonwa,27,25.9,0.11422,-0.1117,0.01049,0.04,0.08387,0.13575,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203833,Chelsea Gray,114,120.0,-0.0514,-0.07508,-0.01641,-0.072,0.56757,-0.68422,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,203849,Theresa Plaisance,39,28.18,-1.45954,0.0381,-0.14471,-0.551,-2.47229,-0.45901,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203855,Stephanie Talbot,77,67.03,-0.42111,-0.04106,-0.08738,-0.355,-0.09411,-0.74925,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,203866,Kayla Thornton,125,81.51,-0.72412,-0.00738,-0.17488,-0.726,-1.2515,-0.07802,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204296,Rebecca Allen,82,74.79,1.36352,0.01837,0.30827,1.267,3.06471,-0.1533,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,204319,Jewell Loyd,122,103.58,0.20868,0.09553,0.06011,0.258,0.33245,0.0311,++,False,True,False,256.0
