catalog_number,channel,alpha,inner_mae
1,fg3,0.05,3.2672731067738456
1,fg3,0.1,3.267466444498338
1,fg3,0.15,3.2676883612425756
1,fg3,0.2,3.2679102062799017
1,fg3,0.25,3.268163042236541
1,fg3,0.3,3.2683748326968156
1,fg3,0.35,3.2685255623508334
1,fg3,0.4,3.268606167599119
1,fg3,0.45,3.268624082312746
1,fg3,0.5,3.268606143413358
1,paint,0.05,3.5857621077893413
1,paint,0.1,3.585698823240996
1,paint,0.15,3.585593928864517
1,paint,0.2,3.5855035507205186
1,paint,0.25,3.58541149904039
1,paint,0.3,3.5853845994176936
1,paint,0.35,3.585434463001969
1,paint,0.4,3.585524210919431
1,paint,0.45,3.585663895732855
1,paint,0.5,3.585821586443268
1,ft,0.05,2.078987975779551
1,ft,0.1,2.0787584580356864
1,ft,0.15,2.078573310083437
1,ft,0.2,2.07843622759836
1,ft,0.25,2.078361884014656
1,ft,0.3,2.0783261752786157
1,ft,0.35,2.0783374640328796
1,ft,0.4,2.0784035462877495
1,ft,0.45,2.0785017308229476
1,ft,0.5,2.0786269945983817
1,np2,0.05,1.7665625228700843
1,np2,0.1,1.7666852278517136
1,np2,0.15,1.7668324095019015
1,np2,0.2,1.7669960870621608
1,np2,0.25,1.767167910053202
1,np2,0.3,1.767341915128214
1,np2,0.35,1.7675095997717698
1,np2,0.4,1.7676668192877039
1,np2,0.45,1.7678099929364757
1,np2,0.5,1.7679392531840286
4,fg3,0.05,3.268541863937591
4,fg3,0.1,3.2686661321817
4,fg3,0.15,3.268710710347136
4,fg3,0.2,3.268688667178671
4,fg3,0.25,3.268633507359045
4,fg3,0.3,3.2686012632063366
4,fg3,0.35,3.268580015641655
4,fg3,0.4,3.2685551077831208
4,fg3,0.45,3.2685253928702203
4,fg3,0.5,3.2684804404833847
4,paint,0.05,3.586370433405714
4,paint,0.1,3.586389846257551
4,paint,0.15,3.586410189379101
4,paint,0.2,3.5864185228942884
4,paint,0.25,3.586426327998898
4,paint,0.3,3.5864356565617688
4,paint,0.35,3.5864517885744145
4,paint,0.4,3.5864918058380795
4,paint,0.45,3.58660248776777
4,paint,0.5,3.5867321431506696
4,ft,0.05,2.0802163436388326
4,ft,0.1,2.0798236193478616
4,ft,0.15,2.079578492630759
4,ft,0.2,2.0793572687062643
4,ft,0.25,2.0791433421643712
4,ft,0.3,2.0789839036455184
4,ft,0.35,2.0788829827852666
4,ft,0.4,2.0788682916015606
4,ft,0.45,2.078931552546947
4,ft,0.5,2.0790269632624025
4,np2,0.05,1.7669509661053733
4,np2,0.1,1.7669854874855737
4,np2,0.15,1.7670178044945974
4,np2,0.2,1.7670445736720406
4,np2,0.25,1.7670645363111002
4,np2,0.3,1.7670769160381095
4,np2,0.35,1.7670796419495307
4,np2,0.4,1.7670711223412283
4,np2,0.45,1.7670510634190115
4,np2,0.5,1.7670202453920645
5,fg3,0.05,3.2666321867885606
5,fg3,0.1,3.2665894946698018
5,fg3,0.15,3.2665117981910043
5,fg3,0.2,3.26641376521731
5,fg3,0.25,3.266305514273553
