catalog_number,channel,alpha,inner_mae
92,fg3,0.1,3.3184799122988813
92,fg3,0.2,3.316924202169858
92,fg3,0.3,3.314799172359585
92,fg3,0.4,3.312192910005701
92,fg3,0.5,3.309353304160885
92,fg3,0.6,3.3065341222710742
92,fg3,0.7,3.3037535491598216
92,fg3,0.8,3.3012019625361226
92,fg3,0.9,3.2989858215879786
92,paint,0.1,3.60485635236342
92,paint,0.2,3.604397816280629
92,paint,0.3,3.602654958879636
92,paint,0.4,3.600021536922849
92,paint,0.5,3.596685944753462
92,paint,0.6,3.593260976163196
92,paint,0.7,3.5897380461614845
92,paint,0.8,3.5863145989380207
92,paint,0.9,3.58316645960343
92,ft,0.1,2.085207457198719
92,ft,0.2,2.082552312401589
92,ft,0.3,2.0798235998272716
92,ft,0.4,2.0775186244515993
92,ft,0.5,2.0758982787403215
92,ft,0.6,2.074957825644766
92,ft,0.7,2.0744127500328733
92,ft,0.8,2.0741703815101546
92,ft,0.9,2.0741018689222277
92,np2,0.1,1.73456895987707
92,np2,0.2,1.7316881405075657
92,np2,0.3,1.72852271843679
92,np2,0.4,1.7254903862220896
92,np2,0.5,1.7229474534418718
92,np2,0.6,1.7209678116357534
92,np2,0.7,1.7194971910628987
92,np2,0.8,1.718487670704565
92,np2,0.9,1.717808726796
