catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,null_improvement_q05,null_improvement_q50,null_improvement_q95,null_improvement_max,observed_improvement
87,prev_season_anchor,I,fg3,,6170,3261,0.2457,3.38832,3.35611,-0.03222,0.03222,0.95132,-0.02471;-0.01763;-0.01185,---,-,True,0.00498,False,,0.00747,True,True,-0.003364861417893361,-0.0002519482747536106,0.0014555785772613942,0.006568042385386441,0.03221628056763448
92,two_season_blend,I,fg3,0.9,6170,3261,0.2457,3.38832,3.3594,-0.02893,0.02893,0.97591,-0.02240;-0.01610;-0.01023,---,-,True,0.00498,False,,0.00747,True,True,-0.003176229563874489,-0.00010626511522149329,0.0019393984411433915,0.004804004816488572,0.028926032580026906
87,prev_season_anchor,I,np2,,6170,3261,0.2457,1.62461,1.60493,-0.01968,0.01968,0.46784,-0.00740;-0.01986;-0.04270,---,-,True,0.00498,False,,0.00747,True,True,-0.003998489509370561,-3.796274732303928e-05,0.003384037849575471,0.006224110023975715,0.019680450002767413
92,two_season_blend,I,np2,0.9,6170,3261,0.2457,1.62461,1.60495,-0.01966,0.01966,0.49137,-0.00681;-0.01932;-0.04249,---,-,True,0.00498,False,,0.00747,True,True,-0.004000299658032047,9.384016789792948e-05,0.00434887959700697,0.00796477699459519,0.019655297579129982
87,prev_season_anchor,I,paint,,6170,3261,0.2457,3.48248,3.46812,-0.01436,0.01436,1.17186,-0.00987;-0.04046;-0.01100,---,-,True,0.00498,False,,0.00747,True,True,-0.0029385402786617164,-0.00024591670436646673,0.001469306933878633,0.004133642291026973,0.01435808887121981
92,two_season_blend,I,paint,0.9,6170,3261,0.2457,3.48248,3.46907,-0.01341,0.01341,1.17918,-0.00831;-0.03634;-0.00840,---,-,True,0.00498,False,,0.00747,True,True,-0.0037955070134330303,-0.00040488821538642306,0.0012767442540713987,0.003071381387556915,0.013407905201252568
87,prev_season_anchor,I,ft,,6170,3261,0.2457,2.00365,1.99065,-0.013,0.013,0.59386,-0.02226;-0.02465;+0.00796,--+,-,False,0.00498,False,,0.00747,True,False,-0.00174822822413776,-0.0001829099422723246,0.0016181417165857634,0.003919488053462761,0.012997690007205964
92,two_season_blend,I,ft,0.9,6170,3261,0.2457,2.00365,1.99187,-0.01177,0.01177,0.63607,-0.02190;-0.02510;+0.00781,--+,-,False,0.00498,False,,0.00747,True,False,-0.0018196794581406771,-0.00014547987480062474,0.0016325477758673199,0.0042604147576927875,0.011774804849133513
88,career_trajectory_slope,I,paint,,6170,3261,0.5875,3.48248,3.48076,-0.00173,0.00173,0.05069,+0.00000;+0.04617;+0.02483,+++,-,False,0.12438,False,"inner fold(s) 1 degenerate: no FIT row carries a usable prior season, so the fold delta is exactly 0.00000 and the sign-consistency gate cannot be answered there",0.16584000000000002,False,False,-0.009941429568668303,-0.003378216259591893,0.0032531916842555267,0.004883045645589945,0.0017260384001973605
88,career_trajectory_slope,I,np2,,6170,3261,0.5875,1.62461,1.63095,0.00634,-0.00634,0.01225,+0.00000;-0.00857;+0.00106,+-+,+,False,1.0,False,"inner fold(s) 1 degenerate: no FIT row carries a usable prior season, so the fold delta is exactly 0.00000 and the sign-consistency gate cannot be answered there",1.0,False,False,-0.0034079986115371995,0.005799951069937803,0.015131551564823034,0.022636763814001037,-0.006338199844642123
88,career_trajectory_slope,I,ft,,6170,3261,0.5875,2.00365,2.01041,0.00676,-0.00676,0.00724,+0.00000;-0.01197;+0.01210,+-+,+,False,0.99005,False,"inner fold(s) 1 degenerate: no FIT row carries a usable prior season, so the fold delta is exactly 0.00000 and the sign-consistency gate cannot be answered there",1.0,False,False,-0.005420457306592441,0.0009261709674304175,0.0070492361248284344,0.010007697205548283,-0.006764945993192217
88,career_trajectory_slope,I,fg3,,6170,3261,0.5875,3.38832,3.3974,0.00908,-0.00908,0.04838,+0.00000;+0.12068;+0.01763,+++,+,False,0.9204,False,"inner fold(s) 1 degenerate: no FIT row carries a usable prior season, so the fold delta is exactly 0.00000 and the sign-consistency gate cannot be answered there",1.0,False,False,-0.010643706351034376,0.0027585094020796674,0.015331308832150477,0.02069543916075034,-0.009075707698161128
