catalog_number,name,channel,observed_improvement,null_q05,null_q50,null_q95,null_q99,null_max,null_sd
1,home_lift_shrunk,fg3,0.001562,-0.001511,-1.5e-05,0.001156,0.002142,0.004721,0.000819
1,home_lift_shrunk,paint,-0.000198,-0.001862,-4.8e-05,0.001024,0.00185,0.005304,0.000892
1,home_lift_shrunk,ft,-0.001185,-0.00106,-2.2e-05,0.00062,0.001137,0.002485,0.000545
1,home_lift_shrunk,np2,-1.6e-05,-0.000731,-7e-06,0.000554,0.001174,0.002158,0.000406
2,home_3ppct_diff,fg3,-0.000433,-0.001927,-3.5e-05,0.00123,0.002141,0.004066,0.000992
3,home_ftpct_diff,ft,3.5e-05,-0.001531,-4.6e-05,0.000893,0.001631,0.00418,0.000766
4,home_usage_shift,fg3,0.002913,-0.00149,-2.6e-05,0.001123,0.002195,0.005576,0.000831
4,home_usage_shift,paint,-0.0,-0.001659,-3e-05,0.00105,0.001944,0.003908,0.000854
4,home_usage_shift,ft,-9.6e-05,-0.000948,-2.7e-05,0.000558,0.001078,0.002942,0.000479
4,home_usage_shift,np2,-0.000244,-0.000708,-8e-06,0.000564,0.001061,0.002609,0.000402
5,home_minutes_shift,fg3,-7e-06,-0.00222,-4.7e-05,0.001275,0.002241,0.005725,0.00109
5,home_minutes_shift,paint,0.000202,-0.002212,-7.3e-05,0.001109,0.002413,0.004821,0.001062
5,home_minutes_shift,ft,-0.00037,-0.001236,-4e-05,0.000725,0.001313,0.002696,0.000613
5,home_minutes_shift,np2,0.000773,-0.000994,-1.5e-05,0.000755,0.001349,0.002541,0.000532
6,rest_bucket_profile,fg3,-0.00271,-0.002532,-4.4e-05,0.001789,0.003094,0.006159,0.001327
6,rest_bucket_profile,paint,0.000417,-0.002806,-6e-05,0.001562,0.00294,0.006053,0.001386
6,rest_bucket_profile,ft,-6.1e-05,-0.000891,-1.9e-05,0.000579,0.001048,0.001892,0.000482
6,rest_bucket_profile,np2,-0.000395,-0.00139,-1.5e-05,0.00103,0.00182,0.00303,0.000763
8,timezone_shift,fg3,-0.000241,-0.001778,-3.4e-05,0.001205,0.002299,0.004799,0.00093
8,timezone_shift,paint,4e-05,-0.002324,-5.7e-05,0.001176,0.002398,0.00399,0.00108
8,timezone_shift,ft,0.002868,-0.001176,-3e-05,0.000644,0.001327,0.002336,0.000568
8,timezone_shift,np2,6e-05,-0.000826,-8e-06,0.00068,0.001205,0.002672,0.000485
10,tip_time_split,fg3,0.002742,-0.003108,-7.1e-05,0.001906,0.004283,0.009138,0.001616
10,tip_time_split,paint,-0.000896,-0.003091,-8.9e-05,0.001692,0.003072,0.006506,0.001497
10,tip_time_split,ft,-0.000138,-0.000712,-1.7e-05,0.000494,0.000872,0.001582,0.000379
10,tip_time_split,np2,-0.000699,-0.00118,-1.8e-05,0.000774,0.001453,0.002967,0.000636
11,trip_position,fg3,-4.2e-05,-0.002058,-3.5e-05,0.001265,0.002354,0.004617,0.001042
11,trip_position,paint,-0.000623,-0.002237,-9.6e-05,0.001118,0.002474,0.006301,0.001146
11,trip_position,ft,0.001196,-0.001335,-3.5e-05,0.00075,0.001438,0.002913,0.000659
11,trip_position,np2,-6.6e-05,-0.000986,-1e-05,0.000778,0.001368,0.002662,0.000547
12,opp_def_tercile_profile,fg3,-0.005522,-0.002399,-3.6e-05,0.001712,0.003461,0.005341,0.001375
