catalog_number,name,channel,season,n_universe_rows,n_defined,defined_share
7,b2b_x_age_pooled,fg3,2021,2517,2517,1.0
7,b2b_x_age_pooled,fg3,2022,2915,2915,1.0
7,b2b_x_age_pooled,fg3,2023,3255,3255,1.0
7,b2b_x_age_pooled,fg3,2024,3261,3261,1.0
7,b2b_x_age_pooled,paint,2021,2517,2517,1.0
7,b2b_x_age_pooled,paint,2022,2915,2915,1.0
7,b2b_x_age_pooled,paint,2023,3255,3255,1.0
7,b2b_x_age_pooled,paint,2024,3261,3261,1.0
7,b2b_x_age_pooled,ft,2021,2517,2517,1.0
7,b2b_x_age_pooled,ft,2022,2915,2915,1.0
7,b2b_x_age_pooled,ft,2023,3255,3255,1.0
7,b2b_x_age_pooled,ft,2024,3261,3261,1.0
7,b2b_x_age_pooled,np2,2021,2517,2517,1.0
7,b2b_x_age_pooled,np2,2022,2915,2915,1.0
7,b2b_x_age_pooled,np2,2023,3255,3255,1.0
7,b2b_x_age_pooled,np2,2024,3261,3261,1.0
9,travel_km_since_last,fg3,2021,2517,2517,1.0
9,travel_km_since_last,fg3,2022,2915,2915,1.0
9,travel_km_since_last,fg3,2023,3255,3255,1.0
9,travel_km_since_last,fg3,2024,3261,3261,1.0
9,travel_km_since_last,paint,2021,2517,2517,1.0
9,travel_km_since_last,paint,2022,2915,2915,1.0
9,travel_km_since_last,paint,2023,3255,3255,1.0
9,travel_km_since_last,paint,2024,3261,3261,1.0
9,travel_km_since_last,ft,2021,2517,2517,1.0
9,travel_km_since_last,ft,2022,2915,2915,1.0
9,travel_km_since_last,ft,2023,3255,3255,1.0
9,travel_km_since_last,ft,2024,3261,3261,1.0
9,travel_km_since_last,np2,2021,2517,2517,1.0
9,travel_km_since_last,np2,2022,2915,2915,1.0
9,travel_km_since_last,np2,2023,3255,3255,1.0
9,travel_km_since_last,np2,2024,3261,3261,1.0
10,tip_split_local,fg3,2021,2517,0,0.0
10,tip_split_local,fg3,2022,2915,2814,0.9654
10,tip_split_local,fg3,2023,3255,3242,0.996
10,tip_split_local,fg3,2024,3261,3246,0.9954
10,tip_split_local,paint,2021,2517,0,0.0
10,tip_split_local,paint,2022,2915,2814,0.9654
10,tip_split_local,paint,2023,3255,3242,0.996
10,tip_split_local,paint,2024,3261,3246,0.9954
10,tip_split_local,ft,2021,2517,0,0.0
10,tip_split_local,ft,2022,2915,2814,0.9654
10,tip_split_local,ft,2023,3255,3242,0.996
10,tip_split_local,ft,2024,3261,3246,0.9954
10,tip_split_local,np2,2021,2517,0,0.0
10,tip_split_local,np2,2022,2915,2814,0.9654
10,tip_split_local,np2,2023,3255,3242,0.996
10,tip_split_local,np2,2024,3261,3246,0.9954
27,age_curve_peak,fg3,2021,2517,2517,1.0
27,age_curve_peak,fg3,2022,2915,2915,1.0
27,age_curve_peak,fg3,2023,3255,3255,1.0
27,age_curve_peak,fg3,2024,3261,3261,1.0
27,age_curve_peak,paint,2021,2517,2517,1.0
27,age_curve_peak,paint,2022,2915,2915,1.0
27,age_curve_peak,paint,2023,3255,3255,1.0
27,age_curve_peak,paint,2024,3261,3261,1.0
27,age_curve_peak,ft,2021,2517,2517,1.0
27,age_curve_peak,ft,2022,2915,2915,1.0
27,age_curve_peak,ft,2023,3255,3255,1.0
27,age_curve_peak,ft,2024,3261,3261,1.0
27,age_curve_peak,np2,2021,2517,2517,1.0
27,age_curve_peak,np2,2022,2915,2915,1.0
27,age_curve_peak,np2,2023,3255,3255,1.0
27,age_curve_peak,np2,2024,3261,3261,1.0
28,height_x_paint_vol,paint,2021,2517,2517,1.0
28,height_x_paint_vol,paint,2022,2915,2915,1.0
28,height_x_paint_vol,paint,2023,3255,3255,1.0
28,height_x_paint_vol,paint,2024,3261,3261,1.0
29,experience_x_minutes_vol,fg3,2021,2517,2396,0.9519
29,experience_x_minutes_vol,fg3,2022,2915,2701,0.9266
29,experience_x_minutes_vol,fg3,2023,3255,2918,0.8965
29,experience_x_minutes_vol,fg3,2024,3261,3019,0.9258
29,experience_x_minutes_vol,paint,2021,2517,2396,0.9519
29,experience_x_minutes_vol,paint,2022,2915,2701,0.9266
29,experience_x_minutes_vol,paint,2023,3255,2918,0.8965
29,experience_x_minutes_vol,paint,2024,3261,3019,0.9258
29,experience_x_minutes_vol,ft,2021,2517,2396,0.9519
29,experience_x_minutes_vol,ft,2022,2915,2701,0.9266
29,experience_x_minutes_vol,ft,2023,3255,2918,0.8965
29,experience_x_minutes_vol,ft,2024,3261,3019,0.9258
29,experience_x_minutes_vol,np2,2021,2517,2396,0.9519
29,experience_x_minutes_vol,np2,2022,2915,2701,0.9266
29,experience_x_minutes_vol,np2,2023,3255,2918,0.8965
29,experience_x_minutes_vol,np2,2024,3261,3019,0.9258
30,draft_pedigree_lowexp,fg3,2021,2517,2396,0.9519
30,draft_pedigree_lowexp,fg3,2022,2915,2701,0.9266
30,draft_pedigree_lowexp,fg3,2023,3255,2918,0.8965
30,draft_pedigree_lowexp,fg3,2024,3261,3019,0.9258
30,draft_pedigree_lowexp,paint,2021,2517,2396,0.9519
30,draft_pedigree_lowexp,paint,2022,2915,2701,0.9266
30,draft_pedigree_lowexp,paint,2023,3255,2918,0.8965
30,draft_pedigree_lowexp,paint,2024,3261,3019,0.9258
30,draft_pedigree_lowexp,ft,2021,2517,2396,0.9519
30,draft_pedigree_lowexp,ft,2022,2915,2701,0.9266
30,draft_pedigree_lowexp,ft,2023,3255,2918,0.8965
30,draft_pedigree_lowexp,ft,2024,3261,3019,0.9258
