variant,channel,term,coef_std
full,ft,intercept,1.040983606557377
full,ft,d_own_ft,0.7833986235685022
full,ft,d_allow_ft,0.8890888937479742
full,ft,d_conv_ft,0.09070229350314697
full,ft,d_rest,0.07097157192865404
full,ft,d_rapm,1.5677076401352033
full,3pt,intercept,0.12786885245901672
full,3pt,d_own_3pt,4.282812206703489
full,3pt,d_allow_3pt,1.7020245091680999
full,3pt,d_conv_3pt,0.4553015528338941
full,3pt,d_rest,-0.27502567531323047
full,3pt,d_rapm,1.9837533592424836
full,paint,intercept,0.9606557377049179
full,paint,d_own_paint,2.9231185506423114
full,paint,d_allow_paint,2.3944241523025425
full,paint,d_rest,-0.03519491291125383
full,paint,d_rapm,1.0280088344347926
full,np2,intercept,-0.44918032786885237
full,np2,d_own_np2,0.943763869742085
full,np2,d_allow_np2,0.4237715263825464
full,np2,d_rest,-0.07524896187865306
full,np2,d_rapm,0.0374902072356848
ablation_no_rapm,ft,intercept,1.040983606557377
ablation_no_rapm,ft,d_own_ft,1.1863250815815543
ablation_no_rapm,ft,d_allow_ft,1.5905452097800021
ablation_no_rapm,ft,d_conv_ft,0.46406783462484813
ablation_no_rapm,ft,d_rest,0.04138402428867415
ablation_no_rapm,3pt,intercept,0.1278688524590167
ablation_no_rapm,3pt,d_own_3pt,4.350582916062776
ablation_no_rapm,3pt,d_allow_3pt,1.7453806151576055
ablation_no_rapm,3pt,d_conv_3pt,1.3572826063607868
ablation_no_rapm,3pt,d_rest,-0.2571460326440494
ablation_no_rapm,paint,intercept,0.9606557377049179
ablation_no_rapm,paint,d_own_paint,3.59737128950529
ablation_no_rapm,paint,d_allow_paint,2.7083615396889624
ablation_no_rapm,paint,d_rest,-0.03723684689144872
ablation_no_rapm,np2,intercept,-0.44918032786885237
ablation_no_rapm,np2,d_own_np2,0.9430817198493281
ablation_no_rapm,np2,d_allow_np2,0.42138385578229015
ablation_no_rapm,np2,d_rest,-0.07531449796791875
