split,season,baseline,n,mae,coverage
test,2024,B1 carry-forward (last played game),4356,5.433432812978268,1.0
test,2024,B2 expanding season-to-date mean,4356,5.158279091774282,1.0
test,2024,B3 shifted EWMA (tuned alpha),4356,4.690284977589492,1.0
test,2025,B1 carry-forward (last played game),5225,5.565556618819777,1.0
test,2025,B2 expanding season-to-date mean,5225,5.134745740626699,1.0
test,2025,B3 shifted EWMA (tuned alpha),5225,4.777819835869324,1.0
test,2026,B1 carry-forward (last played game),3920,5.112232142857143,1.0
test,2026,B2 expanding season-to-date mean,3920,4.632890057521248,1.0
test,2026,B3 shifted EWMA (tuned alpha),3920,4.410001093339148,1.0
test,pooled,B1 carry-forward (last played game),13501,5.391305582302545,1.0
test,pooled,B2 expanding season-to-date mean,13501,4.996625379159068,1.0
test,pooled,B3 shifted EWMA (tuned alpha),13501,4.642781593266165,1.0
train(context),2021,B1 carry-forward (last played game),3410,5.869086021505377,1.0
train(context),2021,B2 expanding season-to-date mean,3410,5.338762757300373,1.0
train(context),2021,B3 shifted EWMA (tuned alpha),3410,5.1009609361707415,1.0
train(context),2022,B1 carry-forward (last played game),3930,5.564257845631891,1.0
train(context),2022,B2 expanding season-to-date mean,3930,5.044938901521599,1.0
train(context),2022,B3 shifted EWMA (tuned alpha),3930,4.760583145955619,1.0
train(context),2023,B1 carry-forward (last played game),4387,5.471848643720082,1.0
train(context),2023,B2 expanding season-to-date mean,4387,5.026052682133578,1.0
train(context),2023,B3 shifted EWMA (tuned alpha),4387,4.689893864282422,1.0
train(context),pooled,B1 carry-forward (last played game),11727,5.618326653591428,1.0
train(context),pooled,B2 expanding season-to-date mean,11727,5.123312356262826,1.0
train(context),pooled,B3 shifted EWMA (tuned alpha),11727,4.833114431530212,1.0
