feature,coef_standardized
intercept,2.5748407447493804
min_ewma,1.0319582846439486
returning_flag,-0.6159467078905936
played_last_team_game,0.36994987920735034
player_gp_season,0.32686910083201853
prev_dnp_cd,-0.3134903002489506
miss_inj_l21,-0.2928456937132593
start_share_l5,-0.2610124731384702
p_plays_prior,-0.22539207724622362
team_gp_season,-0.18470388302506993
miss_other_l21,-0.14471232387618363
started_last,-0.12043922907658115
games_missed_streak,-0.1161432208528262
played_share_l10_team_games,0.08885033191131243
waived_since_last_game,0.050938091404867214
roster_move_l14,0.03368397566796012
prev_dnp_nwt,-0.029137522093305328
suspension_l30,-0.026121511085517333
days_since_last_appearance,0.024971969463114942
prev_dnp_inj,-2.878285693443109e-07
