bookmaker_key,month,n_events,n_rows
betmgm,2025-07,59,272
betmgm,2025-08,77,418
betmgm,2025-09,48,248
betmgm,2025-10,4,16
betmgm,2026-05,64,354
betmgm,2026-06,78,520
betmgm,2026-07,65,340
betonlineag,2025-07,64,324
betonlineag,2025-08,87,442
betonlineag,2025-09,49,270
betonlineag,2025-10,4,16
betonlineag,2026-05,67,422
betonlineag,2026-06,82,598
betonlineag,2026-07,72,470
betrivers,2025-07,64,362
betrivers,2025-08,87,468
betrivers,2025-09,50,288
betrivers,2025-10,4,14
betrivers,2026-05,65,396
betrivers,2026-06,82,650
betrivers,2026-07,72,474
betus,2025-07,60,218
betus,2025-08,87,340
betus,2025-09,49,214
betus,2025-10,4,14
betus,2026-05,65,290
betus,2026-06,82,432
betus,2026-07,69,342
bovada,2025-07,64,298
bovada,2025-08,87,484
bovada,2025-09,49,280
bovada,2025-10,4,16
bovada,2026-05,65,338
bovada,2026-06,82,554
bovada,2026-07,69,426
draftkings,2025-07,65,390
draftkings,2025-08,87,572
draftkings,2025-09,49,326
draftkings,2025-10,4,16
draftkings,2026-05,67,428
draftkings,2026-06,82,666
draftkings,2026-07,72,496
fanatics,2025-07,65,402
fanatics,2025-08,87,574
fanatics,2025-09,49,318
fanatics,2025-10,4,16
fanatics,2026-05,67,384
fanatics,2026-06,81,594
fanatics,2026-07,72,496
fanduel,2025-07,65,408
fanduel,2025-08,87,574
fanduel,2025-09,49,326
fanduel,2025-10,4,16
fanduel,2026-05,67,428
fanduel,2026-06,82,680
fanduel,2026-07,72,498
lowvig,2025-07,64,324
lowvig,2025-08,87,442
lowvig,2025-09,49,270
lowvig,2025-10,4,16
lowvig,2026-05,67,422
lowvig,2026-06,82,598
lowvig,2026-07,72,470
mybookieag,2025-07,62,348
mybookieag,2025-08,87,556
mybookieag,2025-09,49,312
mybookieag,2025-10,4,16
mybookieag,2026-05,65,304
mybookieag,2026-06,81,406
mybookieag,2026-07,69,300
williamhill_us,2025-07,65,364
williamhill_us,2025-08,87,544
williamhill_us,2025-09,49,308
williamhill_us,2025-10,4,16
williamhill_us,2026-05,67,406
williamhill_us,2026-06,82,620
williamhill_us,2026-07,72,476
