game_id,et_date,home,away,n_snapshots_last24h,largest_gap_min,last_snapshot_to_tip_min
1042500131,2025-09-14,Phoenix Mercury,New York Liberty,2,776,244
1042500121,2025-09-14,Atlanta Dream,Indiana Fever,1,1196,244
1042500111,2025-09-14,Las Vegas Aces,Seattle Storm,2,776,244
1042500101,2025-09-14,Minnesota Lynx,Golden State Valkyries,1,1316,124
1042500112,2025-09-16,Seattle Storm,Las Vegas Aces,2,806,214
1042500122,2025-09-16,Indiana Fever,Atlanta Dream,2,926,94
1042500132,2025-09-17,New York Liberty,Phoenix Mercury,2,896,124
1042500102,2025-09-17,Golden State Valkyries,Minnesota Lynx,2,776,244
1042500123,2025-09-18,Atlanta Dream,Indiana Fever,2,926,94
1042500113,2025-09-18,Las Vegas Aces,Seattle Storm,2,806,214
1042500133,2025-09-19,Phoenix Mercury,New York Liberty,2,836,184
1042500201,2025-09-21,Minnesota Lynx,Phoenix Mercury,1,1073,367
1042500211,2025-09-21,Las Vegas Aces,Indiana Fever,1,1195,245
1042500202,2025-09-23,Minnesota Lynx,Phoenix Mercury,2,926,94
1042500212,2025-09-23,Las Vegas Aces,Indiana Fever,2,806,214
1042500213,2025-09-26,Indiana Fever,Las Vegas Aces,2,926,94
1042500203,2025-09-26,Phoenix Mercury,Minnesota Lynx,2,806,214
1042500214,2025-09-28,Indiana Fever,Las Vegas Aces,1,1196,244
1042500204,2025-09-28,Phoenix Mercury,Minnesota Lynx,2,896,124
1042500215,2025-09-30,Las Vegas Aces,Indiana Fever,2,806,214
1042500301,2025-10-03,Las Vegas Aces,Phoenix Mercury,2,896,124
1042500302,2025-10-05,Las Vegas Aces,Phoenix Mercury,1,1196,244
1042500303,2025-10-08,Phoenix Mercury,Las Vegas Aces,2,896,124
1042500304,2025-10-10,Phoenix Mercury,Las Vegas Aces,2,896,124
1022500114,2025-07-05,Indiana Fever,Los Angeles Sparks,2,956,64
1022500115,2025-07-05,Minnesota Lynx,Golden State Valkyries,2,896,124
1022500116,2025-07-06,Connecticut Sun,Las Vegas Aces,2,1020,306
1022500117,2025-07-06,New York Liberty,Seattle Storm,2,1020,124
1022500118,2025-07-06,Minnesota Lynx,Chicago Sky,2,956,64
1022500120,2025-07-07,Phoenix Mercury,Dallas Wings,2,776,244
1022500119,2025-07-07,Atlanta Dream,Golden State Valkyries,2,926,94
1022500122,2025-07-08,New York Liberty,Las Vegas Aces,2,896,124
1022500121,2025-07-08,Washington Mystics,Chicago Sky,2,1020,34
1022500126,2025-07-09,Chicago Sky,Dallas Wings,2,896,124
1022500125,2025-07-09,Phoenix Mercury,Minnesota Lynx,2,1020,274
1022500123,2025-07-09,Connecticut Sun,Seattle Storm,2,1020,4
1022500124,2025-07-09,Indiana Fever,Golden State Valkyries,2,1020,64
1022500128,2025-07-10,Washington Mystics,Las Vegas Aces,2,926,94
1022500127,2025-07-10,Los Angeles Sparks,Minnesota Lynx,2,1020,244
1022500130,2025-07-11,Seattle Storm,Connecticut Sun,2,776,244
1022500129,2025-07-11,Indiana Fever,Atlanta Dream,2,926,94
1022500131,2025-07-12,Chicago Sky,Minnesota Lynx,2,1020,124
1022500132,2025-07-12,Las Vegas Aces,Golden State Valkyries,2,1020,309
1022500133,2025-07-13,Indiana Fever,Dallas Wings,2,1020,124
1022500136,2025-07-13,Seattle Storm,Washington Mystics,2,1016,4
1022500135,2025-07-13,Los Angeles Sparks,Connecticut Sun,2,1016,4
1022500134,2025-07-13,New York Liberty,Atlanta Dream,2,1020,244
1022500138,2025-07-14,Golden State Valkyries,Phoenix Mercury,2,776,244
1022500137,2025-07-14,Chicago Sky,Minnesota Lynx,2,896,124
1022500140,2025-07-15,Los Angeles Sparks,Washington Mystics,2,776,244
1022500139,2025-07-15,Connecticut Sun,Indiana Fever,2,896,124
1022500142,2025-07-16,Minnesota Lynx,Phoenix Mercury,2,1020,124
1022500145,2025-07-16,Dallas Wings,Las Vegas Aces,2,896,124
1022500144,2025-07-16,New York Liberty,Indiana Fever,2,926,94
1022500141,2025-07-16,Chicago Sky,Atlanta Dream,2,1020,64
1022500143,2025-07-16,Seattle Storm,Golden State Valkyries,2,1020,244
1022500146,2025-07-22,Washington Mystics,Los Angeles Sparks,2,926,94
