era,book,sightings,median_lag,p90_lag,max_lag,n_stale,stale_share
hist,betmgm,1130,0.6,1.1,5.5,0,0.0
hist,betonlineag,1259,0.5,1.1,2.5,0,0.0
hist,betrivers,1301,0.5,1.1,2.6,0,0.0
hist,betus,919,0.6,1.1,12.3,0,0.0
hist,bovada,1180,1.1,3.8,11.7,0,0.0
hist,draftkings,1420,0.6,1.2,4.5,0,0.0
hist,fanatics,1366,0.6,1.2,2.7,0,0.0
hist,fanduel,1438,0.4,1.1,5.0,0,0.0
hist,lowvig,1259,0.7,1.1,2.0,0,0.0
hist,mybookieag,1117,1.2,2.2,10.3,0,0.0
hist,williamhill_us,1340,2.3,6.3,13.5,0,0.0
live,betmgm,27,0.7,1.4,2.0,0,0.0
live,betonlineag,42,0.3,0.8,0.8,0,0.0
live,betrivers,42,0.4,1.1,1.1,0,0.0
live,betus,33,0.7,0.8,1.0,0,0.0
live,bovada,36,2.7,4.6,4.6,0,0.0
live,draftkings,42,0.8,1.0,1.0,0,0.0
live,fanatics,42,0.7,1.4,1.4,0,0.0
live,fanduel,42,0.2,0.4,0.4,0,0.0
live,lowvig,42,0.4,0.8,0.8,0,0.0
live,mybookieag,21,1.1,2.0,2.0,0,0.0
live,williamhill_us,42,1.4,4.3,4.3,0,0.0
