api_event_id,away,home,commence_before,commence_after,first_seen_snapshot,kind
0864aaee6b2cadcd84fca3e52c24433c,Connecticut Sun,Chicago Sky,2025-08-23T20:00:00Z,2025-08-23T20:05:29Z,2025-08-23T21:55:39Z,post-tip refinement
089163a3a05d1b2e8028fab27ad5605f,Phoenix Mercury,Minnesota Lynx,2026-07-14T01:10:00Z,2026-07-14T01:00:00Z,2026-07-12T21:55:37Z,pregame reschedule
0a89169769259ffdecf38de610ab1c48,New York Liberty,Washington Mystics,2026-05-10T19:00:00Z,2026-05-10T19:03:00Z,2026-05-10T21:55:37Z,post-tip refinement
0f8c28106a569b3b61d33ef0c0e272ec,Phoenix Mercury,Las Vegas Aces,2026-05-09T19:30:00Z,2026-05-09T19:53:01Z,2026-05-09T21:55:37Z,post-tip refinement
1fa2ca18d3a3630657a1a28eac171cf8,Golden State Valkyries,Las Vegas Aces,2025-07-12T20:00:00Z,2025-07-12T20:05:00Z,2025-07-12T21:55:37Z,post-tip refinement
236dcbf639c76773b50acf13ae3a83fe,Las Vegas Aces,Dallas Wings,2025-07-27T20:00:00Z,2025-07-27T20:02:35Z,2025-07-27T21:55:38Z,post-tip refinement
26cf72930f5dbf4f79f3257f6e45e55c,Indiana Fever,Las Vegas Aces,2025-10-01T00:00:00Z,2025-10-01T01:30:00Z,2025-09-30T14:55:39Z,pregame reschedule
2aa029b6f16580a4239f7e91f62f69fa,Atlanta Dream,Golden State Valkyries,2026-06-27T02:00:00Z,2026-06-27T02:10:00Z,2026-06-26T14:55:37Z,pregame reschedule
38cdaa8a49612ee47fe1873c80e3749e,Atlanta Dream,Chicago Sky,2026-06-09T23:00:00Z,2026-06-09T23:10:00Z,2026-06-08T21:55:37Z,pregame reschedule
3e72100a42c4db86dfda38bc86c126ee,Dallas Wings,Minnesota Lynx,2026-06-10T00:00:00Z,2026-06-10T00:10:00Z,2026-06-08T21:55:37Z,pregame reschedule
4e579263da74c5f5a1259af310383b51,Washington Mystics,Connecticut Sun,2026-06-17T23:10:00Z,2026-06-17T23:00:00Z,2026-06-16T14:55:38Z,pregame reschedule
51a34169db1f1e1c9133c878d53b1747,New York Liberty,Chicago Sky,2026-06-18T00:10:00Z,2026-06-18T00:00:00Z,2026-06-16T14:55:38Z,pregame reschedule
59e806dd41a1cdd33be91c732ab446be,Los Angeles Sparks,Atlanta Dream,2026-07-13T23:10:00Z,2026-07-13T23:00:00Z,2026-07-12T21:55:37Z,pregame reschedule
5f9b7e8e27d590f2a4c9c6b430128477,Golden State Valkyries,Las Vegas Aces,2026-06-21T20:00:00Z,2026-06-21T20:03:42Z,2026-06-21T21:55:36Z,post-tip refinement
6f8192d89fec2aeb42878b8706254d5d,Portland Fire,Golden State Valkyries,2026-06-03T02:10:00Z,2026-06-03T02:00:00Z,2026-06-02T14:55:36Z,pregame reschedule
75a6b68701084a0dcfc9c2a18a6b3f3a,Las Vegas Aces,Chicago Sky,2026-06-28T20:00:00Z,2026-06-28T20:15:00Z,2026-06-28T21:55:36Z,post-tip refinement
7c40188ff9efb48f30c039d1e02dc9ec,New York Liberty,Phoenix Mercury,2025-09-15T02:00:00Z,2025-09-14T21:00:00Z,2025-09-14T14:55:38Z,pregame reschedule
7c40188ff9efb48f30c039d1e02dc9ec,New York Liberty,Phoenix Mercury,2025-09-14T21:00:00Z,2025-09-14T21:03:05Z,2025-09-14T21:55:38Z,post-tip refinement
816ff571af3364f94a70ee7d377cff0d,Chicago Sky,Atlanta Dream,2026-07-19T20:00:00Z,2026-07-19T20:15:00Z,2026-07-19T21:55:37Z,post-tip refinement
87e8b46b5049f0f26e4f50e3234f28ac,Las Vegas Aces,Golden State Valkyries,2026-05-31T19:30:00Z,2026-05-31T19:43:30Z,2026-05-31T21:55:36Z,post-tip refinement
9780eccfd20a25f065ad97860c066c0c,Toronto Tempo,Indiana Fever,2026-06-16T23:10:00Z,2026-06-16T23:00:00Z,2026-06-16T14:55:38Z,pregame reschedule
