game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022100001,v2,2021,2021-05-14,ok,411,0,0,0,0,90,87,90,87,90,87,93,0,,True,True
1022100002,v2,2021,2021-05-14,ok,385,0,0,0,0,67,78,67,78,67,78,82,0,,True,True
1022100003,v2,2021,2021-05-14,ok,394,0,0,0,0,75,77,75,77,75,77,83,0,,True,True
1022100004,v2,2021,2021-05-14,ok,420,0,0,0,0,71,94,71,94,71,94,88,0,,True,True
1022100005,v2,2021,2021-05-15,ok,404,0,0,0,0,56,70,56,70,56,70,74,0,,True,True
1022100006,v2,2021,2021-05-15,ok,369,0,0,0,0,97,83,97,83,97,83,93,0,,True,True
1022100007,v2,2021,2021-05-16,ok,431,0,0,0,0,65,73,65,73,65,73,75,0,,True,True
1022100008,v2,2021,2021-05-16,ok,380,0,0,0,0,86,78,86,78,86,78,95,0,,True,True
1022100009,v2,2021,2021-05-18,ok,391,0,0,0,0,86,75,86,75,86,75,88,0,,True,True
1022100010,v2,2021,2021-05-18,ok,422,0,0,0,0,70,91,70,91,70,91,92,0,,True,True
1022100011,v2,2021,2021-05-18,ok,370,0,0,0,0,80,96,80,96,80,96,94,0,,True,True
1022100012,v2,2021,2021-05-19,ok,472,0,0,0,0,77,85,77,85,77,85,98,0,,True,True
1022100013,v2,2021,2021-05-19,ok,343,0,0,0,0,88,67,88,67,88,67,80,0,,True,True
1022100014,v2,2021,2021-05-20,ok,382,0,0,0,0,78,90,78,90,78,90,90,0,,True,True
1022100015,v2,2021,2021-05-21,ok,392,0,0,0,0,79,83,79,83,79,83,84,0,,True,True
1022100016,v2,2021,2021-05-21,ok,356,0,0,0,0,101,72,101,72,101,72,83,0,,True,True
1022100017,v2,2021,2021-05-21,ok,359,0,0,0,0,67,84,67,84,67,84,76,0,,True,True
1022100018,v2,2021,2021-05-21,ok,395,0,0,0,0,97,69,97,69,97,69,97,0,,True,True
1022100019,v2,2021,2021-05-22,ok,450,0,0,0,1,97,100,97,100,97,100,108,0,,True,True
1022100020,v2,2021,2021-05-23,ok,391,0,0,0,0,85,93,85,93,85,93,89,0,,True,True
1022100021,v2,2021,2021-05-23,ok,381,0,0,0,0,89,77,89,77,89,77,90,0,,True,True
1022100022,v2,2021,2021-05-23,ok,366,0,0,0,0,65,72,65,72,65,72,76,0,,True,True
1022100023,v2,2021,2021-05-25,ok,331,0,0,0,0,69,85,69,85,69,85,75,0,,True,True
1022100024,v2,2021,2021-05-24,ok,397,0,0,0,0,88,81,88,81,88,81,95,0,,True,True
1022100025,v2,2021,2021-05-25,ok,416,0,0,0,0,83,90,83,90,83,90,103,0,,True,True
1022100026,v2,2021,2021-05-25,ok,408,0,0,0,1,90,87,90,87,90,87,94,0,,True,True
1022100027,v2,2021,2021-05-26,ok,359,0,0,0,0,79,85,79,85,79,85,90,0,,True,True
1022100028,v2,2021,2021-05-27,ok,434,0,0,0,0,101,95,101,95,101,95,114,0,,True,True
1022100029,v2,2021,2021-05-28,ok,391,0,0,0,0,86,81,86,81,86,81,90,0,,True,True
1022100030,v2,2021,2021-05-28,ok,380,0,0,0,0,61,76,61,76,61,76,75,0,,True,True
1022100031,v2,2021,2021-05-28,ok,352,0,0,0,0,82,72,82,72,82,72,84,0,,True,True
1022100032,v2,2021,2021-05-28,ok,411,0,0,0,0,113,77,113,77,113,77,115,0,,True,True
1022100033,v2,2021,2021-05-29,ok,415,0,0,0,1,87,90,87,90,87,90,90,0,,True,True
1022100034,v2,2021,2021-05-29,ok,416,0,0,0,0,85,89,85,89,85,89,97,0,,True,True
1022100035,v2,2021,2021-05-30,ok,428,0,0,0,1,79,82,79,82,79,82,86,0,,True,True
1022100036,v2,2021,2021-05-30,ok,376,0,0,0,0,101,78,101,78,101,78,98,0,,True,True
1022100037,v2,2021,2021-05-30,ok,397,0,0,0,1,79,74,79,74,79,74,81,0,,True,True
1022100038,v2,2021,2021-06-01,ok,340,0,0,0,0,74,67,74,67,74,67,85,0,,True,True
1022100039,v2,2021,2021-06-01,ok,402,0,0,0,0,83,84,83,84,83,84,94,0,,True,True
