team_game_uid,game_id,team_id,game_date,season,season_type,head_coach_named,head_coach_event_present,in_season_change_determinable,prior_head_coach_events,coach_tenure_games,cutoff_valid
1022100005:1611661322,1022100005,1611661322,2021-05-15,2021,Regular Season,False,False,False,0,,False
1022100005:1611661329,1022100005,1611661329,2021-05-15,2021,Regular Season,False,False,False,0,,False
1022100006:1611661319,1022100006,1611661319,2021-05-15,2021,Regular Season,False,False,False,0,,False
1022100006:1611661328,1022100006,1611661328,2021-05-15,2021,Regular Season,False,False,False,0,,False
1022100007:1611661313,1022100007,1611661313,2021-05-16,2021,Regular Season,False,False,False,0,,False
1022100007:1611661325,1022100007,1611661325,2021-05-16,2021,Regular Season,False,False,False,0,,False
1022100008:1611661317,1022100008,1611661317,2021-05-16,2021,Regular Season,False,False,False,0,,False
1022100008:1611661323,1022100008,1611661323,2021-05-16,2021,Regular Season,False,False,False,0,,False
1022100009:1611661313,1022100009,1611661313,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100009:1611661324,1022100009,1611661324,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100010:1611661317,1022100010,1611661317,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100010:1611661322,1022100010,1611661322,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100011:1611661319,1022100011,1611661319,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100011:1611661328,1022100011,1611661328,2021-05-18,2021,Regular Season,False,False,False,0,,False
1022100012:1611661329,1022100012,1611661329,2021-05-19,2021,Regular Season,False,False,False,0,,False
1022100012:1611661330,1022100012,1611661330,2021-05-19,2021,Regular Season,True,True,True,2,0.0,False
1022100013:1611661323,1022100013,1611661323,2021-05-19,2021,Regular Season,False,False,False,0,,False
1022100013:1611661325,1022100013,1611661325,2021-05-19,2021,Regular Season,False,False,False,0,,False
1022100014:1611661324,1022100014,1611661324,2021-05-20,2021,Regular Season,False,False,False,0,,False
1022100014:1611661328,1022100014,1611661328,2021-05-20,2021,Regular Season,False,False,False,0,,False
1022100015:1611661325,1022100015,1611661325,2021-05-21,2021,Regular Season,False,False,False,0,,False
1022100015:1611661330,1022100015,1611661330,2021-05-21,2021,Regular Season,True,True,True,2,1.0,False
1022100016:1611661313,1022100016,1611661313,2021-05-21,2021,Regular Season,False,False,False,0,,False
1022100016:1611661322,1022100016,1611661322,2021-05-21,2021,Regular Season,False,False,False,0,,False
1022100017:1611661317,1022100017,1611661317,2021-05-21,2021,Regular Season,False,False,False,0,,False
