regime,classification,source_family,category,rows
R_REALISED_PARTICIPATION,NOT_A_PREGAME_FEATURE,espn_summary,missed_game_injury,2242
R_REALISED_PARTICIPATION,NOT_A_PREGAME_FEATURE,espn_summary,missed_game_other,3131
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,contract_conversion,6
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,contract_suspension,111
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,draft,260
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,front_office,49
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,retirement,21
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,signing,1455
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,trade,252
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,waiver,795
T_ANNOUNCEMENT_WIRE,CUTOFF_UNPROVEN,bbref_transactions,waiver_claim,18
