game_id,team_id,season,season_type,game_date,team_abbreviation,n_played,team_total_min,ot_game,top5_share,top7_share,starter_min_avg_raw,starter_min_avg_n40,starter_share,bench_share,max_min_n40,n_35plus_n40,n_30plus_n40,dressed_n,n_dnp,n_dnp_cd
1022100001,1611661313,2021,Regular Season,2021-05-14,NYL,10,200.0,0,0.7854166666666668,0.9161666666666668,31.416666666666668,31.416666666666668,0.7854166666666668,0.21458333333333324,38.45,2,2,12,2,0
1022100001,1611661325,2021,Regular Season,2021-05-14,IND,10,200.0,0,0.6991666666666667,0.8876666666666666,27.96666666666667,27.96666666666667,0.6991666666666667,0.3008333333333333,31.416666666666668,0,2,12,2,0
1022100002,1611661323,2021,Regular Season,2021-05-14,CON,10,199.99999999999997,0,0.7330833333333334,0.8710833333333337,29.323333333333334,29.32333333333334,0.7330833333333334,0.2669166666666666,35.60000000000001,1,1,10,0,0
1022100002,1611661330,2021,Regular Season,2021-05-14,ATL,9,200.00000000000003,0,0.7079166666666666,0.8878333333333334,28.316666666666663,28.31666666666666,0.7079166666666664,0.2920833333333336,36.74999999999999,1,2,10,1,1
1022100003,1611661317,2021,Regular Season,2021-05-14,PHO,9,200.0,0,0.865,0.9722500000000001,34.6,34.6,0.865,0.135,37.9,2,5,11,2,1
1022100003,1611661324,2021,Regular Season,2021-05-14,MIN,9,200.0,0,0.8055833333333333,0.9313333333333333,32.22333333333333,32.22333333333333,0.8055833333333332,0.1944166666666668,35.9,1,5,11,2,1
1022100004,1611661320,2021,Regular Season,2021-05-14,LAS,10,200.01666666666665,0,0.6198650112490627,0.8043496375302058,24.743333333333332,24.741271560703275,0.6185317890175819,0.3814682109824181,27.181068244312975,0,0,12,2,0
1022100004,1611661321,2021,Regular Season,2021-05-14,DAL,11,199.99999999999997,0,0.6575000000000001,0.8505833333333335,25.810000000000002,25.81000000000001,0.6452500000000001,0.3547499999999999,36.216666666666676,1,1,13,2,0
1022100005,1611661322,2021,Regular Season,2021-05-15,WAS,11,200.03333333333333,0,0.6433094484252625,0.8179470088318614,24.796666666666663,24.7925345775704,0.61981336443926,0.38018663556073995,31.64472587902016,0,1,11,0,0
1022100005,1611661329,2021,Regular Season,2021-05-15,CHI,10,200.0,0,0.6588333333333333,0.8577499999999999,25.94666666666667,25.94666666666667,0.6486666666666667,0.3513333333333333,28.45,0,0,11,1,0
1022100006,1611661319,2021,Regular Season,2021-05-15,LVA,8,200.01666666666665,0,0.7258561786517791,0.9357553537205234,27.646666666666665,27.64436296975252,0.691109074243813,0.30889092575618704,33.09724189650863,0,3,10,2,2
1022100006,1611661328,2021,Regular Season,2021-05-15,SEA,9,200.0,0,0.7504166666666666,0.9131666666666665,30.016666666666662,30.016666666666662,0.7504166666666666,0.24958333333333338,35.63333333333333,2,3,11,2,2
1022100007,1611661313,2021,Regular Season,2021-05-16,NYL,9,200.0,0,0.70075,0.866,28.03,28.03,0.70075,0.29925,32.916666666666664,0,2,12,3,1
