era,timing,bet_type,threshold,execution,cond_dim,cond_level,n_bets,wins,losses,pushes,hit_rate,roi,n_cons,roi_cons,n_best,roi_best,roi_ci90_low,roi_ci90_high,n_dates,mean_clv_pts,pct_clv_positive,clv_measurable,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,eligible,small_n_flag,q_bh,starred
extension,T-24h,spread,0.5,consensus,none,all,262,146,116,0,0.5572519083969466,0.06384455239417071,262,0.06384455239417071,262,0.0729284122729067,-0.021991657882301625,0.14985719494409325,118,0.01949401319630327,0.5152671755725191,True,25,200,0.01847833,0.08430272,0.125,0.12935323383084577,True,False,0.3850806451612903,False
extension,T-24h,spread,0.5,consensus,line_terc,small,89,55,34,0,0.6179775280898876,0.17977528089887637,89,0.17977528089887637,89,0.19828673435544242,0.03697435346371513,0.3151515151515152,70,-0.004711034907664179,0.4606741573033708,True,5,200,-0.009699637,0.14151186,0.025,0.029850746268656716,True,False,0.1461734693877551,False
extension,T-24h,spread,0.5,consensus,line_terc,mid,83,45,38,0,0.5421686746987951,0.03504928806133627,83,0.03504928806133627,83,0.040243938027041654,-0.13003452243958574,0.20840326700159975,66,-0.02889240946469867,0.5180722891566265,True,19,200,-0.061453175,0.05654179,0.095,0.09950248756218906,True,False,0.33192073170731706,False
extension,T-24h,spread,0.5,consensus,line_terc,large,90,46,44,0,0.5111111111111111,-0.02424242424242425,90,-0.02424242424242425,90,-0.02089469109308082,-0.17001508217183278,0.11542390194075586,66,0.08805315055315062,0.5666666666666667,True,200,200,0.12317386,0.18831168,1.0,1.0,True,False,1.0,False
extension,T-24h,spread,0.5,consensus,total_terc,low,93,53,40,0,0.5698924731182796,0.08797653958944279,93,0.08797653958944279,93,0.08734379760476421,-0.07914438502673797,0.25918762088974856,64,-0.10579237071172554,0.5161290322580645,True,54,200,0.051993646,0.15443136,0.27,0.2736318407960199,True,False,0.5751301115241636,False
extension,T-24h,spread,0.5,consensus,total_terc,mid,88,47,41,0,0.5340909090909091,0.019628099173553713,88,0.019628099173553713,88,0.022550200417436536,-0.13636363636363638,0.17653276955602534,66,-0.09176566804407708,0.45454545454545453,True,107,200,0.02712996,0.1419099,0.535,0.5373134328358209,True,False,0.7721788413098237,False
extension,T-24h,spread,0.5,consensus,total_terc,high,81,46,35,0,0.5679012345679012,0.0841750841750842,81,0.0841750841750842,81,0.11110929878424772,-0.08085283211865493,0.2288551552368274,57,0.2842160582901323,0.5802469135802469,True,11,200,-0.024650099,0.08530792,0.055,0.05970149253731343,True,False,0.24057251908396948,False
extension,T-24h,spread,0.5,consensus,side,home,123,70,53,0,0.5691056910569106,0.08647450110864745,123,0.08647450110864745,123,0.08706090035381135,-0.03770022172949004,0.21487603305785125,83,0.10771257874916411,0.5365853658536586,True,19,200,0.028909037,0.09681408,0.095,0.09950248756218906,True,False,0.33192073170731706,False
extension,T-24h,spread,0.5,consensus,side,away,139,76,63,0,0.5467625899280576,0.04381948986265532,139,0.04381948986265532,139,0.060422685409947906,-0.08031777630317782,0.16829383736707582,87,-0.05856989732889016,0.49640287769784175,True,42,200,0.009055902,0.07631635,0.21,0.21393034825870647,True,False,0.5175483870967742,False
extension,T-24h,spread,0.5,consensus,side,fav,61,34,27,0,0.5573770491803278,0.06408345752608048,61,0.06408345752608048,61,0.06673496406257379,-0.1291866028708134,0.26194144838212624,46,0.31611046057767367,0.6557377049180327,True,20,200,-0.061241016,0.10387216,0.1,0.1044776119402985,True,False,0.3410714285714286,False
