era,perm_idx,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
extension,0,0.3767686188220978,505
extension,1,0.277923583984375,502
extension,2,0.2496352195739746,267
extension,3,0.3376656770706177,411
extension,4,0.18399052321910858,178
extension,5,0.21671248972415924,241
extension,6,0.23142917454242706,355
extension,7,0.3542974591255188,447
extension,8,0.3118731677532196,553
extension,9,0.16914524137973785,471
extension,10,0.224952831864357,235
extension,11,0.1929580271244049,362
extension,12,0.1685197651386261,295
extension,13,0.3120695948600769,533
extension,14,0.2416050136089325,391
extension,15,0.2814483642578125,426
extension,16,0.17731095850467682,359
extension,17,0.19211502373218536,279
extension,18,0.3261006474494934,455
extension,19,0.2579479217529297,346
extension,20,0.14541873335838318,294
extension,21,0.19862355291843414,237
extension,22,0.14681412279605865,169
extension,23,0.30693861842155457,544
extension,24,0.1861264556646347,249
extension,25,0.3348635137081146,483
extension,26,0.17354552447795868,289
extension,27,0.18452498316764832,212
extension,28,0.286105215549469,494
extension,29,0.2355893850326538,423
extension,30,0.3448881506919861,481
extension,31,0.16379471123218536,254
extension,32,0.3763364255428314,607
extension,33,0.2523564398288727,358
extension,34,0.2795904278755188,522
extension,35,0.231350377202034,313
extension,36,0.18713976442813873,373
extension,37,0.23097550868988037,336
extension,38,0.3257388174533844,482
extension,39,0.27616241574287415,284
extension,40,0.25384432077407837,399
extension,41,0.19293752312660217,308
extension,42,0.2782556414604187,362
extension,43,0.29690295457839966,518
extension,44,0.279633492231369,425
extension,45,0.2502184510231018,250
extension,46,0.23611870408058167,231
extension,47,0.22710616886615753,377
extension,48,0.2763524055480957,385
extension,49,0.1957455575466156,267
extension,50,0.23543088138103485,278
extension,51,0.2169855833053589,518
extension,52,0.23886394500732422,360
extension,53,0.3420155346393585,457
extension,54,0.24397264420986176,384
extension,55,0.17551204562187195,331
extension,56,0.2289649099111557,343
extension,57,0.24884165823459625,345
extension,58,0.19783928990364075,291
extension,59,0.2688368856906891,481
extension,60,0.13137997686862946,301
extension,61,0.2829805314540863,519
extension,62,0.292349249124527,383
extension,63,0.29958295822143555,467
extension,64,0.32469016313552856,460
extension,65,0.2524263560771942,418
extension,66,0.1598830223083496,266
extension,67,0.17975746095180511,337
extension,68,0.2146368771791458,345
extension,69,0.18516001105308533,289
extension,70,0.3287370800971985,600
extension,71,0.1828107386827469,356
extension,72,0.22424940764904022,336
extension,73,0.2023411989212036,280
extension,74,0.2859812378883362,343
extension,75,0.2143847644329071,339
extension,76,0.17695578932762146,380
extension,77,0.17215187847614288,326
extension,78,0.3374997079372406,627
extension,79,0.31637483835220337,468
extension,80,0.20367860794067383,304
extension,81,0.29410168528556824,423
extension,82,0.29408499598503113,356
extension,83,0.20649290084838867,205
extension,84,0.16125944256782532,203
