spec,slice,n,log_loss,brier,calib_slope,calib_intercept
1_constant,fit_2024,6320,0.691432482518959,0.2491431411232175,116.31669434401783,13.51772902869592
1_constant,dev_2025,7821,0.6921734612922523,0.24951320684614137,386.5768651594628,45.22369765839586
1_constant,desc_2026,3716,0.6931603910228715,0.2500061074222446,242.1895648535076,28.331960311343835
2_market_only,fit_2024,6320,0.6900457669411783,0.24846408755315197,1.2000081529509596,0.02335576234878623
2_market_only,dev_2025,7821,0.6886762812238634,0.24777366378554522,2.362217258206142,0.17987670911773632
2_market_only,desc_2026,3716,0.6921742963160555,0.24951499996671672,1.2307263595403335,0.06749919168993374
3_projection_only,fit_2024,6320,0.6914320945593758,0.24914294758384203,1.1905581966569936,0.022337722679695086
3_projection_only,dev_2025,7821,0.6921649207083748,0.24950895181017715,18.796776210130773,2.1170611886083086
3_projection_only,desc_2026,3716,0.6931886130914141,0.25002016961126666,-34.53687128343594,-4.118999775390386
4_market_plus_projection,fit_2024,6320,0.6900006283593089,0.24844072322703337,1.210583227824655,0.024591025087505415
4_market_plus_projection,dev_2025,7821,0.6885006392030214,0.24768689893787252,2.4419257027047685,0.19589938419358283
4_market_plus_projection,desc_2026,3716,0.6923989408346068,0.24962692589431332,1.0567530832521363,0.05305001316050733
5_market_plus_controls,fit_2024,6320,0.6876480306849247,0.24728087687428027,1.1394534714548936,0.016179818204513727
5_market_plus_controls,dev_2025,7821,0.6928034373429933,0.2497988541521027,0.41979623141125716,-0.06541176040492992
5_market_plus_controls,desc_2026,3716,0.701344461283586,0.25400538394474936,-0.2552206761699998,-0.057582974663664716
6_full_registered,fit_2024,6320,0.6876014885405634,0.24725717676781683,1.14407046040775,0.016714039651129824
6_full_registered,dev_2025,7821,0.692590427017174,0.2496948261759811,0.44479542888163803,-0.062206144154718875
6_full_registered,desc_2026,3716,0.7015392148376525,0.2541000845088832,-0.26275334079442997,-0.05887676696441
