execution,price_basis,threshold,cond_dim,cond_level,scope,battery,n_bets,wins,losses,pushes,n_void,n_noprice,hit_rate,roi,roi_ci90_low,roi_ci90_high,n_dates,n_over,n_under,mean_edge,mean_line,n_candidate_rows_in_cell,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,n_perm_ge_phaseblock,n_perm_nonempty_phaseblock,perm_roi_mean_phaseblock,perm_roi_q95_phaseblock,p_perm_phaseblock,p_perm_phipson_smyth_phaseblock,eligible,small_n_flag,roi_positive,q_bh,q_bh_phaseblock,starred,starred_phaseblock,starred_and_profitable,expected_false_in_family
consensus,captured,1.0,none,all,all,registered,3475,1743,1732,0,59,151,0.5015827338129496,-0.0677572695073648,-0.09226543492752426,-0.043251094708407406,269,1911,1564,0.33642505848086923,14.047913669064748,5930,78,200,-0.0707531,-0.04915816,0.39,0.39303482587064675,83,200,-0.070062146,-0.050578333,0.415,0.417910447761194,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,1.0,none,all,regular,companion_regular,3203,1597,1606,0,58,143,0.4985950671245707,-0.07320348739104077,-0.09816060338054544,-0.049530771166059494,242,1778,1425,0.3681583645950205,14.084764283484233,5466,131,200,-0.06845218,-0.046545457,0.655,0.6567164179104478,127,200,-0.06884455,-0.049298484,0.635,0.6368159203980099,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,1.0,none,all,playoff,companion_playoff,272,146,126,0,1,8,0.5367647058823529,-0.003624049355106812,-0.08726634246145543,0.07126065855789303,27,133,139,-0.03725795432658069,13.613970588235293,464,1,200,-0.09711094,-0.039216317,0.005,0.009950248756218905,4,200,-0.08405094,-0.021305736,0.02,0.024875621890547265,True,False,False,0.014888888888888889,0.07444444444444445,True,True,False,8.9
consensus,synthetic110,1.0,none,all,all,registered,3626,1826,1792,8,59,0,0.5046987285793256,-0.03640375068946497,-0.06071033029382349,-0.012201710782627693,269,1992,1634,0.333541187504426,14.03226696083839,5930,18,200,-0.05246356,-0.030141236,0.09,0.0945273631840796,21,200,-0.051670358,-0.03064828,0.105,0.10945273631840796,True,False,False,0.8651612903225806,0.9105555555555556,False,False,False,0.30000000000000004
consensus,synthetic110,1.0,none,all,regular,companion_regular,3346,1674,1664,8,58,0,0.5014979029358898,-0.042493071781774715,-0.06737525676888137,-0.017814312729426813,242,1858,1488,0.3694913661541836,14.07053197848177,5466,55,200,-0.0494586,-0.02809992,0.275,0.27860696517412936,53,200,-0.049874805,-0.029349696,0.265,0.26865671641791045,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,1.0,none,all,playoff,companion_playoff,280,152,128,0,1,0,0.5428571428571428,0.03636363636363636,-0.05253885003885005,0.11470081386536618,27,134,146,-0.09606344736017645,13.575,464,0,200,-0.08720058,-0.030982912,0.0,0.004975124378109453,0,200,-0.072520316,-0.009145343,0.0,0.004975124378109453,True,False,True,0.0,0.0,True,True,True,8.9
consensus,captured,2.0,none,all,all,registered,1939,952,987,0,41,91,0.49097472924187724,-0.08871087086441777,-0.12310137469538,-0.05306595219520809,267,1108,831,0.5603495209770151,14.389118102114493,5930,180,200,-0.07153412,-0.04895484,0.9,0.900497512437811,186,200,-0.07102578,-0.048662364,0.93,0.9303482587064676,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,2.0,none,all,regular,companion_regular,1810,884,926,0,41,87,0.48839779005524864,-0.09318312126219928,-0.1313433177505282,-0.05484277211361945,240,1039,771,0.5915010938916309,14.455801104972375,5466,195,200,-0.06882844,-0.046790656,0.975,0.9751243781094527,195,200,-0.06961272,-0.046830483,0.975,0.9751243781094527,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,2.0,none,all,playoff,companion_playoff,129,68,61,0,0,4,0.5271317829457365,-0.025960690864537474,-0.16495847682388837,0.10829904815587349,27,69,60,0.12326155992697833,13.453488372093023,464,3,200,-0.10219408,-0.044381466,0.015,0.01990049751243781,13,200,-0.08719949,-0.022026768,0.065,0.06965174129353234,True,False,False,0.032419354838709676,0.12442857142857144,True,False,False,8.9
consensus,synthetic110,2.0,none,all,all,registered,2030,994,1028,8,41,0,0.49159248269040556,-0.06126287505597849,-0.09467615588587282,-0.02610412391425585,267,1159,871,0.5564282015151543,14.390147783251232,5930,144,200,-0.05317971,-0.033127755,0.72,0.7213930348258707,153,200,-0.052609105,-0.029654397,0.765,0.7661691542288557,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,synthetic110,2.0,none,all,regular,companion_regular,1897,923,966,8,41,0,0.4886183165696136,-0.06689988977811855,-0.10418182552052513,-0.029681158311497046,240,1090,807,0.5942432165861347,14.45782814971007,5466,177,200,-0.049719114,-0.028005855,0.885,0.8855721393034826,183,200,-0.050573636,-0.028073287,0.915,0.9154228855721394,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,2.0,none,all,playoff,companion_playoff,133,71,62,0,0,0,0.5338345864661654,0.019138755980861254,-0.12285012285012284,0.15959595959595954,27,69,64,0.017066670765908572,13.424812030075188,464,0,200,-0.09279102,-0.036912188,0.0,0.004975124378109453,1,200,-0.07618575,-0.006940778,0.005,0.009950248756218905,True,False,True,0.0,0.03190476190476191,True,True,True,8.9
consensus,captured,3.0,none,all,all,registered,964,467,497,0,24,50,0.48443983402489627,-0.10334563420995861,-0.15277704042429702,-0.05621379776092355,247,565,399,0.8280586416036969,15.013485477178424,5930,199,200,-0.07223329,-0.049461007,0.995,0.9950248756218906,199,200,-0.071032375,-0.0503188,0.995,0.9950248756218906,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,3.0,none,all,regular,companion_regular,910,438,472,0,24,48,0.48131868131868133,-0.10897514136907396,-0.15964591441671366,-0.05919301953844189,225,539,371,0.8845417460755763,15.028571428571428,5466,199,200,-0.069225095,-0.046752892,0.995,0.9950248756218906,200,200,-0.06942638,-0.047605183,1.0,1.0,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,3.0,none,all,playoff,companion_playoff,54,29,25,0,0,2,0.5370370370370371,-0.008478013565607049,-0.23524046553134298,0.18405987102605967,22,26,28,-0.12378626708908513,14.75925925925926,464,1,200,-0.10603352,-0.043174956,0.005,0.009950248756218905,7,200,-0.08933339,-0.019271927,0.035,0.03980099502487562,False,True,False,,,False,False,False,8.9
consensus,synthetic110,3.0,none,all,all,registered,1014,486,524,4,24,0,0.48118811881188117,-0.08104715797023489,-0.1297852532080505,-0.03260740923434298,250,595,419,0.8282010684402238,15.041420118343195,5930,196,200,-0.053657416,-0.030353798,0.98,0.9800995024875622,197,200,-0.052567583,-0.029491091,0.985,0.9850746268656716,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,synthetic110,3.0,none,all,regular,companion_regular,958,456,498,4,24,0,0.4779874213836478,-0.08711330423230214,-0.137119729482777,-0.03912783359747385,228,569,389,0.8918341239117574,15.061586638830898,5466,199,200,-0.049869876,-0.025355525,0.995,0.9950248756218906,200,200,-0.050338335,-0.02805126,1.0,1.0,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,3.0,none,all,playoff,companion_playoff,56,30,26,0,0,0,0.5357142857142857,0.02272727272727274,-0.21390374331550796,0.21739130434782605,22,26,30,-0.26037870194779417,14.696428571428571,464,0,200,-0.096645996,-0.029152362,0.0,0.004975124378109453,4,200,-0.07827206,-0.0038003954,0.02,0.024875621890547265,False,True,True,,,False,False,False,8.9
consensus,captured,1.0,line_terc,low,all,registered,1203,595,608,0,18,59,0.4945968412302577,-0.08397122591884404,-0.12257740817540747,-0.045476120541739565,260,618,585,0.12150735848881272,9.682044887780549,2315,7,200,-0.11148879,-0.086858734,0.035,0.03980099502487562,12,200,-0.11194067,-0.083339766,0.06,0.06467661691542288,True,False,False,0.5794444444444445,0.7152,False,False,False,0.30000000000000004
consensus,captured,1.0,line_terc,low,regular,companion_regular,1081,531,550,0,17,55,0.49121184088806663,-0.08944120908222203,-0.1297197186590345,-0.04757451282103519,233,552,529,0.10944330190227784,9.729417206290472,2091,31,200,-0.10681141,-0.08056927,0.155,0.15920398009950248,23,200,-0.10948836,-0.08143454,0.115,0.11940298507462686,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,1.0,line_terc,low,playoff,companion_playoff,122,64,58,0,1,4,0.5245901639344263,-0.03550358821710971,-0.16096320040672993,0.07714465375823429,27,66,56,0.2284028107022901,9.262295081967213,224,2,200,-0.15370475,-0.07548177,0.01,0.014925373134328358,12,200,-0.13496327,-0.028305877,0.06,0.06467661691542288,True,False,False,0.02392857142857143,0.11999999999999998,True,False,False,8.9
consensus,synthetic110,1.0,line_terc,low,all,registered,1262,627,633,2,18,0,0.4976190476190476,-0.049920760697305853,-0.08695367747956119,-0.011834774314267481,263,643,619,0.1036398827175969,9.664421553090333,2315,0,200,-0.10241035,-0.07847948,0.0,0.004975124378109453,0,200,-0.10257965,-0.07462886,0.0,0.004975124378109453,True,False,False,0.0,0.0,True,True,False,0.30000000000000004
consensus,synthetic110,1.0,line_terc,low,regular,companion_regular,1136,560,574,2,17,0,0.49382716049382713,-0.057138284250960306,-0.09897279242143611,-0.0169273556213206,236,577,559,0.0989961285428097,9.710827464788732,2091,2,200,-0.09682903,-0.07125181,0.01,0.014925373134328358,1,200,-0.099623576,-0.07104144,0.005,0.009950248756218905,True,False,False,0.9933333333333333,0.49666666666666665,False,False,False,0.0
consensus,synthetic110,1.0,line_terc,low,playoff,companion_playoff,126,67,59,0,1,0,0.5317460317460317,0.015151515151515142,-0.1090909090909091,0.1319388576025744,27,66,60,0.14550738067440855,9.246031746031745,224,0,200,-0.15344414,-0.07929645,0.0,0.004975124378109453,2,200,-0.13072672,-0.028895441,0.01,0.014925373134328358,True,False,True,0.0,0.05583333333333334,True,True,True,8.9
consensus,captured,2.0,line_terc,low,all,registered,602,289,313,0,11,28,0.48006644518272423,-0.11138915783439805,-0.16681279420812595,-0.05475575835530679,223,321,281,0.2857453489843239,9.732558139534884,2315,69,200,-0.11835589,-0.09399011,0.345,0.3482587064676617,70,200,-0.118934155,-0.08667542,0.35,0.35323383084577115,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,2.0,line_terc,low,regular,companion_regular,544,256,288,0,11,26,0.47058823529411764,-0.1272675479574876,-0.18621902669090085,-0.0687459151215569,200,287,257,0.2576615402779797,9.768382352941176,2091,154,200,-0.11306255,-0.08638715,0.77,0.7711442786069652,142,200,-0.11624023,-0.0832333,0.71,0.7114427860696517,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,2.0,line_terc,low,playoff,companion_playoff,58,33,25,0,0,2,0.5689655172413793,0.03753919090630359,-0.14000310260204757,0.21439258812880777,23,34,24,0.5491521065058965,9.39655172413793,224,0,200,-0.16496602,-0.08577084,0.0,0.004975124378109453,0,200,-0.14480644,-0.036583185,0.0,0.004975124378109453,False,True,True,,,False,False,False,8.9
consensus,synthetic110,2.0,line_terc,low,all,registered,630,303,325,2,11,0,0.482484076433121,-0.07864357864357864,-0.13504077163946682,-0.02083624437630997,228,333,297,0.26080007307628505,9.714285714285714,2315,3,200,-0.11051106,-0.08537938,0.015,0.01990049751243781,10,200,-0.11056948,-0.07892609,0.05,0.05472636815920398,True,False,False,0.3438461538461538,0.7095238095238096,False,False,False,0.30000000000000004
consensus,synthetic110,2.0,line_terc,low,regular,companion_regular,570,269,299,2,11,0,0.4735915492957746,-0.09553429027113237,-0.1570563109737829,-0.03629320810423172,203,299,271,0.24343257335322097,9.75263157894737,2091,68,200,-0.104211405,-0.078449294,0.34,0.34328358208955223,56,200,-0.10722807,-0.07352351,0.28,0.2835820895522388,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,2.0,line_terc,low,playoff,companion_playoff,60,34,26,0,0,0,0.5666666666666667,0.08181818181818182,-0.09569377990430623,0.2727272727272727,25,34,26,0.42579132044539464,9.35,224,0,200,-0.166796,-0.08151598,0.0,0.004975124378109453,0,200,-0.14313921,-0.038260736,0.0,0.004975124378109453,False,True,True,,,False,False,False,8.9
consensus,captured,3.0,line_terc,low,all,registered,233,113,120,0,7,10,0.48497854077253216,-0.10599959000464244,-0.19531256836749497,-0.009463319049978809,140,135,98,0.7091955041539904,9.718884120171674,2315,30,200,-0.12456819,-0.09682242,0.15,0.15422885572139303,31,200,-0.1240057,-0.09223008,0.155,0.15920398009950248,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,3.0,line_terc,low,regular,companion_regular,216,101,115,0,7,9,0.4675925925925926,-0.1376465807309413,-0.22773274225488946,-0.045932425405299564,130,126,90,0.7039903927795037,9.726851851851851,2091,166,200,-0.119304895,-0.086538255,0.83,0.8308457711442786,152,200,-0.121410064,-0.08673758,0.76,0.7611940298507462,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,3.0,line_terc,low,playoff,companion_playoff,17,12,5,0,0,1,0.7058823529411765,0.2961033509883311,0.04435236510123505,0.5524643663431958,10,9,8,0.7753310369121742,9.617647058823529,224,0,200,-0.1698605,-0.07724603,0.0,0.004975124378109453,0,200,-0.14989576,-0.03767823,0.0,0.004975124378109453,False,True,True,,,False,False,False,8.9
consensus,synthetic110,3.0,line_terc,low,all,registered,243,116,127,0,7,0,0.4773662551440329,-0.0886644219977553,-0.1795036237794505,0.0035974059943776554,143,140,103,0.6855033669218001,9.703703703703704,2315,13,200,-0.11760467,-0.08785878,0.065,0.06965174129353234,14,200,-0.11653529,-0.084932804,0.07,0.07462686567164178,True,False,False,0.6679310344827587,0.7725925925925927,False,False,False,0.30000000000000004
