scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
all,registered,0,298,0.012202562764286995,169
all,registered,1,298,0.09454545378684998,218
all,registered,2,298,0.07155425101518631,186
all,registered,3,298,0.05371900647878647,125
all,registered,4,298,0.04807012528181076,230
all,registered,5,298,0.11570248007774353,172
all,registered,6,298,0.2291407287120819,205
all,registered,7,298,0.11663807928562164,154
all,registered,8,298,0.027173912152647972,161
all,registered,9,298,0.08387096971273422,158
all,registered,10,298,0.04692082107067108,99
all,registered,11,298,0.036724865436553955,230
all,registered,12,298,0.0874568447470665,217
all,registered,13,298,0.0550239235162735,128
all,registered,14,298,0.02580234780907631,149
all,registered,15,298,0.04574406519532204,181
all,registered,16,298,0.02925940603017807,152
all,registered,17,298,0.02736644819378853,136
all,registered,18,298,0.18538324534893036,206
all,registered,19,298,0.1286449432373047,195
all,registered,20,298,0.0634533241391182,169
all,registered,21,298,0.049309663474559784,177
all,registered,22,298,0.04574406519532204,172
all,registered,23,298,0.05685170367360115,258
all,registered,24,298,0.026136362925171852,242
all,registered,25,298,0.1430225819349289,199
all,registered,26,298,0.07626601308584213,164
all,registered,27,298,0.13352273404598236,194
all,registered,28,298,0.02058319002389908,130
all,registered,29,298,0.13760896027088165,266
all,registered,30,298,0.043988268822431564,204
all,registered,31,298,0.08181817829608917,230
all,registered,32,298,0.05114088952541351,215
all,registered,33,298,0.08222351223230362,233
all,registered,34,298,0.14065180718898773,265
all,registered,35,298,0.10526315867900848,121
all,registered,36,298,0.03313826769590378,188
all,registered,37,298,0.07386363297700882,165
all,registered,38,298,0.12379110604524612,189
all,registered,39,298,0.1631547212600708,157
all,registered,40,298,0.15620999038219452,200
all,registered,41,298,0.022287389263510704,98
all,registered,42,298,0.029809989035129547,191
all,registered,43,298,0.14294257760047913,215
all,registered,44,298,0.041322313249111176,222
all,registered,45,298,0.05636363476514816,208
all,registered,46,298,0.25564369559288025,216
all,registered,47,298,0.08222351223230362,203
all,registered,48,298,0.1528925597667694,177
all,registered,49,298,0.08538083732128143,203
all,registered,50,298,0.052718643099069595,117
all,registered,51,298,0.01652892492711544,159
all,registered,52,298,0.03782794252038002,139
all,registered,53,298,0.02376207336783409,130
all,registered,54,298,0.011642498895525932,127
all,registered,55,298,0.050074052065610886,170
all,registered,56,298,0.09803921729326248,102
all,registered,57,298,0.09993979334831238,204
all,registered,58,298,0.20703811943531036,203
all,registered,59,298,0.05636363476514816,214
all,registered,60,298,0.19158023595809937,190
all,registered,61,298,0.1381118893623352,220
all,registered,62,298,0.020649710670113564,159
all,registered,63,298,0.04607721045613289,197
all,registered,64,298,0.02872447855770588,154
all,registered,65,298,0.17482517659664154,180
all,registered,66,298,0.11999999731779099,248
all,registered,67,298,0.14795008301734924,200
all,registered,68,298,0.11782296746969223,144
all,registered,69,298,0.034247804433107376,176
all,registered,70,298,0.07063882052898407,161
all,registered,71,298,0.11363636702299118,176
all,registered,72,298,0.11162255704402924,183
all,registered,73,298,0.04020978882908821,125
all,registered,74,298,0.03271295502781868,189
all,registered,75,298,0.15314215421676636,180
all,registered,76,298,0.09993979334831238,230
all,registered,77,298,0.21720561385154724,178
all,registered,78,298,0.1327272653579712,69
all,registered,79,298,0.08287982642650604,212
all,registered,80,298,0.11162255704402924,214
all,registered,81,298,0.1096590906381607,252
all,registered,82,298,0.03126317262649536,164
all,registered,83,298,0.05533596873283386,244
all,registered,84,298,0.03752345219254494,151
all,registered,85,298,0.1286449432373047,146
all,registered,86,298,0.1237054094672203,241
all,registered,87,298,0.05471891537308693,192
all,registered,88,298,0.06356039643287659,228
all,registered,89,298,0.03453529626131058,190
all,registered,90,298,0.12809917330741882,214
all,registered,91,298,0.08916083723306656,170
all,registered,92,298,0.04090545326471329,213
all,registered,93,298,0.045797597616910934,161
all,registered,94,298,0.11999999731779099,181
all,registered,95,298,0.09803921729326248,147
all,registered,96,298,0.1286449432373047,201
all,registered,97,298,0.05600762739777565,267
all,registered,98,298,0.07465382665395737,142
all,registered,99,298,0.04692082107067108,177
all,registered,100,298,0.10654313862323761,121
all,registered,101,298,0.1327272653579712,224
all,registered,102,298,0.011100892908871174,133
all,registered,103,298,0.17203682661056519,222
all,registered,104,298,0.08556149899959564,145
all,registered,105,298,0.09803921729326248,210
all,registered,106,298,0.21153846383094788,264
all,registered,107,298,0.04624194651842117,186
all,registered,108,298,0.12809917330741882,223
all,registered,109,298,0.1378687471151352,175
all,registered,110,298,0.0550239235162735,182
all,registered,111,298,0.1652892529964447,167
all,registered,112,298,0.06060606241226196,192
all,registered,113,298,0.06642484664916992,185
all,registered,114,298,0.1505117416381836,153
all,registered,115,298,0.043845534324645996,203
all,registered,116,298,0.11363636702299118,227
all,registered,117,298,0.0634533241391182,140
all,registered,118,298,0.0634533241391182,264
all,registered,119,298,0.1659548431634903,172
all,registered,120,298,0.08387096971273422,125
all,registered,121,298,0.044034089893102646,223
all,registered,122,298,0.03263627737760544,211
all,registered,123,298,0.07851240038871765,133
all,registered,124,298,0.019041769206523895,128
all,registered,125,298,0.145454540848732,214
all,registered,126,298,0.03660498932003975,207
all,registered,127,298,0.05790387839078903,149
all,registered,128,298,0.11363636702299118,238
all,registered,129,298,0.0550239235162735,155
all,registered,130,298,0.04638657718896866,261
all,registered,131,298,0.05371900647878647,159
all,registered,132,298,0.08916083723306656,195
all,registered,133,298,0.06758373230695724,122
all,registered,134,298,0.04940711334347725,198
all,registered,135,298,0.07222913950681686,138
all,registered,136,298,0.09270334988832474,243
all,registered,137,298,0.03166574239730835,192
all,registered,138,298,0.021270962432026863,173
all,registered,139,298,0.03675185889005661,180
all,registered,140,298,0.025974025949835777,170
all,registered,141,298,0.051948051899671555,215
all,registered,142,298,0.15314215421676636,191
all,registered,143,298,0.036724865436553955,188
all,registered,144,298,0.044407207518815994,174
all,registered,145,298,0.07155425101518631,192
all,registered,146,298,0.06329113990068436,234
all,registered,147,298,0.05400820076465607,146
all,registered,148,298,0.10330578684806824,221
all,registered,149,298,0.006874033249914646,128
all,registered,150,298,0.032590050250291824,164
all,registered,151,298,0.0550239235162735,168
all,registered,152,298,0.12751677632331848,156
all,registered,153,298,0.04459691420197487,98
all,registered,154,298,0.12223587185144424,188
all,registered,155,298,0.15265865623950958,228
all,registered,156,298,0.08014354109764099,211
all,registered,157,298,0.135472372174263,239
all,registered,158,298,0.12987013161182404,86
all,registered,159,298,0.0730837807059288,192
all,registered,160,298,0.09270334988832474,107
all,registered,161,298,0.04363636299967766,224
all,registered,162,298,0.17290551960468292,186
all,registered,163,298,0.11587707698345184,220
all,registered,164,298,0.09953969717025757,219
all,registered,165,298,0.06693077832460403,237
all,registered,166,298,0.03460410609841347,203
all,registered,167,298,0.05826771631836891,174
all,registered,168,298,0.037756141275167465,167
all,registered,169,298,0.1187029555439949,222
all,registered,170,298,0.04363636299967766,208
all,registered,171,298,0.08353808522224426,208
all,registered,172,298,0.041322313249111176,142
all,registered,173,298,0.022381171584129333,182
all,registered,174,298,0.07063882052898407,150
all,registered,175,298,0.1237054094672203,204
all,registered,176,298,-0.011170304380357265,71
all,registered,177,298,0.06368804723024368,259
all,registered,178,298,0.11782296746969223,178
all,registered,179,298,0.04936785250902176,136
all,registered,180,298,0.1581818163394928,211
all,registered,181,298,0.11688311398029327,240
all,registered,182,298,0.17482517659664154,214
all,registered,183,298,0.17008797824382782,171
all,registered,184,298,0.02925940603017807,182
all,registered,185,298,0.11570248007774353,208
all,registered,186,298,0.08387096971273422,171
all,registered,187,298,0.14787112176418304,254
all,registered,188,298,0.04297994449734688,202
all,registered,189,298,0.048128340393304825,144
all,registered,190,298,0.08556149899959564,143
all,registered,191,298,0.040125392377376556,202
all,registered,192,298,0.12522576749324799,259
all,registered,193,298,0.05244755372405052,225
all,registered,194,298,0.14795008301734924,198
all,registered,195,298,0.158620685338974,218
all,registered,196,298,0.02209790237247944,121
all,registered,197,298,0.10243277996778488,168
all,registered,198,298,0.04936785250902176,130
all,registered,199,298,0.15265865623950958,248
regular,companion_regular,0,298,0.012202562764286995,196
regular,companion_regular,1,298,0.09454545378684998,232
regular,companion_regular,2,298,0.07155425101518631,217
regular,companion_regular,3,298,0.05371900647878647,149
regular,companion_regular,4,298,0.05472864583134651,255
regular,companion_regular,5,298,0.11570248007774353,205
regular,companion_regular,6,298,0.2291407287120819,236
regular,companion_regular,7,298,0.11663807928562164,212
regular,companion_regular,8,298,0.022812820971012115,211
regular,companion_regular,9,298,0.08387096971273422,182
regular,companion_regular,10,298,0.04692082107067108,124
regular,companion_regular,11,298,0.036724865436553955,258
regular,companion_regular,12,298,0.0874568447470665,255
regular,companion_regular,13,298,0.0550239235162735,166
regular,companion_regular,14,298,0.02760149911046028,180
regular,companion_regular,15,298,0.04574406519532204,206
regular,companion_regular,16,298,0.04026763141155243,204
regular,companion_regular,17,298,0.022123893722891808,184
regular,companion_regular,18,298,0.18538324534893036,227
regular,companion_regular,19,298,0.1286449432373047,253
regular,companion_regular,20,298,0.0634533241391182,210
regular,companion_regular,21,298,0.04210526496171951,206
regular,companion_regular,22,298,0.04574406519532204,193
regular,companion_regular,23,298,0.05882352963089943,263
regular,companion_regular,24,298,0.02915951982140541,265
regular,companion_regular,25,298,0.1430225819349289,218
regular,companion_regular,26,298,0.07626601308584213,197
regular,companion_regular,27,298,0.13352273404598236,210
regular,companion_regular,28,298,0.02058319002389908,166
regular,companion_regular,29,298,0.13760896027088165,270
regular,companion_regular,30,298,0.04747974872589111,234
regular,companion_regular,31,298,0.08181817829608917,233
regular,companion_regular,32,298,0.044084057211875916,228
regular,companion_regular,33,298,0.08222351223230362,280
regular,companion_regular,34,298,0.14065180718898773,280
regular,companion_regular,35,298,0.10526315867900848,156
regular,companion_regular,36,298,0.035569928586483,218
regular,companion_regular,37,298,0.07386363297700882,187
regular,companion_regular,38,298,0.12379110604524612,207
regular,companion_regular,39,298,0.1631547212600708,164
regular,companion_regular,40,298,0.15620999038219452,218
regular,companion_regular,41,298,0.022287389263510704,110
regular,companion_regular,42,298,0.03242812305688858,233
regular,companion_regular,43,298,0.14294257760047913,233
regular,companion_regular,44,298,0.05641394108533859,255
