player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1627673,Jonquel Jones,9809,9732,19541,5061.6,1.171,0.937,2.108,11000,7.601,6.138,4.762,3.197
1630142,Leonie Fiebich,2302,2283,4585,1178.2,0.995,1.074,2.069,11000,11.178,8.743,6.262,3.592
1628276,Kelsey Plum,10876,10864,21740,5406.8,1.477,0.561,2.038,11000,9.888,7.318,5.188,3.2
201886,DeWanna Bonner,10615,10576,21191,5498.4,0.728,1.09,1.818,11000,8.316,6.535,4.797,2.947
1629483,Napheesa Collier,8101,8097,16198,4121.2,0.956,0.821,1.777,11000,10.103,7.487,5.181,2.99
1629477,Sabrina Ionescu,10352,10321,20673,5286.6,1.476,0.298,1.774,11000,5.164,4.283,3.482,2.532
1627668,Breanna Stewart,11075,11051,22126,5608.8,1.203,0.541,1.744,11000,3.394,3.22,2.942,2.373
203833,Chelsea Gray,9884,9857,19741,4916.0,0.873,0.78,1.653,11000,7.023,5.701,4.302,2.681
1628280,Brionna Jones,7484,7505,14989,3880.0,0.529,1.096,1.625,11000,8.116,6.227,4.49,2.693
1629501,Alanna Smith,5254,5278,10532,2677.5,0.475,1.062,1.537,11000,5.711,4.742,3.729,2.45
1628932,A'ja Wilson,11455,11459,22914,5686.9,1.06,0.464,1.524,11000,3.223,2.963,2.636,2.085
203400,Skylar Diggins,7397,7392,14789,3777.5,0.382,1.002,1.384,11000,8.54,6.355,4.413,2.47
203825,Kayla McBride,9778,9784,19562,4968.4,0.69,0.654,1.344,11000,4.041,3.519,2.885,2.018
203014,Nneka Ogwumike,7989,7960,15949,4007.9,0.633,0.709,1.342,11000,6.344,5.183,3.89,2.335
1629524,Bridget Carleton,6754,6760,13514,3454.1,0.435,0.828,1.263,11000,3.828,3.235,2.65,1.88
204335,Betnijah Laney-Hamilton,8128,8081,16209,4095.2,0.854,0.398,1.252,11000,2.74,2.4,2.114,1.694
203826,Alyssa Thomas,9668,9645,19313,4967.8,0.424,0.817,1.241,11000,2.96,2.657,2.288,1.743
1629498,Jackie Young,11245,11258,22503,5582.0,1.013,0.221,1.234,11000,0.434,1.077,1.486,1.532
202252,Alysha Clark,5982,5997,11979,3037.0,0.449,0.741,1.19,11000,3.895,3.143,2.49,1.745
1627675,Courtney Williams,9972,9964,19936,5059.0,0.067,1.072,1.139,11000,1.904,1.973,1.948,1.607
1631007,Veronica Burton,3458,3451,6909,1769.6,0.527,0.466,0.993,11000,5.519,4.36,3.169,1.803
202664,Courtney Vandersloot,9410,9393,18803,4757.5,0.325,0.624,0.949,11000,2.313,1.95,1.641,1.281
204319,Jewell Loyd,9925,9898,19823,4958.1,0.132,0.728,0.86,11000,4.486,3.267,2.312,1.406
1629496,Ezi Magbegor,7697,7707,15404,3863.1,0.094,0.682,0.776,11000,2.798,2.421,1.915,1.244
1630112,Tyasha Harris,6057,6066,12123,3162.1,0.269,0.502,0.771,11000,1.477,1.286,1.182,1.011
1629497,Marina Mabrey,8947,8946,17893,4538.7,0.412,0.291,0.703,11000,3.939,3.201,2.375,1.34
201496,Candace Parker,4995,4989,9984,2503.9,0.285,0.287,0.572,11000,6.298,4.16,2.502,1.159
204329,Kiah Stokes,5931,5975,11906,3020.3,0.306,0.254,0.56,11000,0.345,0.374,0.52,0.633
203026,Tiffany Hayes,5886,5859,11745,3000.6,0.457,0.043,0.5,11000,1.251,0.961,0.776,0.632
1631055,Nyara Sabally,1406,1407,2813,707.5,-0.062,0.558,0.496,11000,3.661,2.416,1.51,0.82
1642291,Angel Reese,2175,2170,4345,1103.8,0.016,0.443,0.459,11000,7.677,5.328,3.203,1.278
1628279,Brittney Sykes,7115,7153,14268,3609.0,-0.061,0.497,0.436,11000,5.836,3.967,2.429,1.059
1630096,DiJonai Carrington,5946,5955,11901,3049.6,-0.266,0.639,0.373,11000,-2.373,-1.575,-0.678,0.143
203399,Elena Delle Donne,2952,2946,5898,1518.0,0.154,0.212,0.366,11000,2.993,2.281,1.54,0.766
1630150,Chennedy Carter,3082,3099,6181,1531.3,0.237,0.125,0.362,11000,5.133,3.623,2.262,0.959
1627701,Temi Fagbenle,932,934,1866,463.3,0.279,0.068,0.347,11000,3.449,2.534,1.678,0.795
1630149,Satou Sabally,5360,5362,10722,2668.9,1.0,-0.656,0.344,11000,5.63,4.018,2.492,1.016
1631022,Shakira Austin,2940,2948,5888,1508.4,-0.257,0.569,0.312,11000,1.529,1.605,1.285,0.683
1629567,Natisha Hiedeman,7621,7619,15240,3930.9,0.524,-0.284,0.24,11000,0.162,0.106,0.143,0.225
1631044,Naz Hillmon,4241,4234,8475,2158.7,0.067,0.14,0.207,11000,1.48,1.333,1.018,0.517
1631009,Rhyne Howard,6972,6964,13936,3510.4,0.065,0.139,0.204,11000,3.896,2.739,1.678,0.663
1628317,Karlie Samuelson,3606,3574,7180,1816.0,-0.099,0.302,0.203,11000,3.416,2.332,1.42,0.582
1631086,Lexie Hull,3341,3347,6688,1684.2,0.731,-0.541,0.19,11000,1.823,1.558,1.139,0.535
1628263,Lindsay Allen,4613,4603,9216,2353.0,0.128,0.059,0.187,11000,3.42,2.559,1.635,0.643
204322,Elizabeth Williams,5343,5369,10712,2722.5,-0.122,0.308,0.186,11000,3.41,2.186,1.218,0.472
202250,Tina Charles,6424,6393,12817,3258.4,-0.043,0.22,0.177,11000,3.278,2.279,1.386,0.553
1631021,Sika Kone,798,797,1595,412.0,0.062,0.113,0.175,11000,1.825,1.262,0.78,0.364
204296,Rebecca Allen,5313,5340,10653,2697.5,0.263,-0.093,0.17,11000,2.269,1.535,0.939,0.41
203416,Emma Meesseman,2523,2527,5050,1266.7,0.104,0.054,0.158,11000,2.933,1.752,0.939,0.369
203866,Kayla Thornton,7272,7297,14569,3743.0,-0.364,0.522,0.158,11000,-2.383,-1.81,-1.046,-0.191
203024,Damiris Dantas,2131,2140,4271,1075.7,0.101,0.055,0.156,11000,2.013,1.261,0.756,0.347
202658,Danielle Robinson,4262,4248,8510,2124.2,0.03,0.117,0.147,11000,3.953,2.211,1.114,0.396
201516,Allie Quigley,4142,4134,8276,2089.2,0.086,0.048,0.134,11000,2.439,1.491,0.806,0.315
1642298,Celeste Taylor,693,694,1387,356.4,0.181,-0.053,0.128,11000,1.411,0.97,0.627,0.296
1628277,Allisha Gray,9112,9108,18220,4631.4,-0.228,0.347,0.119,11000,5.012,3.364,1.905,0.629
1641648,Aliyah Boston,5042,5036,10078,2549.8,0.829,-0.711,0.118,11000,6.408,4.199,2.322,0.736
1628886,Jordin Canada,6575,6567,13142,3332.4,-0.005,0.12,0.115,11000,1.259,0.887,0.632,0.321
