player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1627673,Jonquel Jones,9809,9732,19541,5061.6,0.771,0.658,1.429,68000,10.439,9.317,7.987,6.068
1628276,Kelsey Plum,10876,10864,21740,5406.8,1.049,0.278,1.327,68000,9.102,7.774,6.426,4.763
1628932,A'ja Wilson,11455,11459,22914,5686.9,0.974,0.343,1.317,68000,7.075,6.297,5.396,4.217
1629498,Jackie Young,11245,11258,22503,5582.0,1.001,0.253,1.254,68000,4.29,4.081,3.894,3.493
1627668,Breanna Stewart,11075,11051,22126,5608.8,0.874,0.376,1.25,68000,11.157,9.792,8.186,5.934
203833,Chelsea Gray,9884,9857,19741,4916.0,0.894,0.35,1.244,68000,8.309,7.357,6.249,4.673
201886,DeWanna Bonner,10615,10576,21191,5498.4,0.484,0.573,1.057,68000,8.444,7.435,6.253,4.585
202664,Courtney Vandersloot,9410,9393,18803,4757.5,0.496,0.501,0.997,68000,5.476,5.197,4.847,4.077
1628280,Brionna Jones,7484,7505,14989,3880.0,0.297,0.626,0.923,68000,8.398,7.325,6.056,4.321
203826,Alyssa Thomas,9668,9645,19313,4967.8,0.295,0.465,0.76,68000,5.75,5.145,4.305,3.105
201496,Candace Parker,4995,4989,9984,2503.9,0.32,0.386,0.706,68000,9.381,8.223,6.746,4.58
1629567,Natisha Hiedeman,7621,7619,15240,3930.9,0.33,0.238,0.568,68000,2.863,2.338,2.005,1.724
203400,Skylar Diggins,7397,7392,14789,3777.5,0.326,0.24,0.566,68000,12.389,10.511,8.322,5.327
202252,Alysha Clark,5982,5997,11979,3037.0,0.225,0.312,0.537,68000,3.168,2.547,2.09,1.698
1629483,Napheesa Collier,8101,8097,16198,4121.2,0.256,0.21,0.466,68000,7.623,6.51,5.178,3.396
201516,Allie Quigley,4142,4134,8276,2089.2,0.315,0.145,0.46,68000,7.416,6.331,5.066,3.313
204319,Jewell Loyd,9925,9898,19823,4958.1,0.164,0.284,0.448,68000,9.025,7.134,5.264,3.204
1630142,Leonie Fiebich,2302,2283,4585,1178.2,0.211,0.227,0.438,68000,9.738,7.799,5.686,3.275
1629477,Sabrina Ionescu,10352,10321,20673,5286.6,0.519,-0.089,0.43,68000,4.552,3.682,2.792,1.785
204329,Kiah Stokes,5931,5975,11906,3020.3,0.244,0.167,0.411,68000,2.505,1.755,1.111,0.702
203399,Elena Delle Donne,2952,2946,5898,1518.0,0.198,0.211,0.409,68000,8.495,7.323,5.836,3.709
1629524,Bridget Carleton,6754,6760,13514,3454.1,0.039,0.323,0.362,68000,4.549,3.864,3.188,2.279
203825,Kayla McBride,9778,9784,19562,4968.4,0.218,0.124,0.342,68000,7.263,6.036,4.643,2.866
1629501,Alanna Smith,5254,5278,10532,2677.5,0.081,0.252,0.333,68000,6.421,5.366,4.166,2.633
203416,Emma Meesseman,2523,2527,5050,1266.7,0.229,0.094,0.323,68000,6.045,4.918,3.742,2.356
1630096,DiJonai Carrington,5946,5955,11901,3049.6,-0.06,0.375,0.315,68000,0.293,0.014,0.017,0.291
100720,Sue Bird,3766,3742,7508,1900.4,0.234,0.065,0.299,68000,2.862,2.733,2.432,1.777
1627675,Courtney Williams,9972,9964,19936,5059.0,0.04,0.24,0.28,68000,2.183,1.766,1.482,1.183
202662,Jasmine Thomas,2941,2929,5870,1542.9,0.006,0.268,0.274,68000,0.729,0.772,0.857,0.887
1631022,Shakira Austin,2940,2948,5888,1508.4,0.037,0.21,0.247,68000,2.894,2.855,2.648,1.982
1631007,Veronica Burton,3458,3451,6909,1769.6,0.136,0.098,0.234,68000,4.624,3.774,2.912,1.854
201896,Briann January,3093,3116,6209,1631.1,0.021,0.211,0.232,68000,0.477,0.326,0.332,0.472
1628931,Gabby Williams,3445,3458,6903,1731.0,0.115,0.102,0.217,68000,1.71,1.508,1.385,1.152
204335,Betnijah Laney-Hamilton,8128,8081,16209,4095.2,0.208,-0.007,0.201,68000,-2.033,-1.891,-1.469,-0.674
1630149,Satou Sabally,5360,5362,10722,2668.9,0.409,-0.215,0.194,68000,7.578,6.372,4.904,2.898
1630112,Tyasha Harris,6057,6066,12123,3162.1,0.089,0.086,0.175,68000,2.245,1.508,0.989,0.616
1628878,Ariel Atkins,7890,7876,15766,4007.9,0.077,0.092,0.169,68000,6.835,5.653,4.303,2.535
203014,Nneka Ogwumike,7989,7960,15949,4007.9,-0.065,0.211,0.146,68000,3.638,3.345,2.817,1.854
203029,Riquna Williams,3159,3138,6297,1549.7,0.147,-0.006,0.141,68000,-0.103,-0.552,-0.635,-0.335
1629496,Ezi Magbegor,7697,7707,15404,3863.1,-0.086,0.211,0.125,68000,1.41,1.153,0.897,0.617
203406,Layshia Clarendon,3129,3112,6241,1575.2,0.043,0.081,0.124,68000,4.894,3.888,2.885,1.668
1627674,Kahleah Copper,9859,9860,19719,4959.4,0.244,-0.121,0.123,68000,3.244,2.392,1.663,0.98
202633,Liz Cambage,2623,2615,5238,1279.4,0.073,0.049,0.122,68000,2.872,2.203,1.497,0.777
1628277,Allisha Gray,9112,9108,18220,4631.4,0.057,0.065,0.122,68000,6.509,5.637,4.486,2.729
203024,Damiris Dantas,2131,2140,4271,1075.7,0.093,0.024,0.117,68000,3.47,2.806,2.125,1.281
1631055,Nyara Sabally,1406,1407,2813,707.5,-0.021,0.126,0.105,68000,2.772,1.779,1.013,0.48
201480,Sylvia Fowles,3558,3564,7122,1798.1,0.05,0.043,0.093,68000,2.078,1.871,1.528,0.965
203866,Kayla Thornton,7272,7297,14569,3743.0,0.009,0.073,0.082,68000,-2.52,-2.313,-1.786,-0.854
1630097,Kaila Charles,1102,1110,2212,585.5,-0.031,0.111,0.08,68000,1.121,0.608,0.319,0.2
203026,Tiffany Hayes,5886,5859,11745,3000.6,0.13,-0.054,0.076,68000,2.063,1.317,0.688,0.181
1629497,Marina Mabrey,8947,8946,17893,4538.7,0.243,-0.168,0.075,68000,3.457,2.946,2.323,1.394
1630435,Destiny Slocum,376,378,754,187.1,-0.0,0.072,0.072,68000,5.373,3.206,1.823,0.823
1630093,Bella Alarie,790,794,1584,411.4,-0.022,0.093,0.071,68000,5.551,3.976,2.485,1.122
