player_id,off_poss,def_poss,total_poss,orapm_100_lam5000,drapm_100_lam5000,net_100_lam5000,season,player_name
100720,1723,1710,3433,1.057,-0.181,0.875,2021,Sue Bird
100940,1518,1524,3042,0.732,-0.363,0.368,2021,Diana Taurasi
200676,918,922,1840,-0.814,-0.488,-1.302,2021,Candice Dupree
201480,1911,1925,3836,0.504,0.728,1.232,2021,Sylvia Fowles
201496,1862,1864,3726,0.756,0.781,1.538,2021,Candace Parker
201507,1446,1440,2886,0.214,-0.615,-0.401,2021,Leilani Mitchell
201516,1893,1897,3790,2.072,0.489,2.561,2021,Allie Quigley
201881,1,1,2,-0.021,0.019,-0.002,2021,Angel McCoughtry
201886,2192,2183,4375,0.863,0.675,1.537,2021,DeWanna Bonner
201896,1836,1837,3673,1.024,1.176,2.2,2021,Briann January
201911,1023,1031,2054,-0.518,-0.168,-0.686,2021,Kristi Toliver
201913,1130,1133,2263,-0.019,-1.287,-1.306,2021,Kia Vaughn
201919,872,875,1747,-0.353,-0.003,-0.356,2021,Shavonte Zellous
202250,1796,1792,3588,0.297,-0.411,-0.113,2021,Tina Charles
202259,835,830,1665,-0.354,0.488,0.133,2021,Epiphanny Prince
202633,1433,1435,2868,0.558,0.976,1.534,2021,Liz Cambage
202638,1057,1068,2125,-1.215,-0.851,-2.066,2021,Jessica Breland
202650,1077,1069,2146,-0.89,-1.231,-2.121,2021,Jantel Lavender
202658,1306,1308,2614,-0.497,-0.213,-0.71,2021,Danielle Robinson
202662,1927,1918,3845,0.793,1.459,2.251,2021,Jasmine Thomas
202664,2644,2634,5278,0.547,1.285,1.832,2021,Courtney Vandersloot
203014,1103,1099,2202,-0.971,0.486,-0.485,2021,Nneka Ogwumike
203015,471,469,940,-1.013,0.039,-0.973,2021,Shekinna Stricklen
203024,1131,1133,2264,0.282,-0.239,0.042,2021,Damiris Dantas
203026,1172,1164,2336,0.219,-0.67,-0.451,2021,Tiffany Hayes
203029,1997,1996,3993,0.698,-0.096,0.602,2021,Riquna Williams
203035,1557,1560,3117,-0.328,0.012,-0.316,2021,Shey Peddy
203398,2656,2654,5310,1.49,-0.468,1.022,2021,Brittney Griner
203399,103,102,205,0.277,0.319,0.596,2021,Elena Delle Donne
203400,2773,2762,5535,1.672,0.347,2.019,2021,Skylar Diggins
203403,874,877,1751,-0.259,-0.323,-0.582,2021,Tianna Hawkins
203406,1096,1085,2181,0.853,0.554,1.407,2021,Layshia Clarendon
203823,269,266,535,-0.034,0.551,0.518,2021,Chiney Ogwumike
203824,1487,1493,2980,-0.946,-1.075,-2.021,2021,Odyssey Sims
203825,2058,2060,4118,0.472,0.611,1.083,2021,Kayla McBride
203826,253,245,498,0.247,0.038,0.286,2021,Alyssa Thomas
203827,772,771,1543,0.25,-0.8,-0.55,2021,Natasha Howard
203828,1299,1286,2585,-0.335,1.016,0.681,2021,Stefanie Dolson
203829,286,280,566,-0.52,-0.257,-0.777,2021,Bria Hartley
203831,529,514,1043,-0.274,0.312,0.039,2021,Natalie Achonwa
203833,2194,2190,4384,1.232,0.074,1.306,2021,Chelsea Gray
203838,827,831,1658,-1.467,0.162,-1.306,2021,Astou Ndour-Fall
203849,1102,1106,2208,-0.68,-0.205,-0.885,2021,Theresa Plaisance
203855,1106,1105,2211,0.194,0.646,0.839,2021,Stephanie Talbot
203866,1688,1693,3381,-0.246,-1.118,-1.364,2021,Kayla Thornton
204296,1276,1292,2568,-1.625,-0.509,-2.134,2021,Rebecca Allen
204319,2002,1987,3989,0.781,0.474,1.256,2021,Jewell Loyd
204320,1372,1383,2755,-0.817,0.853,0.036,2021,Amanda Zahui B
204322,1479,1482,2961,-0.529,-0.51,-1.039,2021,Elizabeth Williams
204323,539,528,1067,0.58,-1.043,-0.463,2021,Cheyenne Parker-Tyus
204324,1622,1630,3252,0.975,0.954,1.93,2021,Dearica Hamby
204325,887,898,1785,0.439,-0.457,-0.018,2021,Crystal Bradford
204327,44,47,91,-0.113,0.13,0.018,2021,Brittany Boyd-Jones
204329,1019,1022,2041,-0.093,0.155,0.062,2021,Kiah Stokes
204330,1364,1360,2724,1.357,0.386,1.743,2021,Isabelle Harrison
204332,128,123,251,-0.258,0.016,-0.242,2021,Cierra Burdick
204333,1695,1702,3397,0.022,-0.127,-0.106,2021,Natasha Cloud
204334,432,432,864,0.507,-0.565,-0.058,2021,Reshanda Gray
204335,2252,2260,4512,-0.332,-0.874,-1.206,2021,Betnijah Laney-Hamilton
204355,270,273,543,-0.028,0.353,0.325,2021,Blake Dietrick
204365,1849,1860,3709,-1.251,-0.124,-1.374,2021,Erica Wheeler
1627668,1861,1855,3716,1.581,0.791,2.372,2021,Breanna Stewart
1627669,1018,1001,2019,0.227,-0.12,0.108,2021,Moriah Jefferson
1627671,706,701,1407,0.288,0.393,0.681,2021,Rachel Banham
1627672,697,698,1395,0.28,0.223,0.504,2021,Aerial Powers
1627673,1876,1859,3735,1.335,1.556,2.891,2021,Jonquel Jones
1627674,2612,2626,5238,0.794,-0.03,0.764,2021,Kahleah Copper
1627675,2178,2177,4355,0.148,-0.505,-0.357,2021,Courtney Williams
1627676,1505,1495,3000,-0.774,-0.038,-0.812,2021,Tiffany Mitchell
1627678,619,630,1249,-0.424,-0.363,-0.786,2021,Bria Holmes
1627687,14,13,27,-0.077,0.083,0.006,2021,Jillian Alleyne
1628242,578,581,1159,-0.02,-0.546,-0.567,2021,Emma Cannon
